Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1841385857515588000;NPS 340;Gamble,Kathryn Fuller;51.72;20.69;20.69;0.00;6.90;90.55;81.03
3084627356349413363;NPS 340;McBride,Mary Linda;70.83;22.92;2.08;2.08;2.08;95.54;85.83
1291954747852501718;NPS 395;Hannan Ferrell,Eileen Mary;57.41;35.19;3.70;1.85;1.85;94.02;84.44
11642352725705017361;NPS 395;Tschirhart,Mary;75.22;18.58;3.54;1.77;0.88;96.30;86.55
14042824147026888047;NPS 395;Watts,Tierza Rene;68.33;23.33;6.67;0.00;1.67;95.35;85.67
15613668884629346821;NPS 395;Laraway,Kelly H.;81.48;11.11;0.00;0.00;7.41;95.74;85.93
4918502672929812085;NPS 490;Ngaruiya,Katherine;92.86;7.14;0.00;0.00;0.00;99.21;89.29
16982529317086023265;NPS 490;Howell,Christine Beal;50.00;30.00;20.00;0.00;0.00;92.50;83.00
6211146646488405826;NPS 490;Clerkin,Richard M;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15022665230786524789;NPS 490;Hannan Ferrell,Eileen Mary;73.08;15.38;11.54;0.00;0.00;95.88;86.15
10502883005144662680;NPS 498;Ngaruiya,Katherine;86.05;13.95;0.00;0.00;0.00;98.47;88.60
12384101783778789512;NPS 498;Clerkin,Richard M;62.50;27.50;10.00;0.00;0.00;94.88;85.25
4064990897241230590;NPS 498;Martin,Marty;23.81;71.43;4.76;0.00;0.00;91.14;81.90
14979063076171969355;NPS 498;Hannan Ferrell,Eileen Mary;76.92;0.00;23.08;0.00;0.00;95.15;85.38
11632706311651484705;NPS 498;Tschirhart,Mary;91.67;5.56;2.78;0.00;0.00;98.81;88.89
