Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2441064910182135272;NR 100;Blank,Gary B.;45.83;37.50;9.90;3.65;3.13;91.39;81.93
9296711188757814297;NR 100;Goldfarb,Barry;38.10;40.87;13.49;4.76;2.78;90.06;80.67
3246125810824268770;NR 203;Cutts,Bethany Brooke;56.52;23.91;8.70;2.17;8.70;91.30;81.74
10987474456098679956;NR 203;Vylupek PhD,Oldrich;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2750554853742153055;NR 203;Glaser,Amy;63.33;26.67;6.67;0.00;3.33;94.30;84.67
2823848007888678963;NR 219;Parajuli,Rajan;48.10;35.44;12.66;1.27;2.53;92.01;82.53
8870828096367008320;NR 293;Katti,Madhusudan Vithal;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9623834146789865866;NR 295;Parajuli,Rajan;44.44;50.00;5.56;0.00;0.00;93.33;83.89
5069863079885378579;NR 295;Hess,George R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5979130247005364887;NR 300;Hess,George R.;72.38;25.71;0.95;0.00;0.95;96.58;86.86
8706428256220321096;NR 301;Champion,Erin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2933182752991164752;NR 301;Jeffries,Steph;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16402412669580892301;NR 301;Steelman,Toddi Angela;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12982938092615501744;NR 303;Cutts,Bethany Brooke;62.82;17.95;6.41;2.56;10.26;91.68;82.05
16844414499930269156;NR 303;Glaser,Amy;50.00;30.00;10.00;0.00;10.00;90.50;81.00
6550149374998848109;NR 303;Booker,Matthew Morse;66.67;22.22;0.00;0.00;11.11;93.00;83.33
5629531364629271625;NR 303;Vylupek PhD,Oldrich;95.45;4.55;0.00;0.00;0.00;99.50;89.55
18190711873026114782;NR 303;Blank,Gary B.;48.28;41.38;6.90;0.00;3.45;92.59;83.10
3150183196204831276;NR 303;Warren,Sarah Timberlake;59.77;34.48;4.60;0.00;1.15;94.77;85.17
9661605698119666436;NR 350;Blank,Gary B.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3443853671801780838;NR 360;Champion,Erin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7904810528329346098;NR 360;Jeffries,Steph;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7550245564959206107;NR 360;Steelman,Toddi Angela;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13967850350689759830;NR 400;Baker,Justin;68.35;25.32;6.33;0.00;0.00;95.89;86.20
9435322463322838839;NR 400;Abt,Robert Carroll;70.73;17.07;9.76;0.00;2.44;95.07;85.37
5209015034868451001;NR 401;Jeffries,Steph;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3559287010758985149;NR 401;Steelman,Toddi Angela;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14985935525631216393;NR 406;Martin,Meredith;79.03;16.13;4.84;0.00;0.00;97.21;87.42
16537265750894596896;NR 406;Rieder,Erica;81.48;7.41;7.41;0.00;3.70;96.11;86.30
1797510728407783820;NR 406;Thomas,Austin  ;68.18;27.27;4.55;0.00;0.00;96.05;86.36
3400593284001807763;NR 406;Blank,Gary B.;66.00;24.00;7.00;1.00;2.00;94.76;85.10
806146049642997535;NR 406;Warren,Sarah Timberlake;46.24;46.24;2.15;0.00;5.38;92.26;82.80
7849235892071776358;NR 421;Emanuel,Ryan E.;75.00;25.00;0.00;0.00;0.00;97.25;87.50
449945747682911028;NR 460;Cubbage,Frederick Willis;45.85;31.22;20.49;0.00;2.44;91.26;81.80
317035351509519805;NR 460;Delborne,Jason A.;31.71;43.90;14.63;4.88;4.88;88.59;79.27
5968850531889172809;NR 460;Jeffries,Steph;8.33;23.96;36.46;15.63;15.63;78.46;69.38
9541278019342317884;NR 484;Blank,Gary B.;66.04;24.53;4.72;1.89;2.83;94.57;84.91
9160300642459683973;NR 491;Goldfarb,Barry;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1394940194933544354;NR 491;Nichols,Elizabeth Guthrie;93.33;0.00;0.00;0.00;6.67;97.27;87.33
18376937267890494361;NR 491;Isik,Fikret;92.86;7.14;0.00;0.00;0.00;99.21;89.29
5667558795743184287;NR 491;Bruck,Robert I.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13871202907403795366;NR 491;Wheeler,Nicholas C;51.43;40.00;8.57;0.00;0.00;93.80;84.29
9203880063201676995;NR 500;Baker,Justin;79.31;20.69;0.00;0.00;0.00;97.72;87.93
783916550404164620;NR 500;Abt,Robert Carroll;79.49;17.95;2.56;0.00;0.00;97.49;87.69
8915117516906075419;NR 511;Addor,Mary Lou;85.71;14.29;0.00;0.00;0.00;98.43;88.57
2270658568789332458;NR 521;Ardon,Marcelo Luis;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1490071028352568284;NR 521;Emanuel,Ryan E.;96.67;3.33;0.00;0.00;0.00;99.63;89.67
