Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
18101305136467786457;NS 100;Schroeder,Christopher Michael;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8799149892952339556;NS 100;Sandler,Zach;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2142316085881408000;NS 100;Hertel,Andrew;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14705918187918579752;NS 100;Dickey,Jeff;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11935398916281882021;NS 100;Watson Jr,John Dwight;0.00;0.00;0.00;0.00;0.00;0.00;0.00
731908713071529347;NS 100;Arguello,Michael Allan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9673034134992348550;NS 100;Whitmore,Morgan Allison;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14863118515537272112;NS 100;Ansel,Samuel  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00
56147706271873325;NS 100;Merles,David Anthony;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7268944517252311147;NS 100;Lancaster,David D;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8680260579857119373;NS 100;Gillingham,Todd M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10808440502327499554;NS 110;Schroeder,Christopher Michael;55.56;38.10;4.76;0.00;1.59;94.16;84.60
7541525162974988866;NS 110;Dickey,Jeff;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15586393061333933550;NS 110;Watson Jr,John Dwight;77.27;18.18;4.55;0.00;0.00;97.05;87.27
12853333292499172097;NS 110;Scalabrino,Anthony Thomas;63.24;35.29;1.47;0.00;0.00;95.81;86.18
14268061269705262410;NS 110;Watson,Jeremy Brooks;92.31;4.62;3.08;0.00;0.00;98.85;88.92
16612989851401907836;NS 110;O'Neill,Jason Michael;25.42;64.41;10.17;0.00;0.00;90.78;81.53
9127442017652955215;NS 110;Burich,Matt;37.36;49.45;12.09;1.10;0.00;91.68;82.31
4084086455531387391;NS 210;Angel,Matthew;82.09;16.42;1.49;0.00;0.00;97.88;88.06
13090371111113086721;NS 210;Arguello,Michael Allan;47.62;50.79;1.59;0.00;0.00;94.08;84.60
9170166095347466031;NS 210;Steinfels,Joseph Philip;40.37;51.38;7.34;0.00;0.92;92.43;83.03
3910018074317433227;NS 210;Shellabarger,Mark William;43.59;47.44;6.41;2.56;0.00;92.64;83.21
16198722305807696426;NS 210;Yaeger,Benjamin Jared;26.92;59.62;13.46;0.00;0.00;90.62;81.35
3898739812937774002;NS 210;Spano,Daniel Urban;26.98;63.49;9.52;0.00;0.00;91.02;81.75
9735404967756306301;NS 210;Robertson,Joshua Ward;47.46;47.46;3.39;1.69;0.00;93.54;84.07
8272644878016979130;NS 225;Clavin,Connor;70.59;29.41;0.00;0.00;0.00;96.76;87.06
16521970682042704476;NS 225;Sandler,Zach;53.85;38.46;7.69;0.00;0.00;94.15;84.62
14980377920377700464;NS 225;Johnson Jr,Randy Matthew;70.00;30.00;0.00;0.00;0.00;96.70;87.00
7992033127045449171;NS 225;Watson Jr,John Dwight;68.00;32.00;0.00;0.00;0.00;96.48;86.80
1088529499709189292;NS 225;Showanes,James Bernard;60.00;37.50;0.00;2.50;0.00;95.10;85.50
1817781256174284493;NS 225;Recame,Andrew James;72.22;16.67;11.11;0.00;0.00;95.83;86.11
13050366509310574014;NS 225;Robertson,Joshua Ward;39.39;42.42;15.15;3.03;0.00;91.21;81.82
4035038471315791089;NS 225;Reynolds,James Thomas;100.00;0.00;0.00;0.00;0.00;100.00;90.00
