Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1396357852905082920;NTR 210;Cooke,Natalie Kathleen;56.25;17.19;12.50;4.69;9.38;90.19;80.63
13201970042982916082;NTR 220;Goodell,Suzie;51.16;31.40;6.98;2.33;8.14;91.02;81.51
13357797869597324070;NTR 220;Williams,Latasha D;47.73;31.82;13.64;4.55;2.27;91.30;81.82
14245713977516867208;NTR 301;Cooke,Natalie Kathleen;44.60;42.65;8.32;1.59;2.83;91.91;82.46
13748191940174229473;NTR 301;Fogleman,April;86.32;9.12;1.63;1.63;1.30;97.62;87.75
10183494443053225404;NTR 301;Ash,Sarah L;45.19;35.84;11.17;4.42;3.38;90.96;81.51
4324848940594957897;NTR 301;Maloney,Katie;75.00;16.67;4.17;0.00;4.17;95.58;85.83
9234492874276786209;NTR 301;Matsey,Gary John;46.86;41.00;5.86;3.35;2.93;92.02;82.55
5595096765973538182;NTR 302;Cooke,Natalie Kathleen;68.87;20.75;6.60;0.94;2.83;94.88;85.19
11755749829898598329;NTR 320;Goodell,Suzie;40.78;43.69;12.62;0.97;1.94;91.45;82.04
11768841325483313433;NTR 330;Fogleman,April;91.45;6.84;0.00;1.71;0.00;98.72;88.80
326645901754638938;NTR 330;Tanskey,Lindsay Ann;76.74;21.40;0.93;0.47;0.47;97.12;87.35
2526967721771946405;NTR 390;Allen,Jonathan C.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11887056676747260350;NTR 401;Allen,Jonathan C.;44.12;44.12;11.03;0.00;0.74;92.53;83.09
6769487938767505427;NTR 410;Fogleman,April;78.57;18.37;1.02;0.00;2.04;96.93;87.14
10255718621059470289;NTR 411;Singletary PhD,Nicola Vera Katherine;60.00;22.67;13.33;1.33;2.67;93.20;83.60
9226398480365761532;NTR 411;Fogleman,April;72.06;20.59;4.41;2.94;0.00;95.90;86.18
10053611180371059660;NTR 412;Singletary PhD,Nicola Vera Katherine;70.59;17.65;11.76;0.00;0.00;95.59;85.88
6849386941087452204;NTR 415;Malheiros,Ramon Diniz;91.78;6.85;1.37;0.00;0.00;98.96;89.04
17328723451877487383;NTR 415;Livingston PhD,Kimberly A;57.79;30.52;7.14;4.55;0.00;93.73;84.16
