Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
8944308852404053220;OR 501;Ahiska King,Semra Sebnem;60.00;20.00;15.00;0.00;5.00;92.60;83.00
17336895389908244871;OR 501;Kay,Michael G.;57.14;34.29;5.71;2.86;0.00;94.14;84.57
2255176664177064936;OR 501;Taheri,Javad;82.35;17.65;0.00;0.00;0.00;98.06;88.24
14881072311862126268;OR 501;Cherbaka,Natalie Stanislaw;65.52;27.59;3.45;0.00;3.45;94.83;85.17
11108941188124523316;OR 501;Elmaghraby,Salah E.;37.50;56.25;6.25;0.00;0.00;92.50;83.13
512066988015932652;OR 501;Reiland,Thomas W;93.75;6.25;0.00;0.00;0.00;99.31;89.38
5184894540507405812;OR 504;Escobedo,Adolfo Raphael;62.50;37.50;0.00;0.00;0.00;95.88;86.25
6094203614205171884;OR 504;Reiland,Thomas W;97.22;1.39;0.00;0.00;1.39;99.28;89.31
16719189406602099362;OR 504;Papp,David;66.67;16.67;16.67;0.00;0.00;94.67;85.00
13847025330075020887;OR 505;Fathi,Yahya;41.38;51.72;6.90;0.00;0.00;92.86;83.45
5167592638213408277;OR 505;Fang,Shu-Cherng;46.67;43.33;10.00;0.00;0.00;93.13;83.67
9759393808523816653;OR 505;Papp,David;55.00;20.00;25.00;0.00;0.00;92.55;83.00
13906581730884352006;OR 506;Medhin,Negash G.;84.85;15.15;0.00;0.00;0.00;98.33;88.48
1248350319814742140;OR 531;Campbell,Stephen LaVern;50.00;50.00;0.00;0.00;0.00;94.50;85.00
12319385506335187533;OR 537;Baugh Jr,John W;52.17;43.48;4.35;0.00;0.00;94.30;84.78
10244867722567256850;OR 560;Wan,Hong;95.83;0.00;4.17;0.00;0.00;99.13;89.17
2111273235369328470;OR 560;Liu,Yunan;58.33;41.67;0.00;0.00;0.00;95.42;85.83
7790452861941565899;OR 560;King,Russell E.;75.00;25.00;0.00;0.00;0.00;97.25;87.50
7715048483048285870;OR 560;Ivy,Julie Simmons;80.65;19.35;0.00;0.00;0.00;97.87;88.06
1536725855150437189;OR 562;Wan,Hong;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7735720670000498221;OR 562;Shashaani,Sara;62.50;37.50;0.00;0.00;0.00;95.88;86.25
4320068969949529641;OR 562;Joines,Jeff;40.00;60.00;0.00;0.00;0.00;93.40;84.00
11357167585916076160;OR 591;Ozaltin,Osman Yalin;80.00;20.00;0.00;0.00;0.00;97.80;88.00
18128481302463879272;OR 591;Joines,Jeff;40.00;46.67;13.33;0.00;0.00;92.07;82.67
3348341506769296314;OR 601;Mayorga,Maria Esther;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1011458201358576337;OR 601;Kay,Michael G.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15235025639445316523;OR 601;Hodgson,Thom Joel;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2594395113720412005;OR 601;Medhin,Negash G.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9148377737836658549;OR 695;Mayorga,Maria Esther;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2993083329810180339;OR 695;Kay,Michael G.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6071246966187582578;OR 695;Hodgson,Thom Joel;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17901311728381856044;OR 695;Fathi,Yahya;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12852722280474539229;OR 705;Fang,Shu-Cherng;59.09;40.91;0.00;0.00;0.00;95.50;85.91
15395712065030138373;OR 706;Fang,Shu-Cherng;68.97;31.03;0.00;0.00;0.00;96.59;86.90
2807117910544986117;OR 706;Papp,David;45.00;45.00;10.00;0.00;0.00;92.95;83.50
6397209089593616719;OR 706;Reiland,Thomas W;97.87;2.13;0.00;0.00;0.00;99.77;89.79
14587812477966111128;OR 708;Fathi,Yahya;72.22;27.78;0.00;0.00;0.00;96.94;87.22
8891881180787274295;OR 709;Mayorga,Maria Esther;56.00;32.00;12.00;0.00;0.00;93.96;84.40
16607082891534479717;OR 709;Medhin,Negash G.;88.89;11.11;0.00;0.00;0.00;98.78;88.89
1642430247870348053;OR 709;Elmaghraby,Salah E.;64.71;23.53;11.76;0.00;0.00;94.94;85.29
18304849764916686907;OR 709;Denton,Brian;44.44;55.56;0.00;0.00;0.00;93.89;84.44
10633911448247714495;OR 709;Bernhard,Richard Harold;50.00;50.00;0.00;0.00;0.00;94.50;85.00
14831647053916518901;OR 747;King,Russell E.;80.00;20.00;0.00;0.00;0.00;97.80;88.00
15008577897945737943;OR 760;Wan,Hong;88.24;11.76;0.00;0.00;0.00;98.71;88.82
14074039590969427014;OR 760;Liu,Yunan;40.91;50.00;0.00;0.00;9.09;90.77;81.36
14391891390206017597;OR 760;King,Russell E.;77.78;22.22;0.00;0.00;0.00;97.56;87.78
13244285260975735367;OR 761;Liu,Yunan;84.62;15.38;0.00;0.00;0.00;98.31;88.46
10070190403290623451;OR 761;Stewart,William James;62.96;33.33;3.70;0.00;0.00;95.56;85.93
5671668232245322583;OR 762;Wilson,James Reed;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1934443112306012200;OR 762;Liu,Yunan;71.43;28.57;0.00;0.00;0.00;96.86;87.14
