Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
8852784269014538919;PA 203;Appling,Tracy Ann;76.19;9.52;4.76;0.00;9.52;94.05;84.29
5044555351807506940;PA 203;Crout Jones,Ryne;70.59;17.65;11.76;0.00;0.00;95.59;85.88
17121760015096189086;PA 203;Moore,Paige  ;79.17;12.50;4.17;0.00;4.17;96.04;86.25
9908403820668761719;PA 203;Minkowitz,Honey  ;83.33;8.33;8.33;0.00;0.00;97.33;87.50
10426268720918958;PA 203;Leight,Matt D;23.08;53.85;15.38;0.00;7.69;87.69;78.46
10271761376454079670;PA 203;Lawrence,Kara  ;84.00;16.00;0.00;0.00;0.00;98.24;88.40
757335892205398968;PA 203;Twumasi,Akua  ;50.77;33.85;10.77;0.00;4.62;92.12;82.62
15610002928555774591;PA 311;Mitchell,Jane P;60.00;26.67;5.00;3.33;5.00;92.93;83.33
4332151371169082306;PA 312;Abbott,Michaela Elizabeth;77.78;22.22;0.00;0.00;0.00;97.56;87.78
746300463876483840;PA 312;Leight,Matt D;70.00;25.00;5.00;0.00;0.00;96.20;86.50
3742975142817338302;PA 332;Weaver,Tory;25.00;43.75;12.50;7.81;10.94;85.66;76.41
15435368207013635469;PA 332;Helmlinger Ratcliff,Teresa;43.24;35.14;16.22;0.00;5.41;90.51;81.08
1536648974892632471;PA 410;Brunet,James R;32.35;60.29;7.35;0.00;0.00;91.82;82.50
9727701047977012709;PA 411;Perry,Frank L;66.18;23.53;7.35;2.94;0.00;94.96;85.29
5049363897636687044;PA 411;Horner,James R;59.68;37.10;3.23;0.00;0.00;95.24;85.65
10908334100754463363;PA 412;McDonald III,Bruce D.;58.33;41.67;0.00;0.00;0.00;95.42;85.83
10216476155656218506;PA 412;McNary I,Lisa Deane;38.81;35.82;25.37;0.00;0.00;90.73;81.34
17200247026060445065;PA 412;Straus,Stephen K;80.30;19.70;0.00;0.00;0.00;97.83;88.03
3101021235538416725;PA 420;Mitchell,Jane P;70.73;12.20;4.88;2.44;9.76;92.88;83.17
8681545076335446957;PA 498;McDonald III,Bruce D.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6225190746339016719;PA 498;Diebold,Jeffrey Childress;95.77;2.82;0.00;0.00;1.41;99.11;89.15
9256358233294188721;PA 501;Cherry,Diane DeWitt;83.33;16.67;0.00;0.00;0.00;98.17;88.33
9279055021543668732;PA 501;Helo,Julia Esperanza Morin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
951536827255886314;PA 507;Ambrose,Graham William;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16060727592385741908;PA 507;Galik,Christopher;81.03;18.97;0.00;0.00;0.00;97.91;88.10
8216500762112260304;PA 507;Kuzma,Jennifer;86.96;13.04;0.00;0.00;0.00;98.57;88.70
12537916644606831292;PA 507;Kearney,Richard Craig;59.38;37.50;3.13;0.00;0.00;95.22;85.63
17406887658052678445;PA 507;Jolley,George Jason;84.62;15.38;0.00;0.00;0.00;98.31;88.46
6691334909283923647;PA 507;Birkland,Thomas A;64.58;35.42;0.00;0.00;0.00;96.10;86.46
16818452636696017672;PA 508;Velez,Anne-Lise Knox;78.57;14.29;0.00;7.14;0.00;96.21;86.43
15090912895626989534;PA 508;Brunet,James R;64.58;33.33;2.08;0.00;0.00;95.90;86.25
12790574540251441849;PA 508;Coggburn,Jerrell D;57.14;42.86;0.00;0.00;0.00;95.29;85.71
12511615143557455984;PA 508;Coe,Charles K.;57.14;32.14;3.57;0.00;7.14;92.79;83.21
9396777569012167422;PA 509;Hunter Jr,Kenneth Wayne;88.46;9.62;1.92;0.00;0.00;98.54;88.65
1414794872024593488;PA 509;Coupet,Jason Alix;89.80;10.20;0.00;0.00;0.00;98.88;88.98
