Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
12720668150648348972;PB 101;Jordan,Chad V.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3453931632723854076;PB 103;Jordan,Chad V.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13796354212534300818;PB 200;Jordan,Chad V.;45.61;29.02;17.80;5.85;1.71;90.55;81.10
14781697104668662245;PB 200;Mickle,James E.;32.01;38.13;22.30;5.40;2.16;88.56;79.24
16401286628339750973;PB 208;Farin,Charlotte E;64.91;19.30;8.77;5.26;1.75;93.68;84.04
15057202972310675509;PB 208;Jordan,Chad V.;66.67;25.00;0.00;0.00;8.33;93.83;84.17
1735055956337794231;PB 213;De Gezelle,Jillian Marie;79.35;16.77;3.23;0.65;0.00;97.28;87.48
3007155801352690807;PB 213;Szakacs,Alexandria;86.87;10.10;2.02;0.00;1.01;98.05;88.18
10025642214961195403;PB 213;Riddle,John M.;30.30;54.55;12.12;0.00;3.03;90.21;80.91
5834774047062868257;PB 213;Beckmann,Robert L.;50.67;36.89;10.22;2.22;0.00;93.11;83.60
14401534117463335092;PB 215;Xie,Deyu;20.69;56.03;22.41;0.86;0.00;88.86;79.66
18336337884842057507;PB 219;De Gezelle,Jillian Marie;69.23;28.46;2.31;0.00;0.00;96.38;86.69
13114210255135887978;PB 219;Swab,Janice Coffey;42.86;42.86;12.24;1.02;1.02;91.98;82.55
6704620999557173308;PB 219;Jordan,Chad V.;77.14;22.86;0.00;0.00;0.00;97.49;87.71
13087479380675008316;PB 219;Beckmann,Robert L.;66.67;23.08;7.69;0.00;2.56;94.79;85.13
3988554583159796438;PB 220;Krings,Alexander;74.19;25.81;0.00;0.00;0.00;97.16;87.42
4923836606028143351;PB 220;Stucky,Jon M.;36.96;32.61;26.09;0.00;4.35;89.15;79.78
2124528316116580107;PB 222;Grand,Larry Frank;49.21;36.51;9.52;0.00;4.76;92.03;82.54
13606209207210118850;PB 250;Blanton,Richard L.;43.75;37.50;17.61;0.57;0.57;91.77;82.33
3991199416810494443;PB 250;Jordan,Chad V.;46.43;32.86;15.71;2.86;2.14;91.32;81.86
3301284832668413292;PB 250;Thakor,Barbara H;50.44;25.66;19.47;2.65;1.77;91.54;82.04
17394269168798488319;PB 295;Beckmann,Robert L.;78.26;17.39;0.00;2.90;1.45;96.59;86.81
8473206749166902254;PB 295;Thakor,Barbara H;50.00;22.22;27.78;0.00;0.00;91.72;82.22
3599197276959006705;PB 295E;Thakor,Barbara H;55.00;25.00;15.00;0.00;5.00;92.05;82.50
6393683997467810181;PB 321;Jordan,Chad V.;56.89;25.33;13.33;3.56;0.89;92.95;83.38
12817387556605582223;PB 325;Jordan,Chad V.;50.00;50.00;0.00;0.00;0.00;94.50;85.00
10031643316498324851;PB 330;Johnson,Marc Thomas Jewell;24.14;27.59;24.14;24.14;0.00;84.41;75.17
3832342670919512295;PB 345;De Gezelle,Jillian Marie;69.35;30.65;0.00;0.00;0.00;96.63;86.94
12270903535301725175;PB 346;De Gezelle,Jillian Marie;80.95;19.05;0.00;0.00;0.00;97.90;88.10
1476946389562352316;PB 360;Hoffmann,William A;42.70;33.51;17.84;1.62;4.32;90.29;80.86
5395999900774926967;PB 360;Mickle,James E.;23.49;47.89;23.49;4.22;0.92;88.12;78.88
2190355863509397667;PB 360;Wentworth,Thomas R.;54.72;35.62;6.01;1.93;1.72;93.52;83.97
12535639301128962013;PB 360;Fields,William R;25.44;46.05;20.61;6.58;1.32;88.03;78.77
1300774724716074575;PB 360;Kostelnik,Kristen Marie;44.44;30.56;22.22;2.78;0.00;91.11;81.67
6203754201339027485;PB 360;Hutchens,Stan J;15.91;38.64;36.36;4.55;4.55;84.84;75.68
16860600608675188096;PB 365;Turley,Nash Elia;60.00;33.33;2.22;2.22;2.22;94.27;84.67
2139842389915235856;PB 365;Lee,Graise;78.43;15.69;3.92;1.96;0.00;96.84;87.06
4933269118588989393;PB 365;Vaughn,Louise Boatwright;93.48;6.52;0.00;0.00;0.00;99.28;89.35
11746961353717277277;PB 365;Ngulo,Eva;51.22;39.02;2.44;4.88;2.44;92.68;83.17
3332369783007854785;PB 365;Flood,Stacie Lynn;85.19;0.00;7.41;0.00;7.41;95.41;85.56
3259143846216224805;PB 365;Golden,Katherine Elizabeth;73.68;23.68;0.00;0.00;2.63;96.32;86.58
5451776599855512435;PB 400;Mickle,James E.;90.57;7.55;0.00;0.00;1.89;98.40;88.49
14024746982165667942;PB 403;Xiang,Qiuyun;53.57;32.14;14.29;0.00;0.00;93.46;83.93
14818182882701613627;PB 403;Szakacs,Alexandria;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4318708198194489700;PB 407;De Gezelle,Jillian Marie;73.33;20.00;6.67;0.00;0.00;96.40;86.67
291687579180667534;PB 414;Pierce,Marcela;56.18;27.92;12.01;2.83;1.06;93.10;83.53
14361417749289193763;PB 414;Blanton,Richard L.;17.04;40.00;34.07;6.67;2.22;85.47;76.30
14511309191850207263;PB 421;Long,Terri A.;36.97;41.18;15.97;4.20;1.68;90.13;80.76
8266745307677938970;PB 421;Boss,Wendy F.;45.07;32.39;12.68;5.63;4.23;90.30;80.85
3433610304230679995;PB 445;Mickle,James E.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17679599751240473076;PB 450;Sheth,Seema Nayan;80.77;19.23;0.00;0.00;0.00;97.88;88.08
4248784399175771942;PB 464;Krings,Alexander;48.57;45.71;5.71;0.00;0.00;93.77;84.29
14871715887528878955;PB 480;Jordan,Chad V.;61.67;30.00;6.67;1.67;0.00;94.78;85.17
10411223501973162126;PB 480;Robertson,Niki;76.32;18.42;0.00;0.00;5.26;95.82;86.05
3002913221487229668;PB 493;Jordan,Chad V.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
538077659529728969;PB 493;Wentworth,Thomas R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8586173449772993392;PB 495;De Gezelle,Jillian Marie;82.76;13.79;3.45;0.00;0.00;97.76;87.93
16286108998745235032;PB 495;Sheth,Seema Nayan;66.67;22.22;0.00;0.00;11.11;93.00;83.33
11922965395778641872;PB 495;Wentworth,Thomas R.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14929480294262537111;PB 503;Xiang,Qiuyun;81.25;18.75;0.00;0.00;0.00;97.94;88.13
11730506845688195364;PB 513;Jordan,Chad V.;85.00;15.00;0.00;0.00;0.00;98.35;88.50
14618819859484122594;PB 550;Sheth,Seema Nayan;40.00;60.00;0.00;0.00;0.00;93.40;84.00
14864969907433646836;PB 559;Hoffmann,William A;92.00;8.00;0.00;0.00;0.00;99.12;89.20
14826453837273473960;PB 564;Krings,Alexander;81.82;18.18;0.00;0.00;0.00;98.00;88.18
9617730827194635432;PB 565;Wentworth,Thomas R.;95.65;0.00;4.35;0.00;0.00;99.09;89.13
8115103973359768534;PB 570;Hoffmann,William A;75.61;21.95;2.44;0.00;0.00;97.07;87.32
12410266927109551832;PB 580;Jordan,Chad V.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1811599935537130549;PB 580;Robertson,Niki;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8152411555015114592;PB 595;Long,Terri A.;73.33;26.67;0.00;0.00;0.00;97.07;87.33
549236631900476527;PB 595;Jordan,Chad V.;78.57;21.43;0.00;0.00;0.00;97.64;87.86
10996637280565634041;PB 595;Akpa PhD,Belinda Sena;100.00;0.00;0.00;0.00;0.00;100.00;90.00
781692322429926832;PB 595;Wentworth,Thomas R.;91.67;4.17;0.00;0.00;4.17;97.83;87.92
13680190301074424998;PB 595;Williams,Cranos M;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15683380614820234525;PB 595;Sederoff,Ron Ross;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14345780437575666004;PB 595;Hoffmann,William A;75.00;25.00;0.00;0.00;0.00;97.25;87.50
10610610154956888348;PB 595;Stucky,Jon M.;71.43;14.29;9.52;4.76;0.00;94.95;85.24
12642163196701650308;PB 595;Burkholder,JoAnn;72.73;27.27;0.00;0.00;0.00;97.00;87.27
12750098698725533188;PB 595;Krings,Alexander;83.33;16.67;0.00;0.00;0.00;98.17;88.33
17596384355560026268;PB 595;Johnson,Marc Thomas Jewell;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1128279590163713339;PB 595E;Hoffmann,William A;64.71;35.29;0.00;0.00;0.00;96.12;86.47
4747180440505172410;PB 624;Wentworth,Thomas R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
