Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11685798102685900125;PCC 101;El-Shafei,Ahmed Mohamed;54.55;25.76;15.15;4.55;0.00;92.58;83.03
16034752539786827575;PCC 101;Kotek,Richard;64.18;31.34;4.48;0.00;0.00;95.61;85.97
12277212588763551113;PCC 101;Shamey,Renzo;46.88;43.75;9.38;0.00;0.00;93.22;83.75
17775145083861575975;PCC 104;El-Shafei,Ahmed Mohamed;81.82;9.09;0.00;9.09;0.00;96.18;86.36
9647947044462014878;PCC 104;Salmon,Sonja;55.56;42.22;2.22;0.00;0.00;94.89;85.33
11562355481536253205;PCC 104;Vinueza Benitez,Nelson Rodrigo;78.38;21.62;0.00;0.00;0.00;97.62;87.84
7897160252617709292;PCC 104;Abed,Mira K;64.29;14.29;21.43;0.00;0.00;93.93;84.29
1505903075911379710;PCC 104;Kotek,Richard;83.33;14.58;2.08;0.00;0.00;97.96;88.13
6899537298519901642;PCC 104;Shamey,Renzo;61.29;29.03;9.68;0.00;0.00;94.77;85.16
1439240438124740628;PCC 104;Hudson,Samuel Mack;58.33;25.00;8.33;0.00;8.33;92.08;82.50
13558261000647303037;PCC 104;Beck PhD,Keith R.;40.91;45.45;13.64;0.00;0.00;92.14;82.73
17579152887082421961;PCC 104;Haslup,Jennifer Reid Clonts;65.22;17.39;17.39;0.00;0.00;94.43;84.78
3188583657466643731;PCC 106;Budhathoki Uprety,Januka;45.45;45.45;7.27;0.00;1.82;92.73;83.27
13565189137780534654;PCC 106;Ormond,R. Bryan;38.55;45.78;10.84;3.61;1.20;91.07;81.69
4398982555554608201;PCC 106;Hinks,David;37.96;38.89;13.89;5.56;3.70;89.56;80.19
9491535107316788512;PCC 201;Ormond,R. Bryan;73.55;15.16;5.81;1.29;4.19;94.99;85.26
6712451750570896774;PCC 203;Tonelli,Alan E;30.77;61.54;7.69;0.00;0.00;91.62;82.31
7533367340289027638;PCC 203;Kotek,Richard;55.56;22.22;22.22;0.00;0.00;92.89;83.33
443123162827848468;PCC 274;Vinueza Benitez,Nelson Rodrigo;41.10;43.84;14.38;0.00;0.68;91.88;82.47
14289645609014762061;PCC 274;Oliver,Billy L.;88.79;8.62;1.72;0.00;0.86;98.34;88.45
858595348936574043;PCC 274;Rust,Jon P.;41.03;56.41;2.56;0.00;0.00;93.26;83.85
17259709062745410046;PCC 274;Hamlin,Donald Troy;60.53;31.58;3.95;3.95;0.00;94.47;84.87
8768362562496247677;PCC 301;Zhang,Yang;27.27;59.09;9.09;0.00;4.55;89.73;80.45
14483913894865120048;PCC 301;Gao,Wei;35.09;49.12;12.28;3.51;0.00;90.93;81.58
2309862750251319120;PCC 301;Salmon,Sonja;58.33;25.00;12.50;4.17;0.00;93.33;83.75
9036261498978402478;PCC 301;Shamey,Renzo;41.46;34.15;17.07;7.32;0.00;90.39;80.98
9822037342778240513;PCC 301;Freeman,Harold S.;43.53;40.00;12.94;3.53;0.00;91.79;82.35
7655146518377872927;PCC 301;Hauser PhD,Peter J;64.49;32.71;2.80;0.00;0.00;95.81;86.17
2121693378218954330;PCC 301;Beck PhD,Keith R.;25.00;39.29;28.57;7.14;0.00;87.46;78.21
4869825667722544638;PCC 301;Hinks,David;50.00;30.91;13.64;4.55;0.91;91.95;82.45
6490562916058331816;PCC 302;Williams,Tova;41.40;47.77;8.28;2.55;0.00;92.22;82.80
7822408738222379161;PCC 302;Shamey,Renzo;46.94;47.62;4.76;0.00;0.68;93.48;84.01
16317328248682739766;PCC 302;El-Shafei,Ahmed Mohamed;54.11;32.88;10.96;1.37;0.68;93.38;83.84
2286165239453984003;PCC 302;Salmon,Sonja;38.46;47.44;11.54;2.56;0.00;91.56;82.18
11162311362237445887;PCC 302;Ballard,Jan Pegram;45.97;43.13;9.00;0.95;0.95;92.68;83.22
12329573293931718855;PCC 302;Freeman,Harold S.;34.09;34.09;29.55;2.27;0.00;89.34;80.00
8924336419221046760;PCC 302;Hauser PhD,Peter J;55.32;36.17;6.38;2.13;0.00;94.02;84.47
14532407126927372228;PCC 304;Salcedo Chavez,Cynthia;61.90;38.10;0.00;0.00;0.00;95.81;86.19
17653320771633861480;PCC 304;Waddington,Michael;88.89;11.11;0.00;0.00;0.00;98.78;88.89
17431331886144668244;PCC 304;Kotek,Richard;76.32;21.05;2.63;0.00;0.00;97.13;87.37
16886357648978350715;PCC 304;Dandekar,Anuja Bhushan;91.67;0.00;0.00;8.33;0.00;97.42;87.50
17476217298828606281;PCC 304;Shamey,Renzo;71.43;23.81;0.00;4.76;0.00;95.90;86.19
1986342226873231203;PCC 304;Hudson,Samuel Mack;97.73;2.27;0.00;0.00;0.00;99.75;89.77
7571852275540749008;PCC 304;Freeman,Harold S.;94.29;5.71;0.00;0.00;0.00;99.37;89.43
9140954323194567962;PCC 304;El-Shafei,Ahmed Mohamed;57.14;32.14;7.14;3.57;0.00;93.86;84.29
6487886185139629708;PCC 304;Hauser PhD,Peter J;51.11;33.33;11.11;2.22;2.22;92.40;82.89
1001378508195609461;PCC 304;Beck PhD,Keith R.;34.88;48.84;13.95;2.33;0.00;90.98;81.63
6563242832226144111;PCC 310;Hauser PhD,Peter J;33.33;50.00;16.67;0.00;0.00;91.00;81.67
12595412073501003719;PCC 320;Freeman,Harold S.;14.29;64.29;7.14;7.14;7.14;86.29;77.14
16813991724255788139;PCC 350;Shamey,Renzo;38.89;42.59;16.67;0.00;1.85;91.06;81.67
16819743756350502788;PCC 350;Stewart,Charles Wayne;80.00;20.00;0.00;0.00;0.00;97.80;88.00
14822155487786721503;PCC 354;Shamey,Renzo;74.36;23.08;0.00;2.56;0.00;96.67;86.92
1634298731771151628;PCC 354;Zubair,Muhammad;84.62;15.38;0.00;0.00;0.00;98.31;88.46
5344991854994977767;PCC 401;Ormond,R. Bryan;44.44;31.48;7.41;9.26;7.41;89.07;79.63
15304245550625313241;PCC 401;Hinks,David;50.29;38.29;6.29;2.86;2.29;92.65;83.14
7343770158621400509;PCC 401;Hamouda,Hechmi;85.71;14.29;0.00;0.00;0.00;98.43;88.57
3859597707516316898;PCC 402;Hudson,Samuel Mack;80.00;20.00;0.00;0.00;0.00;97.80;88.00
12079211646756720181;PCC 410;Hauser PhD,Peter J;38.46;53.85;7.69;0.00;0.00;92.46;83.08
5399638468413391424;PCC 412;Vinueza Benitez,Nelson Rodrigo;21.43;42.86;26.19;9.52;0.00;86.83;77.62
8046794987637469423;PCC 412;Ormond,R. Bryan;29.73;48.65;13.51;5.41;2.70;89.03;79.73
4881217866223314394;PCC 412;Beck PhD,Keith R.;8.33;39.58;33.33;10.42;8.33;82.00;72.92
15101378348925821289;PCC 414;Gao,Wei;56.10;31.71;7.32;4.88;0.00;93.46;83.90
3524741449413175651;PCC 414;Vinueza Benitez,Nelson Rodrigo;78.72;19.15;0.00;2.13;0.00;97.23;87.45
16983940664475195345;PCC 414;Ormond,R. Bryan;50.00;36.11;5.56;5.56;2.78;92.00;82.50
4032552570294141927;PCC 414;Beck PhD,Keith R.;22.86;60.00;11.43;5.71;0.00;89.23;80.00
2183780900214160170;PCC 420;Williams,Tova;23.08;46.15;30.77;0.00;0.00;88.46;79.23
16283564780272962183;PCC 420;El-Shafei,Ahmed Mohamed;50.00;50.00;0.00;0.00;0.00;94.50;85.00
4036819859745829023;PCC 420;Freeman,Harold S.;26.47;52.94;8.82;11.76;0.00;88.68;79.41
7871613315918574426;PCC 442;Ormond,R. Bryan;52.50;35.00;12.50;0.00;0.00;93.53;84.00
11712163671198522911;PCC 442;El-Shafei,Ahmed Mohamed;54.55;37.50;4.55;3.41;0.00;93.86;84.32
17298127865935843678;PCC 461;Budhathoki Uprety,Januka;48.00;28.00;24.00;0.00;0.00;91.88;82.40
6477641988363982952;PCC 461;Kotek,Richard;32.97;42.86;14.29;4.40;5.49;88.67;79.34
13375776692541286604;PCC 461;Hudson,Samuel Mack;56.07;31.78;5.61;5.61;0.93;93.21;83.64
6698424626440833670;PCC 461;Tonelli,Alan E;28.30;56.60;15.09;0.00;0.00;90.60;81.32
12052614462308478060;PCC 462;Tonelli,Alan E;45.24;50.00;4.76;0.00;0.00;93.50;84.05
15922712884436786726;PCC 464;Gao,Wei;33.33;66.67;0.00;0.00;0.00;92.67;83.33
340731090634019095;PCC 464;Tonelli,Alan E;48.65;40.54;10.81;0.00;0.00;93.27;83.78
13806439572336863727;PCC 471;Salmon,Sonja;47.73;31.82;6.82;9.09;4.55;90.39;80.91
1986814836114839518;PCC 471;Hudson,Samuel Mack;65.08;34.92;0.00;0.00;0.00;96.16;86.51
13468578576607719122;PCC 471;Krause,Wendy E.;42.53;50.57;6.90;0.00;0.00;92.99;83.56
8110368309191146114;PCC 474;Vinueza Benitez,Nelson Rodrigo;51.92;48.08;0.00;0.00;0.00;94.71;85.19
1194947683368810935;PCC 474;Hinks,David;67.50;25.00;7.50;0.00;0.00;95.68;86.00
2729164624909873867;PCC 490;Hudson,Samuel Mack;92.31;7.69;0.00;0.00;0.00;99.15;89.23
3166149004033702384;PCC 490;Vinueza Benitez,Nelson Rodrigo;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4405912784245111228;PCC 490;Tonelli,Alan E;53.85;46.15;0.00;0.00;0.00;94.92;85.38
13501039145649808627;PCC 492;Remy,Jennifer Kern;50.00;30.00;10.00;10.00;0.00;91.50;82.00
