Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5787383773531225847;PE 101;Lewis,Kari Kamile;9.52;42.86;42.86;0.00;4.76;84.33;75.24
9172862416881872267;PE 101;Dang,William Q.;15.00;55.00;30.00;0.00;0.00;87.65;78.50
18035888084417274159;PE 101;Kidd,Richard Henry;4.35;65.22;30.43;0.00;0.00;86.43;77.39
11421532029708323440;PE 101;Howard,Keith;50.00;29.17;16.67;0.00;4.17;91.58;82.08
1349675738518796718;PE 101;Bechtolt,Randall N;31.25;56.25;12.50;0.00;0.00;91.19;81.88
8268384838631224834;PE 101;Stegall,Joanna;79.31;17.24;3.45;0.00;0.00;97.38;87.59
2354825127427519805;PE 101;Chen,Han;65.22;34.78;0.00;0.00;0.00;96.17;86.52
14258056212572755194;PE 101;Smith,Rex R.;60.00;40.00;0.00;0.00;0.00;95.60;86.00
3409315376745580377;PE 101;Rever,Matthew J;17.65;52.94;23.53;5.88;0.00;87.41;78.24
5598195315934237324;PE 101;Remen,Edward S.;62.50;37.50;0.00;0.00;0.00;95.88;86.25
12446082493859417756;PE 101;Youtt,George R.;32.43;48.65;18.92;0.00;0.00;90.68;81.35
8252015470506731779;PE 101;Moses,Kimberly Lynne;52.94;41.18;0.00;0.00;5.88;93.06;83.53
17277005542527260229;PE 101;Fath,Beth Katherine Wright;31.25;62.50;6.25;0.00;0.00;91.81;82.50
4711193054632875842;PE 101;Cheek,William A.;42.86;33.33;19.05;4.76;0.00;90.86;81.43
10997600724419516719;PE 101;Shuford,Ritchie;43.48;30.43;21.74;4.35;0.00;90.74;81.30
5526456666910928328;PE 101;Ousley,Christopher Scott;39.39;54.55;6.06;0.00;0.00;92.73;83.33
14791996458703056894;PE 101;Evans,Thomas William;15.38;73.08;11.54;0.00;0.00;89.54;80.38
16107539913249821445;PE 101;Williamson,Debra P.;60.61;30.30;6.06;3.03;0.00;94.45;84.85
7357523208538512349;PE 101;Conner,David Alan;50.00;50.00;0.00;0.00;0.00;94.50;85.00
1564886254966158702;PE 101;Holden,Tommy;78.57;17.86;3.57;0.00;0.00;97.29;87.50
15760186211100518889;PE 101;Winslow,Timothy C.;69.23;30.77;0.00;0.00;0.00;96.62;86.92
2686798878771446785;PE 101;Montcalm,Angie M;42.86;28.57;28.57;0.00;0.00;90.86;81.43
4177426330690906466;PE 102;Rever,Matthew J;36.36;54.55;0.00;0.00;9.09;90.27;80.91
10675938527669994654;PE 102;Krotee,March Lee;84.62;15.38;0.00;0.00;0.00;98.31;88.46
17100051681509011323;PE 102;Horne,Juanita;87.88;9.09;0.00;3.03;0.00;98.06;88.18
6401159040325701380;PE 102;Lester,Marsha Runyon;40.00;43.33;13.33;0.00;3.33;91.07;81.67
4695857228061879974;PE 102;Scott,Larry Earl;44.00;44.00;8.00;0.00;4.00;91.84;82.40
10675260803776421939;PE 102;Smith,Emelyn Virginia;40.00;46.67;6.67;0.00;6.67;90.73;81.33
4002172525133800457;PE 102;Winslow,Timothy C.;92.11;7.89;0.00;0.00;0.00;99.13;89.21
7344858790942940020;PE 102;Jones,Ted Durwood;0.00;41.94;29.03;9.68;19.35;78.35;69.35
18343979081149635400;PE 102;Clark,Kristine Noel;47.06;47.06;5.88;0.00;0.00;93.59;84.12
10861800284926686966;PE 102;Roberts,Thomas Clay;69.70;24.24;3.03;0.00;3.03;95.45;85.76
17743998639584518178;PE 102;Leath,Virginia M.;81.82;9.09;9.09;0.00;0.00;97.09;87.27
8692395356544610659;PE 102Q;Horne,Juanita;50.00;40.00;10.00;0.00;0.00;93.50;84.00
12169762389893189363;PE 103;Domingue,Peggy S;80.00;13.33;0.00;0.00;6.67;95.80;86.00
8376244260790820673;PE 103;Buckley,Amanda Leigh;33.33;41.67;16.67;0.00;8.33;88.50;79.17
4328320336136478254;PE 103;Stegall,Joanna;85.19;11.11;3.70;0.00;0.00;98.00;88.15
11176502868786269826;PE 103;Lester,Marsha Runyon;69.23;30.77;0.00;0.00;0.00;96.62;86.92
8747870095403657412;PE 103;Kagendo,Joy Ireri;54.55;45.45;0.00;0.00;0.00;95.00;85.45
7370444652341602167;PE 103;Moses,Kimberly Lynne;75.86;20.69;3.45;0.00;0.00;97.00;87.24
11980004841113007077;PE 103;Clark,Kristine Noel;52.38;42.86;4.76;0.00;0.00;94.29;84.76
3677212360116238012;PE 103;Montcalm,Angie M;36.36;51.52;9.09;0.00;3.03;91.18;81.82
6631122738523088761;PE 103;Wall,Gary E.;39.53;58.14;2.33;0.00;0.00;93.12;83.72
18078252188500563359;PE 103Q;Clark,Kristine Noel;71.43;14.29;0.00;0.00;14.29;92.57;82.86
4585805198789349880;PE 104;Kidd,Richard Henry;28.57;35.71;35.71;0.00;0.00;88.57;79.29
16031377790775096570;PE 104;Buckley,Amanda Leigh;40.00;0.00;40.00;0.00;20.00;83.40;74.00
11919907013709176845;PE 104;Roberts,Thomas Clay;40.00;48.00;8.00;0.00;4.00;91.40;82.00
14696811319558164321;PE 104;Rever,Matthew J;50.00;28.57;14.29;7.14;0.00;91.64;82.14
16133334581663074332;PE 104;Brown,Henry L.;58.62;36.21;3.45;0.00;1.72;94.59;85.00
4317478110999501801;PE 104;Youtt,George R.;50.00;50.00;0.00;0.00;0.00;94.50;85.00
2504502777391695434;PE 104;Powers,Paul Nathan;78.57;21.43;0.00;0.00;0.00;97.64;87.86
43179715291845886;PE 104;Shuford,Ritchie;0.00;100.00;0.00;0.00;0.00;89.00;80.00
3067447427628157509;PE 104;Winslow,Timothy C.;90.00;10.00;0.00;0.00;0.00;98.90;89.00
5033964543923507616;PE 104;DeWitt,James L.;57.14;33.33;4.76;0.00;4.76;93.38;83.81
1667270020384500470;PE 105;Belk,Autumn Mist;55.00;40.00;0.00;0.00;5.00;93.55;84.00
8860796033301974548;PE 105;Kagendo,Joy Ireri;83.33;11.11;0.00;2.78;2.78;96.78;86.94
7278388899946420420;PE 105;Fath,Beth Katherine Wright;42.86;42.86;14.29;0.00;0.00;92.29;82.86
9852916988623580030;PE 105;Stegall,Joanna;95.24;4.76;0.00;0.00;0.00;99.48;89.52
10169367430009612881;PE 105;Domingue,Peggy S;31.58;47.37;18.42;0.00;2.63;89.84;80.53
1671288007230538297;PE 105;Montcalm,Angie M;19.05;61.90;9.52;4.76;4.76;87.76;78.57
16108972790226026399;PE 105;Moses,Kimberly Lynne;86.67;13.33;0.00;0.00;0.00;98.53;88.67
11252945212289595416;PE 105;Lewis,Kari Kamile;29.63;51.85;14.81;3.70;0.00;90.04;80.74
14732613911756436665;PE 105;Clark,Kristine Noel;66.67;33.33;0.00;0.00;0.00;96.33;86.67
7225280500450997555;PE 105;Wall,Gary E.;57.69;23.08;11.54;0.00;7.69;91.88;82.31
15145847729527492804;PE 106;Powers,Paul Nathan;50.00;12.50;12.50;0.00;25.00;85.75;76.25
8982571178490791176;PE 106;Almekinders,Sally Van Metre;60.00;20.00;20.00;0.00;0.00;93.60;84.00
8132948986709847762;PE 107;Lewis,Kari Kamile;37.04;37.04;18.52;3.70;3.70;89.37;80.00
2626864600641694377;PE 107;Dang,William Q.;53.33;40.00;6.67;0.00;0.00;94.20;84.67
12301239183580646752;PE 107;Montcalm,Angie M;57.89;31.58;5.26;2.63;2.63;93.53;83.95
11772428066460035617;PE 107;Kidd,Richard Henry;60.71;32.14;7.14;0.00;0.00;94.96;85.36
9050004260468502625;PE 107;DeReu,Darrin W.;65.79;23.68;5.26;2.63;2.63;94.39;84.74
12471819549365118387;PE 107;Powers,Paul Nathan;31.03;44.83;13.79;0.00;10.34;87.93;78.62
4440240292681970746;PE 107;Bechtolt,Randall N;57.89;31.58;5.26;0.00;5.26;93.26;83.68
18359890392875167808;PE 107;Holden,Tommy;60.00;35.00;5.00;0.00;0.00;95.10;85.50
2776749148867692912;PE 107;DeWitt,James L.;68.18;13.64;18.18;0.00;0.00;94.68;85.00
17455395612879883473;PE 108;Domingue,Peggy S;50.00;37.50;6.25;6.25;0.00;92.63;83.13
17917406702276293950;PE 109;Domingue,Peggy S;28.13;56.25;12.50;0.00;3.13;89.91;80.63
11557424979361647506;PE 109;Kagendo,Joy Ireri;68.00;28.00;4.00;0.00;0.00;96.08;86.40
14268754190393174380;PE 109;Stegall,Joanna;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1439764575938770501;PE 109;Clark,Kristine Noel;45.83;37.50;8.33;8.33;0.00;91.54;82.08
4597247878884031783;PE 109Q;Kagendo,Joy Ireri;54.55;36.36;9.09;0.00;0.00;94.09;84.55
1378254574908184341;PE 110;Lewis,Kari Kamile;28.57;57.14;0.00;0.00;14.29;87.86;78.57
1122330721990845257;PE 111;Powers,Paul Nathan;57.14;21.43;14.29;0.00;7.14;91.71;82.14
3633500635550021046;PE 111;Stegall,Joanna;95.65;4.35;0.00;0.00;0.00;99.52;89.57
15745770860034435160;PE 111;Howard,Keith;81.82;18.18;0.00;0.00;0.00;98.00;88.18
1182075019867500345;PE 111;Pollard,Gary Wayne;80.00;20.00;0.00;0.00;0.00;97.80;88.00
18389933418962349378;PE 111;Montcalm,Angie M;41.67;50.00;4.17;0.00;4.17;91.92;82.50
17564511579693386657;PE 111;DeReu,Darrin W.;72.22;16.67;11.11;0.00;0.00;95.83;86.11
8637839259772077022;PE 111;Smith,Rex R.;53.33;46.67;0.00;0.00;0.00;94.87;85.33
7162298087311583033;PE 111;Conner,David Alan;80.00;20.00;0.00;0.00;0.00;97.80;88.00
11988150438300217909;PE 111;Kagendo,Joy Ireri;52.94;47.06;0.00;0.00;0.00;94.82;85.29
12460723848951794017;PE 111;Ousley,Christopher Scott;64.52;35.48;0.00;0.00;0.00;96.10;86.45
1989613686966840256;PE 111;Holden,Tommy;76.92;15.38;7.69;0.00;0.00;96.69;86.92
11434373172711208897;PE 111;Moses,Kimberly Lynne;70.00;30.00;0.00;0.00;0.00;96.70;87.00
18345279888730939241;PE 111;Jones,Ted Durwood;33.33;33.33;22.22;11.11;0.00;88.22;78.89
8504584527344520373;PE 111;Clark,Kristine Noel;52.94;47.06;0.00;0.00;0.00;94.82;85.29
