Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
9051236157566555971;PEC 201;DeReu,Darrin W.;24.39;53.66;12.20;4.88;4.88;88.02;78.78
6603953316318798391;PEC 202;Williamson,Debra P.;31.34;34.33;14.93;8.96;10.45;86.03;76.72
11252786066627354405;PEC 203;Howard,Keith;71.43;23.81;0.00;0.00;4.76;95.43;85.71
17856431434964097759;PEC 203;Bechtolt,Randall N;26.32;36.84;36.84;0.00;0.00;88.21;78.95
6801891995878671297;PEC 204;Powers,Paul Nathan;41.94;35.48;16.13;0.00;6.45;90.06;80.65
9721533775681498721;PEC 205;Krotee,March Lee;89.66;10.34;0.00;0.00;0.00;98.86;88.97
7246216857666260316;PEC 208;Powers,Paul Nathan;38.89;22.22;33.33;0.00;5.56;88.28;78.89
18047838286994162189;PEC 211;Montcalm,Angie M;30.61;38.78;24.49;4.08;2.04;88.49;79.18
9626542238417551091;PEC 301;Conner,David Alan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4167183304172868122;PEC 301;Williamson,Debra P.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7153757870014730414;PEC 381;DeReu,Darrin W.;13.43;62.69;16.42;4.48;2.99;87.04;77.91
4682436755732683249;PEC 477;Conner,David Alan;32.14;53.57;14.29;0.00;0.00;91.11;81.79
7878085517553764753;PEC 477;Williamson,Debra P.;8.62;43.10;36.21;10.34;1.72;83.74;74.66
15637793502091214481;PEC 478;Roberts,Thomas Clay;26.26;41.41;23.23;5.05;4.04;87.34;78.08
6765357619348301292;PEC 478;Dang,William Q.;22.03;66.10;10.17;1.69;0.00;90.07;80.85
1413468817140949296;PEC 479;Williamson,Debra P.;26.67;44.44;17.78;4.44;6.67;87.27;78.00
1550562857846888073;PEC 479;Krotee,March Lee;45.57;44.30;10.13;0.00;0.00;93.00;83.54
5758017880540657438;PEC 479;Conner,David Alan;45.95;37.84;13.51;2.70;0.00;92.16;82.70
