Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
3902521949890850980;PEH 212;Austin,Christopher L;82.61;13.04;4.35;0.00;0.00;97.65;87.83
6393351924468856636;PEH 212;Ousley,Christopher Scott;54.62;36.97;5.88;0.84;1.68;93.75;84.20
13880570592248053617;PEH 213;Ousley,Christopher Scott;42.71;43.75;10.42;3.13;0.00;92.03;82.60
12298012807747903071;PEH 280;Buckley,Amanda Leigh;52.17;32.61;15.22;0.00;0.00;93.22;83.70
12761971395497191264;PEH 280;Shuford,Ritchie;32.88;64.38;2.74;0.00;0.00;92.34;83.01
1585046148347008791;PEH 280;Smith,Emelyn Virginia;50.91;47.27;1.82;0.00;0.00;94.42;84.91
15049885515661595773;PEH 281;Brown,Henry L.;75.41;22.95;1.64;0.00;0.00;97.13;87.38
2983956006087074594;PEH 281;Buckley,Amanda Leigh;79.17;20.83;0.00;0.00;0.00;97.71;87.92
14837121766395755901;PEH 281;Smith,Emelyn Virginia;67.57;28.38;4.05;0.00;0.00;96.03;86.35
14298886897173215808;PEH 284;Lewis,Kari Kamile;46.15;38.46;10.77;1.54;3.08;91.77;82.31
12687408264920654143;PEH 285;Kagendo,Joy Ireri;55.96;38.53;4.59;0.00;0.92;94.42;84.86
9017301263992070952;PEH 286;Lewis,Kari Kamile;79.12;14.29;3.30;1.10;2.20;96.49;86.70
5939397573610740942;PEH 286;Clark,Kristine Noel;83.15;11.24;2.25;0.00;3.37;96.91;87.08
17522737807066476216;PEH 287;Koutroumpis,Peter;72.41;20.69;6.90;0.00;0.00;96.28;86.55
3038590929920006876;PEH 287;Tatreau,Heather Lee;72.50;22.50;3.75;0.00;1.25;96.23;86.50
5116300059558166209;PEH 300;Brown,Henry L.;14.29;68.57;17.14;0.00;0.00;88.86;79.71
1386993172430474026;PEH 335;Turnbull,Marianne M.;97.14;1.43;0.00;0.00;1.43;99.26;89.29
10449644585214117932;PEH 375;Ousley,Christopher Scott;87.30;12.70;0.00;0.00;0.00;98.60;88.73
406310182720262191;PEH 377;Ousley,Christopher Scott;82.54;17.46;0.00;0.00;0.00;98.08;88.25
4950942485405903357;PEH 493;Ousley,Christopher Scott;0.00;0.00;0.00;0.00;0.00;0.00;0.00
