Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6327645371651091635;PHI 205;Glaser,Amy;27.69;63.85;6.15;0.77;1.54;90.82;81.54
17868920734286656782;PHI 205;Krylow,Joseph;34.96;30.08;28.46;6.50;0.00;88.70;79.35
16078027100735137956;PHI 205;Bauer,William A.;36.09;54.89;8.27;0.00;0.75;91.92;82.56
12012094967078368308;PHI 205;Duke,Adrienne;59.09;31.82;4.55;2.27;2.27;93.91;84.32
3673495060497031280;PHI 205;Carter,Eric K;55.64;37.59;5.26;1.50;0.00;94.29;84.74
8790379089064672940;PHI 205;Mabrito,Robert Alan;28.68;53.49;15.50;1.55;0.78;90.06;80.78
13457180052201987411;PHI 205;Barber,Nicholas;40.71;55.71;1.43;0.71;1.43;92.76;83.36
15843182188691064042;PHI 205;Kidd,Brandon;33.33;44.44;15.56;4.44;2.22;89.56;80.22
1119854848408113962;PHI 205;Rancourt,Benjamin Travis;27.78;61.11;9.40;0.85;0.85;90.69;81.41
7573764799701052289;PHI 205;Hinton,Timothy J;42.86;55.71;1.43;0.00;0.00;93.57;84.14
6364922987790022705;PHI 205;Driscoll,Catherine M;24.61;46.06;19.56;4.42;5.36;87.26;78.01
7023040466105769095;PHI 205;Endicott,Ronald P;16.39;36.89;30.33;9.84;6.56;83.84;74.67
14406931117181303429;PHI 205;Taylor,David Preston;53.79;37.88;6.06;0.00;2.27;93.63;84.09
5348016636092398077;PHI 205;Puryear,Stephen Montague;21.97;46.97;23.48;3.79;3.79;87.17;77.95
3419137267276957909;PHI 205;Soyarslan,Sanem;52.17;32.61;12.32;1.45;1.45;92.78;83.26
13861170432612815175;PHI 205;Pruitt,David;22.58;73.12;1.08;0.00;3.23;90.41;81.18
9085139475722011587;PHI 205;Bondurant,H.;21.74;46.09;22.61;4.35;5.22;86.70;77.48
11767633624668272612;PHI 205;Levenbook,Barbara B.;17.65;17.65;26.47;25.49;12.75;79.37;70.20
10910231884237663089;PHI 205;Bowers,Jason;60.53;28.07;10.53;0.88;0.00;94.43;84.82
9612896974762841335;PHI 205;Bagley,Benjamin Christopher;13.28;46.09;37.50;2.34;0.78;86.01;76.88
228995234450204415;PHI 205;Cole PhD,Joseph William;10.89;42.08;29.21;12.38;5.45;83.17;74.06
9080494414602736966;PHI 205;Heiner,Steven E.;30.88;33.82;16.18;5.88;13.24;85.63;76.32
3628143119811415827;PHI 205;McFarland,Andrew Lee;17.24;47.41;26.72;6.90;1.72;86.33;77.16
16386854277536850609;PHI 205;Hafner,Johannes;8.24;24.71;22.35;18.82;25.88;76.14;67.06
11691706222285796645;PHI 205;Bykova,Marina F.;21.58;52.52;24.46;0.72;0.72;88.57;79.35
2888735921150587711;PHI 205;Smith,Nicole Ann;35.60;50.79;11.52;1.57;0.52;91.29;81.94
11167336023584294198;PHI 205;Pendlebury,Michael John;64.29;35.71;0.00;0.00;0.00;96.07;86.43
5450172318960552910;PHI 205;Nadelhoffer,Thomas Allen;26.53;63.27;9.18;0.00;1.02;90.69;81.43
15249176648965015282;PHI 205;Frost,David James;39.76;44.58;10.84;0.00;4.82;90.84;81.45
13452616877976715992;PHI 205;Luco,Andres Carlos;14.58;54.17;27.08;0.00;4.17;86.65;77.50
15181165389979545208;PHI 210;Carter,Eric K;33.05;50.85;13.56;0.85;1.69;90.60;81.27
7682110756607810631;PHI 210;Middleton,Ben;35.71;42.86;14.29;0.00;7.14;89.36;80.00
10087828636321159938;PHI 210;Richardson,Kevin Andrew;38.39;46.43;9.82;2.68;2.68;90.90;81.52
10545727178991684508;PHI 210;Mabrito,Robert Alan;32.79;47.54;16.39;0.82;2.46;90.07;80.74
9447040790042398298;PHI 210;Logan,Shay Allen;49.35;33.77;11.69;0.00;5.19;91.70;82.21
9086361938001973152;PHI 210;Auerbach,David D.;25.23;31.78;27.10;9.35;6.54;85.23;75.98
9251570869395601922;PHI 214;Duke,Adrienne;59.34;28.57;10.99;0.00;1.10;94.10;84.51
10368783408467070200;PHI 214;Rancourt,Benjamin Travis;35.24;54.29;8.57;1.90;0.00;91.64;82.29
491944943494114192;PHI 214;Hettche PhD,Matt Raymond;49.79;48.95;0.42;0.00;0.84;94.18;84.68
6824532552662219006;PHI 214;Pruitt,David;32.09;51.49;15.67;0.75;0.00;90.81;81.49
596283146529364150;PHI 214;Dubljevic PhD,Veljko;62.67;37.33;0.00;0.00;0.00;95.89;86.27
7681456260682142076;PHI 214;Taylor,David Preston;72.00;20.00;7.00;1.00;0.00;96.02;86.30
13030779214341065161;PHI 214;Alexander,Drew Thomas;63.06;31.53;4.50;0.00;0.90;95.22;85.59
2011949011162780632;PHI 214;Marnell,Michael M;46.56;50.38;2.29;0.76;0.00;93.74;84.27
4268710617399002576;PHI 221;Johnson,Nevin Edward;34.44;52.22;11.11;1.11;1.11;91.12;81.78
16257609189509858078;PHI 221;Krylow,Joseph;40.00;49.23;10.77;0.00;0.00;92.32;82.92
17073850646096553365;PHI 221;Kral,Matej;82.35;13.73;3.92;0.00;0.00;97.67;87.84
11878598647637229721;PHI 221;Hettche PhD,Matt Raymond;53.08;43.60;0.47;0.47;2.37;93.99;84.45
15068938867293112788;PHI 221;Carter,Eric K;29.73;56.76;8.11;1.35;4.05;89.97;80.68
15067595481230736457;PHI 221;Taylor,David Preston;71.83;27.46;0.70;0.00;0.00;96.83;87.11
9569364284089310512;PHI 221;Rancourt,Benjamin Travis;34.04;44.68;19.15;2.13;0.00;90.40;81.06
18382145371376643179;PHI 221;Bryan,Ben;77.27;20.45;2.27;0.00;0.00;97.27;87.50
14511955965937216781;PHI 221;Soyarslan,Sanem;82.35;15.69;1.96;0.00;0.00;97.86;88.04
15252601570476171305;PHI 221;Alexander,Drew Thomas;54.35;43.48;2.17;0.00;0.00;94.76;85.22
1940945119460693652;PHI 221;Marnell,Michael M;57.89;38.95;3.16;0.00;0.00;95.05;85.47
6407481228882633177;PHI 221;Bondurant,H.;49.38;49.38;1.23;0.00;0.00;94.31;84.81
18437344922563935861;PHI 221;Austin,David Franklin;58.70;35.51;5.07;0.00;0.72;94.73;85.14
606934246150371188;PHI 221;Bagley,Benjamin Christopher;21.58;67.63;10.79;0.00;0.00;90.29;81.08
6555371802724254097;PHI 221;Mabrito,Robert Alan;24.46;56.12;17.27;2.16;0.00;89.53;80.29
1375343524926483521;PHI 221;Pierce,Christine M.;39.53;55.81;4.65;0.00;0.00;92.88;83.49
10881577843163940527;PHI 221;Luco,Andres Carlos;40.00;52.00;6.00;0.00;2.00;92.20;82.80
3938955363976212048;PHI 227;Harris,Jack Henry;39.53;53.49;2.33;0.00;4.65;91.72;82.33
12305988943738399266;PHI 227;Pruitt,David;57.14;35.71;3.17;1.59;2.38;93.94;84.37
8277909346150339776;PHI 227;Austin,David Franklin;48.89;40.00;3.33;2.22;5.56;91.93;82.44
3543702941677537277;PHI 250;Bauer,William A.;29.81;48.08;16.35;1.92;3.85;89.11;79.81
5048595951894172127;PHI 250;Carter,Eric K;36.11;43.06;15.28;2.78;2.78;90.06;80.69
5975135381971420499;PHI 250;Puryear,Stephen Montague;40.00;30.00;30.00;0.00;0.00;90.40;81.00
1395548529007293198;PHI 250;Austin,David Franklin;57.78;23.33;10.00;5.56;3.33;92.24;82.67
7215256184430988022;PHI 250;Bykova,Marina F.;31.88;46.38;18.84;2.90;0.00;90.04;80.72
11974668301030668647;PHI 300;Hinton,Timothy J;18.33;65.00;10.83;0.00;5.83;88.18;79.00
14114979805293253132;PHI 300;Krylow,Joseph;31.58;50.00;18.42;0.00;0.00;90.63;81.32
14452818193349020795;PHI 300;Soyarslan,Sanem;42.64;35.66;17.05;3.10;1.55;90.90;81.47
2808267851249665601;PHI 300;Puryear,Stephen Montague;30.10;43.69;17.48;1.94;6.80;88.14;78.83
9878021101211517709;PHI 301;Soyarslan,Sanem;48.21;29.46;11.61;9.82;0.89;90.91;81.43
5072363188178123517;PHI 301;Hinton,Timothy J;26.61;64.22;6.42;0.92;1.83;90.55;81.28
10789544405440115057;PHI 301;Puryear,Stephen Montague;33.33;40.00;16.67;3.33;6.67;88.33;79.00
15369547058677705579;PHI 302;Bykova,Marina F.;26.39;38.89;20.83;4.17;9.72;86.07;76.81
1135675989404973785;PHI 302;Kral,Matej;68.75;31.25;0.00;0.00;0.00;96.56;86.88
13510656102372734820;PHI 302;Rice,Arthur R;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17875764113116300162;PHI 305;Krylow,Joseph;51.47;39.71;7.35;1.47;0.00;93.63;84.12
1705155935849530603;PHI 305;Hinton,Timothy J;29.58;57.75;9.86;1.41;1.41;90.56;81.27
1201942181160681032;PHI 309;Hinton,Timothy J;29.79;62.77;3.19;2.13;2.13;90.89;81.60
956406023448922960;PHI 310;Bykova,Marina F.;34.26;37.96;17.59;5.56;4.63;88.51;79.17
13882602589621081197;PHI 310;Heiner,Steven E.;29.31;37.93;20.69;3.45;8.62;86.88;77.59
11383335855742984502;PHI 310;Kral,Matej;100.00;0.00;0.00;0.00;0.00;100.00;90.00
945616178290907139;PHI 312;Johnson,Nevin Edward;50.00;47.83;2.17;0.00;0.00;94.28;84.78
13847123475284099603;PHI 312;Bryan,Ben;82.14;14.29;0.00;1.79;1.79;97.14;87.32
3158200566750360281;PHI 312;Levenbook,Barbara B.;31.18;34.41;20.43;10.75;3.23;87.27;77.96
5913493359601986360;PHI 313;Johnson,Nevin Edward;33.33;44.87;16.67;1.28;3.85;89.59;80.26
4735690560222606035;PHI 313;Bryan,Ben;81.03;17.24;0.00;0.00;1.72;97.40;87.59
9547698404351639687;PHI 313;Levenbook,Barbara B.;17.65;30.59;24.71;23.53;3.53;82.71;73.53
2981023389873417052;PHI 319;Ferguson II,Stephen Clifford;68.27;20.19;10.58;0.96;0.00;95.26;85.58
14173446016838776219;PHI 320;Ferguson II,Stephen Clifford;70.73;24.39;3.25;0.00;1.63;95.97;86.26
6103145058777520315;PHI 325;Harris,Jack Henry;51.61;42.74;1.61;0.81;3.23;93.39;83.87
8699715123387302955;PHI 325;Bauer,William A.;70.27;27.03;2.25;0.45;0.00;96.41;86.71
636076274747648169;PHI 325;Glaser,Amy;77.87;22.13;0.00;0.00;0.00;97.57;87.79
6042248947740672912;PHI 325;Comstock,Gary L;56.31;34.95;5.83;1.94;0.97;93.93;84.37
11235294205071718073;PHI 325;Tjiattas,Mary;54.55;45.45;0.00;0.00;0.00;95.00;85.45
3146188569969470530;PHI 325;Dubljevic PhD,Veljko;30.23;55.81;13.95;0.00;0.00;90.93;81.63
11085399588356378340;PHI 325;Harwood,Karey Alison;34.33;52.24;9.70;0.75;2.99;90.76;81.42
2046960647824844020;PHI 330;Kidd,Brandon;48.00;40.00;6.00;2.00;4.00;92.08;82.60
4699386775169078747;PHI 330;Carroll,John W;58.21;25.37;5.97;2.99;7.46;91.97;82.39
15682299206470041718;PHI 331;Carter,Eric K;50.79;39.68;6.35;1.59;1.59;93.16;83.65
3029227412110546740;PHI 331;Wu,Xinhe;71.43;14.29;14.29;0.00;0.00;95.43;85.71
