Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
875464865497458334;PHY 503;Bohorquez,Elaine B;36.19;37.31;20.90;5.22;0.37;89.74;80.37
16332016030267954117;PHY 503;Mozdziak,Paul Edward;33.33;40.58;23.19;2.90;0.00;89.77;80.43
13007356942209564918;PHY 503;Hawkins,Beth;58.62;31.03;10.34;0.00;0.00;94.41;84.83
5969462290476270894;PHY 503;Godwin,John R;55.56;29.63;7.41;7.41;0.00;92.89;83.33
1513165445559548001;PHY 503;Grossfeld,Robert M.;40.48;35.71;19.05;0.00;4.76;90.12;80.71
5155321062852843480;PHY 504;Bohorquez,Elaine B;37.63;35.84;22.94;3.58;0.00;90.13;80.75
6094483456133248713;PHY 504;Godwin,John R;61.90;28.57;9.52;0.00;0.00;94.86;85.24
6091550139053189710;PHY 504;Grossfeld,Robert M.;46.88;21.88;28.13;3.13;0.00;90.72;81.25
3206025401653230448;PHY 505;Bohorquez,Elaine B;95.00;5.00;0.00;0.00;0.00;99.45;89.50
12294284360663804260;PHY 524;Edens,Frank W.;87.50;12.50;0.00;0.00;0.00;98.63;88.75
18345530960341702824;PHY 552;Poole,Daniel H.;36.36;45.45;9.09;9.09;0.00;90.27;80.91
9837971019815784078;PHY 552;Farin,Charlotte E;69.44;22.22;5.56;2.78;0.00;95.53;85.83
12357239446239671040;PHY 595;Bohorquez,Elaine B;92.86;4.76;0.00;2.38;0.00;98.74;88.81
16352474195864464256;PHY 595;Mozdziak,Paul Edward;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12605361415953069631;PHY 601;Croom Jr,Warren J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14787809327538994298;PHY 693;Mozdziak,Paul Edward;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8792812018756780023;PHY 702;Farin,Charlotte E;64.29;28.57;0.00;0.00;7.14;93.93;84.29
15244862141735574123;PHY 764;Blikslager,Anthony T;58.33;41.67;0.00;0.00;0.00;95.42;85.83
12686940803351528091;PHY 820;Gookin PhD,Jody L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13589734975790587878;PHY 820;Roberts,Malcolm C.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8120576728499375837;PHY 893;Mozdziak,Paul Edward;0.00;0.00;0.00;0.00;0.00;0.00;0.00
