Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
13876447795879666311;PO 101;Esbenshade,Kenneth L.;14.87;28.21;35.90;11.28;9.74;81.87;72.72
7597788145678432992;PO 101;Gregory,Gary Marvin;20.45;38.18;30.91;6.82;3.64;85.70;76.50
17419498146671955347;PO 102;Moore,Jeannette A;18.90;25.98;29.13;19.69;6.30;82.34;73.15
5301945861886476438;PO 11;Worley-Davis,Lynn;58.33;22.22;8.33;5.56;5.56;91.81;82.22
11906054176690442989;PO 11;Scherpereel,Melissa Taylor;56.76;29.73;5.41;0.00;8.11;92.27;82.70
7674844914443843180;PO 111;Worley-Davis,Lynn;52.00;27.20;15.20;3.20;2.40;91.84;82.32
14540254783392162617;PO 150;Worley-Davis,Lynn;79.63;18.52;1.85;0.00;0.00;97.57;87.78
12104078969421462348;PO 162;Worley-Davis,Lynn;92.59;7.41;0.00;0.00;0.00;99.19;89.26
11461580270219797440;PO 162;Chen,Chongxiao (Sean);65.38;21.15;5.77;1.92;5.77;93.50;83.85
11117117834153291144;PO 162;Carver,Donna K.;8.25;50.52;36.08;5.15;0.00;85.27;76.19
578565281494160903;PO 201;Worley-Davis,Lynn;83.75;8.75;5.00;2.50;0.00;97.21;87.38
6594158862317486695;PO 201;Parkhurst,Carmen R.;46.67;40.00;13.33;0.00;0.00;92.80;83.33
4903517041063321021;PO 201;Golden,Jacquelyn Beth;35.71;36.90;19.05;5.95;2.38;89.12;79.76
7854221109520893755;PO 201A;Worley-Davis,Lynn;55.42;15.66;18.07;9.64;1.20;91.00;81.45
15829902057890561319;PO 202;Jones,Susan  ;94.29;5.71;0.00;0.00;0.00;99.37;89.43
16382719575056709169;PO 202;Worley-Davis,Lynn;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12696141697876925784;PO 202A;Jones,Susan  ;84.62;7.69;7.69;0.00;0.00;97.54;87.69
7008884012200911168;PO 202A;Worley-Davis,Lynn;80.00;10.00;3.33;3.33;3.33;95.80;86.00
1481938966590664642;PO 212;Jones,Susan  ;83.33;12.50;0.00;4.17;0.00;97.33;87.50
6140985126425105357;PO 212;Worley-Davis,Lynn;92.50;7.50;0.00;0.00;0.00;99.18;89.25
7124675663102252585;PO 212;Ashwell,Chris;86.42;12.35;1.23;0.00;0.00;98.38;88.52
13191576024413637597;PO 290;Worley-Davis,Lynn;98.18;1.82;0.00;0.00;0.00;99.80;89.82
629105772033056312;PO 290;Parkhurst,Carmen R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10408786550040118582;PO 290;Pardue,Sam;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15425402980000466772;PO 322;Hanson,Dana J.;31.43;28.57;31.43;8.57;0.00;87.60;78.29
6198511263119128234;PO 340;Anderson,Kenneth E;55.77;34.62;9.62;0.00;0.00;94.17;84.62
13694532378501056038;PO 401;Malheiros,Ramon Diniz;50.00;50.00;0.00;0.00;0.00;94.50;85.00
14259086729667359457;PO 404;Kiess,Aaron S;32.26;51.61;16.13;0.00;0.00;90.94;81.61
6831204699635640884;PO 404;Edens,Frank W.;78.87;15.49;2.82;0.00;2.82;96.55;86.76
2532192422613376941;PO 405;Golden,Jacquelyn Beth;34.82;37.50;26.79;0.89;0.00;89.97;80.63
773463915845747685;PO 406;Brake,John Thomas;22.73;43.18;34.09;0.00;0.00;88.09;78.86
16401003071559787259;PO 407;Brake,John Thomas;90.91;9.09;0.00;0.00;0.00;99.00;89.09
13738545501222995060;PO 410;Grimes,Jesse Lee;66.67;33.33;0.00;0.00;0.00;96.33;86.67
11904356790121983716;PO 411;Koci,Matt;78.87;14.08;7.04;0.00;0.00;96.97;87.18
13872709913138795389;PO 415;Ferket,Peter R.;79.54;18.44;1.73;0.00;0.29;97.49;87.69
1902157479786413882;PO 415;Malheiros,Ramon Diniz;86.84;9.40;2.26;0.75;0.75;97.95;88.08
