Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11709595923759907316;PP 144;Ivy III,Lee;7.14;28.57;42.86;14.29;7.14;80.50;71.43
12387875187040979668;PP 150;Merrill,Melissa Schuster;57.78;33.33;6.67;0.00;2.22;94.02;84.44
1549961859418721024;PP 150;Dean,Ralph A;56.25;29.17;12.50;2.08;0.00;93.52;83.96
18278253812419017431;PP 222;Cubeta,Marc A;67.31;28.85;3.85;0.00;0.00;96.02;86.35
17439158857226926982;PP 222;Grand,Larry Frank;49.12;40.35;7.02;1.75;1.75;92.82;83.33
5428180764530920135;PP 241;Opperman,Charles H.;95.65;3.62;0.00;0.00;0.72;99.30;89.35
15229843915554982744;PP 315;Fagen,Jennie Ruth;40.00;36.25;12.50;8.75;2.50;89.65;80.25
15807972125562484853;PP 315;Oh,YeonYee;40.00;36.67;16.67;0.00;6.67;89.73;80.33
2453709417346575371;PP 315;Shew,Howard D.;41.32;32.23;16.53;3.31;6.61;89.25;79.83
12081522566346233582;PP 318;Benson,David M.;43.33;43.33;10.00;3.33;0.00;92.10;82.67
10567878911731022209;PP 318;Grand,Larry Frank;40.74;48.15;11.11;0.00;0.00;92.37;82.96
14206134930023776370;PP 495;Bruck,Robert I.;95.00;5.00;0.00;0.00;0.00;99.45;89.50
10467338106572332691;PP 495F;Bruck,Robert I.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18029183473686274538;PP 501;Huerta,Alejandra Itzel;81.63;18.37;0.00;0.00;0.00;97.98;88.16
7515989599296318931;PP 501;Sit,Tim;82.35;17.65;0.00;0.00;0.00;98.06;88.24
7803234044885765880;PP 501;Ritchie,David F.;84.62;12.82;2.56;0.00;0.00;98.05;88.21
13159405702418320377;PP 502;Sit,Tim;91.18;8.82;0.00;0.00;0.00;99.03;89.12
6836087666877520130;PP 502;Davis,Eric Lee;50.00;50.00;0.00;0.00;0.00;94.50;85.00
14987545521637450662;PP 502;Kerns,James P;79.31;20.69;0.00;0.00;0.00;97.72;87.93
3167903612726702003;PP 502;Koenning PhD,Stephen Robert;75.00;25.00;0.00;0.00;0.00;97.25;87.50
714672601804605505;PP 502;Louws,Frank J;87.10;12.90;0.00;0.00;0.00;98.58;88.71
5144390198358679184;PP 506;Kerns,James P;75.00;22.50;2.50;0.00;0.00;97.00;87.25
17217729108490263211;PP 506;Mila,Asimina Leonidas;76.00;20.00;4.00;0.00;0.00;96.96;87.20
5855581128934026135;PP 506;Benson,David M.;90.00;10.00;0.00;0.00;0.00;98.90;89.00
6654050840895262434;PP 506;Shew,Barbara B.;58.33;25.00;8.33;0.00;8.33;92.08;82.50
10705134891801725832;PP 540;Ristaino,Jean B.;76.92;23.08;0.00;0.00;0.00;97.46;87.69
12987407145375246656;PP 55;Tredway,Lane Patrick;17.91;35.82;25.37;11.94;8.96;83.36;74.18
9253789443742156775;PP 575;Cubeta,Marc A;69.57;30.43;0.00;0.00;0.00;96.65;86.96
8229451926913801365;PP 575;Grand,Larry Frank;57.14;42.86;0.00;0.00;0.00;95.29;85.71
13706543609451831625;PP 590;Rasmussen,David Alan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13985273076165950020;PP 590;Quesada,Lina Maria;80.00;20.00;0.00;0.00;0.00;97.80;88.00
7154085097745746919;PP 590;Fagen,Jennie Ruth;75.00;12.50;12.50;0.00;0.00;96.00;86.25
15197870047150384648;PP 590;Shew,Howard D.;95.00;5.00;0.00;0.00;0.00;99.45;89.50
17438378673347518742;PP 590;Baars,Oliver;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4411369522676069281;PP 590;Shew,Barbara B.;90.91;9.09;0.00;0.00;0.00;99.00;89.09
8178126824698166947;PP 590;Koenning PhD,Stephen Robert;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18343320290250015580;PP 590;Benson,David M.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13379265585077812103;PP 590;Ristaino,Jean B.;76.92;23.08;0.00;0.00;0.00;97.46;87.69
13659519232819091495;PP 590;Moyer,James W.;50.00;50.00;0.00;0.00;0.00;94.50;85.00
17282836401093687132;PP 590;Sutton,Turner Bond;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17450466468659655766;PP 590S;Sutton,Turner Bond;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14530526025007168371;PP 601;Dean,Ralph A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9206947464675575269;PP 601;Mila,Asimina Leonidas;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14187020973404992085;PP 610;Bird,David M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12493163409588993647;PP 610;Whitfield,Anna Elizabeth;0.00;0.00;0.00;0.00;0.00;0.00;0.00
929738490368094130;PP 610G;Bird,David M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6293581433700697561;PP 695;Lux,LeAnn  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11864803207532525767;PP 695;Kerns,James P;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11251633703284548718;PP 695;Whitfield,Anna Elizabeth;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18367187604948646686;PP 695;Huerta,Alejandra Itzel;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1797359186663493027;PP 695;Louws,Frank J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2992120959982118745;PP 695;Quesada,Lina Maria;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6261313922301148037;PP 695;Dean,Ralph A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10306240233604080533;PP 695;Cubeta,Marc A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11061232762616507935;PP 707;Dean,Ralph A;81.25;18.75;0.00;0.00;0.00;97.94;88.13
350110300897467488;PP 707;Payne,Gary A.;81.82;15.15;3.03;0.00;0.00;97.70;87.88
7887986998624219182;PP 715;Carbone,Ignazio;80.00;20.00;0.00;0.00;0.00;97.80;88.00
8368287642397029061;PP 727;Orr,David B;88.24;11.76;0.00;0.00;0.00;98.71;88.82
1422253476355870835;PP 727;Hu,Shuijin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8730167736801814092;PP 728;Benson,David M.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5711371001968518794;PP 730;Payne,Gary A.;71.43;28.57;0.00;0.00;0.00;96.86;87.14
3403763489333897069;PP 755;Huerta,Alejandra Itzel;77.78;22.22;0.00;0.00;0.00;97.56;87.78
16186628714610620598;PP 755;Shew,Barbara B.;85.71;14.29;0.00;0.00;0.00;98.43;88.57
17705753260435839003;PP 790;Rasmussen,David Alan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1128662430341974987;PP 790;Davis,Eric Lee;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3222950439629349040;PP 790;Shew,Barbara B.;75.00;0.00;25.00;0.00;0.00;94.75;85.00
694973567123483211;PP 790;Moyer,James W.;91.67;8.33;0.00;0.00;0.00;99.08;89.17
2813333246142183959;PP 790;Benson,David M.;85.71;14.29;0.00;0.00;0.00;98.43;88.57
7434021395246073942;PP 790;Dean,Ralph A;71.43;28.57;0.00;0.00;0.00;96.86;87.14
16875672219861186567;PP 790;Opperman,Charles H.;64.29;35.71;0.00;0.00;0.00;96.07;86.43
13930994221687715387;PP 790C;Davis,Eric Lee;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5742027164618467536;PP 801;Whitfield,Anna Elizabeth;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8768661877660688371;PP 801;Dean,Ralph A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16521870106965953340;PP 801;Hu,Shuijin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17923381888869593280;PP 810;Bird,David M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8200775831592526652;PP 810;Motsinger-Reif,Alison Anne;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7805125693241943622;PP 810G;Bird,David M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7956915681514841545;PP 885;Fagen,Jennie Ruth;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12651061507430471520;PP 885;Ojiambo,Peter;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11776925405216683342;PP 895;Ristaino,Jean B.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8964902833023376008;PP 895;Louws,Frank J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26151008507026476;PP 895;Quesada,Lina Maria;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11676871395409278686;PP 895;Ojiambo,Peter;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8946980974287859539;PP 895;Cowger,Christina;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5743280498284470402;PP 895;Baars,Oliver;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1109317155171906113;PP 895;Rasmussen,David Alan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7052879562273098792;PP 895;Shew,Howard D.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9476521540043634782;PP 895;Sit,Tim;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17540346597994686329;PP 896;Davis,Eric Lee;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5520583318696611537;PP 899;Ritchie,David F.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
