Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11390545792019061294;PRK 101;Feucht,Eva Maria;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13288929751823897350;PRK 101;Ho,Sarah;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6456304820249315200;PRK 101;Edgington,Cyndi;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10760228437380886159;PRK 101;Greene,Steven H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5093136154147852438;PRK 101;Griffin,Clifford E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2953867625919892060;PRK 101;Silverberg,Lawrence M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4588811153046613037;PRK 101;Ash,Sarah L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14639414304019019799;PRK 101;Bullard,Lisa G;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6155371400046960717;PRK 101;Patterson,Robert P.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15978189863001297088;PRK 101;Frigo,Robert Anthony;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8195601853690170183;PRK 102;Elting,Mary Williard;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16513846206066226072;PRK 102;Harwood,Karey Alison;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10254891289176841949;PRK 102;Ascencio-Ibanez,Trino;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11702380591935570079;PRK 102;Goodell,Suzie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
914126342315993820;PRK 102;Edgington,Cyndi;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11685430632713063671;PRK 102;Parks,Lisa D;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1171936421196687640;PRK 102;Griffin,Clifford E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15846945816416727051;PRK 102;Silverberg,Lawrence M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15678995017228947703;PRK 102;Ho,Sarah;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8332017694958173841;PRK 102;Schwartz,Valerie Megan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10248348130576216896;PRK 102;Frigo,Robert Anthony;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7801062152496359978;PRK 102;Tongsri,Joy;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10785846231310009233;PRK 201;Feucht,Eva Maria;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10298708609089329470;PRK 201;Sandberg,Kay A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11422418281144246213;PRK 201;Ho,Sarah;0.00;0.00;0.00;0.00;0.00;0.00;0.00
