Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2789440768588084534;PRT 150;Howard,Keith;84.00;10.50;4.00;0.50;1.00;97.44;87.60
16831520980711566678;PRT 150;Morais,Susanne Dubrouillet;76.19;19.05;4.76;0.00;0.00;96.90;87.14
13580725133939624148;PRT 150;Bush,Kimberly Ann;69.39;20.41;7.14;1.02;2.04;95.10;85.41
8814803065051056514;PRT 150;Moretz,Janell Lynn;37.29;39.83;16.95;3.39;2.54;89.97;80.59
7574587007743248836;PRT 150;moore,annette;68.97;22.41;8.62;0.00;0.00;95.72;86.03
13632632412304916173;PRT 150;Vick,Candace Goode;66.28;19.77;8.14;4.65;1.16;94.20;84.53
16298286880016925386;PRT 152;Williams,Nathan;66.67;23.48;6.82;0.76;2.27;94.82;85.15
771235123020002961;PRT 152;Howard,Keith;79.55;13.64;4.55;0.00;2.27;96.61;86.82
3315140213527836559;PRT 152;Morais,Susanne Dubrouillet;52.63;31.58;9.65;4.39;1.75;92.42;82.89
13618229926245216651;PRT 152;moore,annette;62.04;28.70;8.33;0.00;0.93;94.71;85.09
15407118837865496751;PRT 152;Stamper,Kathy Hamilton;38.24;28.43;24.51;5.88;2.94;88.70;79.31
15703193119934332502;PRT 152;Bush,Kimberly Ann;94.44;5.56;0.00;0.00;0.00;99.39;89.44
17361457810432077246;PRT 152;Moretz,Janell Lynn;37.17;31.86;21.24;5.31;4.42;88.58;79.20
5061760156254858473;PRT 152;Carter,David E;85.85;9.43;1.89;0.00;2.83;97.41;87.55
3988789062200233716;PRT 152;Palacios PhD,Ines;32.93;42.68;14.63;3.66;6.10;88.60;79.27
10376410629168572354;PRT 152;Thompson,Timia D;31.58;39.47;25.00;2.63;1.32;89.05;79.74
15152685519900005625;PRT 152;Oakleaf,Linda;20.69;48.28;24.14;6.90;0.00;87.48;78.28
9722335501074557388;PRT 152;Vick,Candace Goode;29.17;52.08;10.42;2.08;6.25;88.88;79.58
14851069827953983043;PRT 152;Swanson,Jason Richard;56.10;34.15;4.88;2.44;2.44;93.46;83.90
8961599007118282800;PRT 156;Wade,Robb;82.22;8.89;8.89;0.00;0.00;97.16;87.33
2006455448796910679;PRT 200;Kanters,Michael A;42.75;32.06;11.45;6.11;7.63;89.05;79.62
7924327503722827835;PRT 203;Cutts,Bethany Brooke;37.68;34.78;13.04;1.45;13.04;87.64;78.26
348572389141159786;PRT 210;Rosselli,Tony;91.67;4.17;4.17;0.00;0.00;98.67;88.75
554172021218528447;PRT 210;Wade,Robb;91.30;4.35;4.35;0.00;0.00;98.61;88.70
1048900316381856919;PRT 210;Betz,Andrew;100.00;0.00;0.00;0.00;0.00;100.00;90.00
741469737264707442;PRT 211;Rosselli,Tony;94.44;2.78;0.00;0.00;2.78;98.56;88.61
61750351565477909;PRT 211;Betz,Andrew;75.00;25.00;0.00;0.00;0.00;97.25;87.50
2449371316286608134;PRT 211;Wade,Robb;58.70;23.91;13.04;2.17;2.17;93.07;83.48
12337896310446255604;PRT 212;Rosselli,Tony;96.15;0.00;3.85;0.00;0.00;99.19;89.23
5968785435266693677;PRT 212;Betz,Andrew;68.00;16.00;12.00;4.00;0.00;94.48;84.80
12569667051358782308;PRT 212;Wade,Robb;70.83;20.83;8.33;0.00;0.00;95.96;86.25
7765446291807738191;PRT 214;Holden,Tommy;86.67;13.33;0.00;0.00;0.00;98.53;88.67
7808885687897286635;PRT 214;Morais,Susanne Dubrouillet;70.00;25.00;0.00;0.00;5.00;95.20;85.50
14020518235467407847;PRT 214;Attarian PhD,Aram;20.00;48.57;25.71;5.71;0.00;87.49;78.29
5542169453495080905;PRT 215;Morais,Susanne Dubrouillet;62.50;27.08;10.42;0.00;0.00;94.83;85.21
17070271278894033888;PRT 215;Attarian PhD,Aram;40.00;36.36;20.00;3.64;0.00;90.67;81.27
11268269614381362286;PRT 220;Morais,Duarte B.;33.33;47.47;12.12;4.04;3.03;89.74;80.40
11393528420936098742;PRT 220;Knollenberg,Whitney Grace;55.79;30.53;10.53;0.00;3.16;93.14;83.58
387812077469204820;PRT 220;Brune,Sara;69.23;23.08;7.69;0.00;0.00;95.85;86.15
11667416180904998857;PRT 220;Barbieri,Carla E;67.39;21.74;7.97;2.90;0.00;95.04;85.36
284337215476867636;PRT 220;Palacios PhD,Ines;46.76;38.13;12.23;0.72;2.16;92.13;82.66
14766681204443667775;PRT 220;Brothers,Gene Leroy;57.41;22.84;8.64;5.56;5.56;91.67;82.10
9303242551333404894;PRT 220;Martin,Kate Joanne;77.27;20.45;2.27;0.00;0.00;97.27;87.50
14442774728291187773;PRT 220;Tomas,Stacy R;23.38;50.65;16.88;5.19;3.90;87.68;78.44
10372578425583005502;PRT 220;Gustke,Larry Douglas;28.89;64.44;2.22;0.00;4.44;90.62;81.33
13255935298147553727;PRT 230;Larson,Lincoln Ray;57.14;30.77;6.59;3.30;2.20;93.31;83.74
99003582740311651;PRT 238;Dobson,Micah Jaleel;94.25;1.15;1.72;0.00;2.87;98.33;88.39
14270981233052417864;PRT 238;Howard,Keith;67.32;19.61;9.15;1.31;2.61;94.44;84.77
1749188836276724599;PRT 238;Lee PhD,KangJae Jerry;36.36;34.55;21.21;4.85;3.03;89.00;79.64
14492312507481882865;PRT 238;Grays,Shaefny;18.75;43.75;37.50;0.00;0.00;87.31;78.13
5219291609131016427;PRT 238;Stamper,Kathy Hamilton;31.08;32.43;25.68;6.76;4.05;87.28;77.97
16225355723869837864;PRT 238;Bush,Kimberly Ann;50.78;37.60;6.59;2.71;2.33;92.69;83.18
3608231742097733977;PRT 238;Moretz,Janell Lynn;20.75;54.77;15.77;6.22;2.49;87.71;78.51
17698419924163322475;PRT 238;Shields,Joyce B;58.93;30.36;7.74;1.19;1.79;93.93;84.35
8239266468859534664;PRT 240;Vukomanovic,Jelena;48.48;33.33;15.15;1.52;1.52;92.06;82.58
12523261070186257468;PRT 250;Williams,Nathan;65.79;24.56;7.02;0.88;1.75;94.83;85.18
7100901105055486780;PRT 250;Brothers,Gene Leroy;47.83;30.43;9.78;7.61;4.35;90.46;80.98
7457408944718473540;PRT 250;Carter,David E;61.80;23.60;11.24;2.25;1.12;93.89;84.27
12693314756205723038;PRT 250;Attarian PhD,Aram;3.13;50.00;37.50;9.38;0.00;83.72;74.69
3909010789774492315;PRT 266;Bethea,Jan;45.54;45.54;6.93;0.99;0.99;92.82;83.37
1586999027321386882;PRT 266;Lindsay,Edwin Keith;47.33;17.56;12.98;9.16;12.98;87.18;77.71
13349560881174864913;PRT 266;Willis,Kimberly Pettaway;71.08;24.70;3.01;0.00;1.20;96.16;86.45
2006532988621083100;PRT 266;Jones,Gareth James;15.38;76.92;0.00;0.00;7.69;88.38;79.23
4944647399555379339;PRT 266;Kelley,Katharine Elizabeth;55.56;33.33;11.11;0.00;0.00;94.00;84.44
8625480839072059006;PRT 266;Harrolle,Michelle G;32.43;40.54;21.62;0.00;5.41;88.78;79.46
12905602715983345043;PRT 266;Mohan,Leon Jagdeo;33.33;53.97;11.11;1.59;0.00;91.24;81.90
787930613006034323;PRT 277;Drake,Nick;86.54;13.46;0.00;0.00;0.00;98.52;88.65
7278233500176086277;PRT 277;Howard,Keith;76.19;18.10;3.81;0.95;0.95;96.52;86.76
8384668107648301213;PRT 277;Bush,Kimberly Ann;61.04;22.08;16.88;0.00;0.00;94.03;84.42
9025789649094236643;PRT 277;Willis,Kimberly Pettaway;88.37;9.30;2.33;0.00;0.00;98.49;88.60
5533185067251539520;PRT 277;Dobson,Micah Jaleel;91.67;2.78;0.00;0.00;5.56;97.42;87.50
5333131880190189528;PRT 277;Bunds,Kyle;42.96;45.19;10.37;0.74;0.74;92.32;82.89
933994355591933920;PRT 277;Jones,Gareth James;12.33;50.68;27.40;8.22;1.37;85.56;76.44
6193646849141286118;PRT 277;Casper,Jonathan M;16.22;56.08;16.89;8.78;2.03;86.73;77.57
10456106326606349678;PRT 277;Perry,Warren Seipp;45.00;20.00;25.00;10.00;0.00;89.45;80.00
16103627049199893770;PRT 277;Grappendorf,Heidi L;17.65;41.18;35.29;5.88;0.00;86.24;77.06
6371614567859320866;PRT 286;Lindsay,Edwin Keith;65.66;29.29;2.02;3.03;0.00;95.41;85.76
5891308060711867975;PRT 286;Rosselli,Tony;69.70;21.21;9.09;0.00;0.00;95.76;86.06
11381516598305085585;PRT 286;Willis,Kimberly Pettaway;55.21;38.54;4.17;1.04;1.04;94.14;84.58
8940280242641039732;PRT 286;Brown,Martha C;46.03;31.75;14.29;7.94;0.00;91.05;81.59
4573124474253748669;PRT 286;Bunds,Kyle;34.26;57.41;7.41;0.00;0.93;91.75;82.41
16690428139700941054;PRT 286;Zinn,David;84.00;14.67;1.33;0.00;0.00;98.11;88.27
2415761503231511852;PRT 286;Peel,Judy C.;10.71;60.71;21.43;0.00;7.14;85.89;76.79
17457629894626941896;PRT 292;Brown,Martha C;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10310346540531641455;PRT 292;Vick,Candace Goode;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11828977656153954248;PRT 295;Hipp,Aaron;50.00;35.71;7.14;7.14;0.00;92.36;82.86
1742415781169305234;PRT 295;Clift,Bryan Christopher;27.14;62.86;7.14;2.86;0.00;90.70;81.43
3100285416826019412;PRT 295;Bush,Kimberly Ann;58.67;30.67;8.00;1.33;1.33;93.99;84.40
