Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
13928600585351309811;PS 101;Williams,James O.;78.95;7.89;0.00;0.00;13.16;93.74;83.95
2973354772058964608;PS 102;Williams,James O.;77.27;4.55;0.00;0.00;18.18;92.05;82.27
12481365097516607218;PS 103;Williams,James O.;77.50;7.50;0.00;0.00;15.00;93.03;83.25
14270376747206307982;PS 201;Morris,Irwin L.;51.23;37.19;7.64;1.97;1.97;92.89;83.37
14256053022340230594;PS 201;Graham,Daniel N.;45.76;52.54;1.69;0.00;0.00;93.86;84.41
18306457227954086569;PS 201;Taylor,Andrew J;30.19;62.26;1.89;0.00;5.66;90.43;81.13
14860268333695567555;PS 201;Solari,Anthony G.;41.27;42.06;10.32;0.79;5.56;90.68;81.27
10879702578767679251;PS 201;Greene,Steven H;21.46;53.41;20.73;2.44;1.95;88.21;79.00
13725180852093228016;PS 201;Mitkov,Zlatin;96.77;3.23;0.00;0.00;0.00;99.65;89.68
11154799791131039314;PS 201;Minkowitz,Honey  ;56.57;36.36;7.07;0.00;0.00;94.52;84.95
10721858873899304311;PS 201;Ballingrud,Gordon;35.29;35.29;14.71;8.82;5.88;87.88;78.53
7165324878008433746;PS 201;Pollock,William;62.86;25.71;7.14;1.43;2.86;94.06;84.43
3390703432373681862;PS 201;Garson,George D;33.33;33.33;18.75;6.25;8.33;87.04;77.71
15571499329494169364;PS 201;Mandeville PhD,John;21.92;34.25;32.88;6.85;4.11;85.52;76.30
12744034092144535615;PS 201;Kabala PhD,Bolek Zbigniew;34.02;53.61;10.31;1.03;1.03;91.20;81.86
13835686424334804472;PS 201;Putnam,Josh Tyler;31.58;57.89;7.89;2.63;0.00;91.16;81.84
13092283137392934274;PS 201;Roberts,Patricia;34.48;37.93;13.79;0.00;13.79;87.28;77.93
1615395739787818488;PS 201;Cobb,Michael D;27.40;44.92;17.80;5.37;4.52;87.81;78.53
8093231010125348973;PS 201;Izod,Anne Marie;23.58;60.38;11.32;0.94;3.77;89.14;79.91
2271942494504355501;PS 201;Warnement,Megan Kathryn;22.94;49.54;21.10;3.67;2.75;87.85;78.62
1296971240544691356;PS 201;Camilleri,Susan;29.58;45.07;18.31;5.63;1.41;88.87;79.58
14232982489259877878;PS 201;Fleming,Casey  ;46.96;33.04;14.78;1.74;3.48;91.30;81.83
