Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
16241523447007490203;PSE 201;Byrd Jr,Medwick V;48.67;42.48;7.08;0.88;0.88;93.20;83.72
6894832579956767051;PSE 211;Byrd Jr,Medwick V;92.13;6.74;0.00;0.00;1.12;98.80;88.88
9848283194810241257;PSE 212;Pawlak,Joel Justin;42.22;47.78;6.67;1.11;2.22;92.09;82.67
8631804832338604501;PSE 212;Rojas,Orlando Jose;40.23;45.98;12.64;0.00;1.15;91.82;82.41
14286398984912601501;PSE 212;Kocurek,Michael J;57.69;38.46;0.00;0.00;3.85;94.19;84.62
2042490274764340433;PSE 220;Funkhouser,Edward;78.98;18.31;2.37;0.34;0.00;97.38;87.59
13700722825209673561;PSE 220;Lucia,Lucian;90.49;7.67;1.84;0.00;0.00;98.77;88.87
989199683715125101;PSE 295;Byrd Jr,Medwick V;99.08;0.00;0.92;0.00;0.00;99.81;89.82
2257299010128626673;PSE 295;Ruffino,Rico;82.35;17.65;0.00;0.00;0.00;98.06;88.24
15047687694643349499;PSE 295;Park,Sunkyu;63.89;25.00;11.11;0.00;0.00;94.92;85.28
16414858282457943942;PSE 295;Venditti,Richard Arthur;35.29;29.41;5.88;11.76;17.65;84.65;75.29
14601917709249366828;PSE 322;Hubbe,Martin A;41.57;55.06;3.37;0.00;0.00;93.24;83.82
7993213328631213141;PSE 332;Argyropoulos,Dimitris S;64.36;28.71;4.95;1.98;0.00;95.19;85.54
17445567311612558845;PSE 335;Lucia,Lucian;85.00;13.33;1.67;0.00;0.00;98.18;88.33
15621521786779472346;PSE 335;Tilotta,David C;41.46;53.66;4.88;0.00;0.00;93.07;83.66
8905662934723931532;PSE 355;Lavoine,Nathalie Marie;48.00;32.00;16.00;0.00;4.00;91.48;82.00
15657103470640403713;PSE 355;Venditti,Richard Arthur;41.67;47.22;8.33;0.00;2.78;91.92;82.50
16088312430850819744;PSE 355;Park,Sunkyu;35.00;52.50;12.50;0.00;0.00;91.60;82.25
12919415245300382887;PSE 355;Salas Araujo,Carlos Luis;20.00;50.00;20.00;0.00;10.00;86.20;77.00
9930119131377475001;PSE 355;Heitmann Jr,John A;37.50;45.83;12.50;0.00;4.17;90.63;81.25
4202584308246416198;PSE 360;Venditti,Richard Arthur;53.03;33.33;10.61;0.00;3.03;92.86;83.33
6032991148250715056;PSE 360;Jameel,Hasan;57.69;42.31;0.00;0.00;0.00;95.35;85.77
14636594115529554084;PSE 370;Lavoine,Nathalie Marie;67.29;29.91;2.80;0.00;0.00;96.12;86.45
4055476336972140126;PSE 371;Lucia,Lucian;77.97;22.03;0.00;0.00;0.00;97.58;87.80
3746749728290584537;PSE 371;Jameel,Hasan;67.80;32.20;0.00;0.00;0.00;96.46;86.78
13259104803014728212;PSE 415;Gonzalez,Ronalds Wilfredo;51.65;39.56;6.59;1.10;1.10;93.47;83.96
4096659589296044213;PSE 415;Phillips,Richard Busbee;14.12;35.29;22.35;15.29;12.94;81.38;72.24
9154772549221054048;PSE 415;Byrd Jr,Medwick V;34.48;37.93;13.79;10.34;3.45;88.31;78.97
8514456223268368242;PSE 416;Byrd Jr,Medwick V;93.02;6.98;0.00;0.00;0.00;99.23;89.30
9805602403189378233;PSE 416;Rojas,Orlando Jose;52.17;41.30;4.35;2.17;0.00;93.87;84.35
2557158013341080485;PSE 417;Park,Sunkyu;65.59;30.11;2.15;1.08;1.08;95.46;85.81
7305012028586527367;PSE 417;Byrd Jr,Medwick V;64.21;31.58;3.16;1.05;0.00;95.54;85.89
8813317898200340716;PSE 417;Kirkman,Adrianna G.;29.25;54.72;15.09;0.00;0.94;90.42;81.13
2530191293213474984;PSE 425;Park,Sunkyu;21.30;65.74;11.11;1.85;0.00;89.86;80.65
11825827748048523913;PSE 425;Phillips,Richard Busbee;23.81;45.24;26.19;4.76;0.00;88.05;78.81
16510954881940121890;PSE 465;Pal,Lokendra;63.91;34.59;1.50;0.00;0.00;95.88;86.24
5649885107732311455;PSE 465;Venditti,Richard Arthur;73.08;26.92;0.00;0.00;0.00;97.04;87.31
3783750084953212525;PSE 465;Byrd Jr,Medwick V;62.50;30.00;5.00;2.50;0.00;94.88;85.25
573039086458669203;PSE 465;Pawlak,Joel Justin;50.00;34.38;10.94;4.69;0.00;92.47;82.97
471068425298581189;PSE 472;Pal,Lokendra;87.20;11.20;0.80;0.80;0.00;98.35;88.48
16722101593325473782;PSE 472;Heitmann Jr,John A;62.50;34.72;2.78;0.00;0.00;95.60;85.97
7784406241918134546;PSE 475;Venditti,Richard Arthur;46.43;38.39;12.50;0.89;1.79;92.14;82.68
9397342005141361817;PSE 475;Byrd Jr,Medwick V;59.09;27.27;4.55;9.09;0.00;93.23;83.64
17109756774913001307;PSE 476;Lan,Kai  ;48.15;44.44;7.41;0.00;0.00;93.56;84.07
16321732718645924629;PSE 476;Venditti,Richard Arthur;47.83;37.68;11.59;1.45;1.45;92.38;82.90
4548273617298288753;PSE 476;Hakovirta,Marko;63.64;22.73;13.64;0.00;0.00;94.64;85.00
8268585699870477288;PSE 476;Yao PhD,Yuan;40.54;33.78;17.57;4.05;4.05;89.68;80.27
12608211507192656590;PSE 494;Byrd Jr,Medwick V;0.00;0.00;0.00;0.00;0.00;0.00;0.00
