Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15349136768684342402;PSY 200;Russell,Michelle;40.84;38.74;16.03;3.05;1.34;90.88;81.47
2020144578642918673;PSY 200;Braden,Jeff;44.23;41.82;11.02;1.38;1.55;92.02;82.58
13310131849693606513;PSY 200;Pugh,Zachary Harris;75.27;20.55;2.36;1.09;0.73;96.61;86.85
11351778452755953127;PSY 200;Benton,Rachel  ;91.55;6.52;1.45;0.00;0.48;98.78;88.86
16654136877014065393;PSY 200;Can,Reyyan;96.00;1.33;0.00;0.00;2.67;98.76;88.80
1537310083387678114;PSY 200;Mayhorn,Christopher B.;54.51;40.00;4.18;0.44;0.88;94.23;84.68
9011285210043618429;PSY 200;Abate,Anna  ;46.34;36.59;14.63;0.00;2.44;91.90;82.44
8386736601707658987;PSY 200;Lee,Jasmine;100.00;0.00;0.00;0.00;0.00;100.00;90.00
304824790555535512;PSY 200;Carter,Erica Hobbs;92.27;6.13;1.33;0.00;0.27;98.94;89.01
2867500398326189765;PSY 200;Widman,Laura Marie;69.18;25.31;3.88;0.20;1.43;95.75;86.06
12858348079238659652;PSY 200;McGough,Olivia Hailey;94.14;4.60;0.84;0.42;0.00;99.19;89.25
7725054992540398939;PSY 200;Murph,Imani Alexandria;95.25;2.14;0.95;0.48;1.19;98.93;88.98
14920526137155185857;PSY 200;Dunsmore,Victoria;96.39;3.61;0.00;0.00;0.00;99.60;89.64
18311292065223359803;PSY 200;Reynolds,Caitlin;78.77;16.44;2.05;0.68;2.05;96.71;86.92
8490733562032409445;PSY 200;Brown,Sarah Bleam;96.16;2.05;0.26;0.26;1.28;99.12;89.16
3804903563067192769;PSY 200;Hurst,Jeff Leon;79.49;19.23;0.00;1.28;0.00;97.49;87.69
13194638523803520047;PSY 200;Simons-Rudolph,Joseph M;69.70;19.61;6.83;1.93;1.93;95.02;85.32
16756214526873040682;PSY 200;Mulvey,Kelly Lynn Sara;54.91;33.19;8.35;1.46;2.09;93.29;83.74
17385990428186002620;PSY 200;Wilson,Ragan  ;63.30;27.83;5.20;2.75;0.92;94.62;84.98
11352641624937536083;PSY 200;Qasim,Madiha  ;73.81;19.05;0.00;0.00;7.14;94.98;85.24
10920206176168211113;PSY 200;Priest,Luke  ;82.09;11.94;4.48;1.49;0.00;97.28;87.46
8837057927752615343;PSY 200;Sato,Jamie;68.18;27.27;0.00;0.00;4.55;95.14;85.45
10642855020713746628;PSY 200;Craig,Bart;54.95;32.55;8.96;1.42;2.12;93.23;83.68
13420189494256833649;PSY 200;Bradbury,Mandy;70.00;22.73;2.73;0.91;3.64;95.15;85.45
5530144331807997307;PSY 200;Nance,Abby  ;46.92;42.18;8.53;1.90;0.47;92.79;83.32
10111960994855309470;PSY 200;Codd,Evadine Louise;59.09;35.23;4.55;0.00;1.14;94.70;85.11
322786364382865946;PSY 200;Evans,Reina  ;57.27;31.36;9.09;1.36;0.91;93.85;84.27
7033438381745509872;PSY 200;Pond III,Samuel B.;38.63;32.09;22.12;4.36;2.80;89.32;79.94
13922635643933174322;PSY 200;Nauert,Elliot  ;53.25;29.61;11.69;3.64;1.82;92.42;82.88
6816375747571098781;PSY 200;Stokes,Thomas  ;40.48;37.20;15.48;4.17;2.68;90.27;80.86
4948609683816024162;PSY 200;Osgood,Joel Robert;38.53;39.91;16.97;2.75;1.83;90.44;81.06
5455054577814871106;PSY 200;Armstrong,Jenna Montgomery;63.64;27.27;9.09;0.00;0.00;95.09;85.45
3664774602894940209;PSY 200;Bellingtier,Jennifer Ann;35.95;46.84;13.51;2.40;1.31;90.73;81.37
