Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5033104767843342854;PY 123;Fortner,Brand Irving;34.90;33.22;22.82;6.04;3.02;88.44;79.09
6134676331837929416;PY 123;Jungwiert,Bruno;38.89;50.00;11.11;0.00;0.00;92.17;82.78
13851957325817988043;PY 123;Roederer,Ian Ulysses;28.85;50.00;13.46;4.81;2.88;89.00;79.71
16331762594620015834;PY 123;Mack,Katie;11.54;36.54;29.33;16.83;5.77;82.24;73.13
14887991148744178024;PY 123;Double,Glen P;26.17;32.89;25.50;8.72;6.71;85.57;76.31
306189436883196332;PY 124;Portillo Chaves,Federico Exeario;25.29;34.10;27.20;6.90;6.51;85.73;76.48
10544694207258375869;PY 124;Bordoloi,Rongmon;39.34;29.51;17.49;7.10;6.56;88.19;78.80
14743845230380558155;PY 124;Egler,Robert A.;52.50;38.57;5.71;2.14;1.07;93.45;83.93
1220348902586854547;PY 125;Jungwiert,Bruno;63.89;36.11;0.00;0.00;0.00;96.03;86.39
5737375118025816263;PY 125;Fortner,Brand Irving;56.55;17.86;11.31;4.17;10.12;90.22;80.65
11058395767479005312;PY 125;Roederer,Ian Ulysses;66.04;22.64;9.43;0.00;1.89;94.75;85.09
160464700476544283;PY 125;Mack,Katie;43.08;30.77;6.15;4.62;15.38;87.58;78.15
524296728279413781;PY 125;Frohlich,Carla;54.76;30.95;9.52;2.38;2.38;92.88;83.33
14145796160011759986;PY 125;Ning,Lin  ;60.71;35.71;0.00;1.79;1.79;94.79;85.18
1187508017958502107;PY 125;Egler,Robert A.;35.14;32.43;24.32;8.11;0.00;88.81;79.46
581726301720266335;PY 125;Simmons,Cody W;64.41;22.03;10.17;0.00;3.39;94.05;84.41
17802090084415046176;PY 131;Warren,Keith;38.15;45.56;12.96;3.33;0.00;91.23;81.85
18349426342129199113;PY 131;Do,Kevin  ;28.19;54.36;13.42;2.01;2.01;89.75;80.47
17795776444448603625;PY 131;Kneller,James P;30.84;42.06;20.56;4.21;2.34;88.79;79.49
18257096943496634140;PY 131;Mehta,Vijaya;11.11;39.39;33.33;7.07;9.09;82.75;73.64
4998129475898813907;PY 131;Haase,David G.;16.67;49.31;29.17;3.47;1.39;86.81;77.64
9940936726973406566;PY 131;Riehn,Robert;63.64;33.77;2.60;0.00;0.00;95.74;86.10
6602828733263518532;PY 133;Paesler,Michael;26.67;26.67;33.33;3.33;10.00;84.93;75.67
7828264662565443948;PY 201;Daniels,Karen E;41.18;35.29;11.76;5.88;5.88;89.41;80.00
