Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
3786280365970268335;REL 200;Foody,Kathleen;51.61;30.65;12.90;4.03;0.81;92.34;82.82
13274787208757547027;REL 200;Bivins,Jason Caulfield;42.34;51.35;3.60;0.00;2.70;92.49;83.06
15110148444524085764;REL 200;McLaughlin,Levi;73.39;23.39;2.42;0.00;0.81;96.59;86.85
15381728907688616925;REL 200;Staples,Jason A;28.87;50.52;12.37;0.00;8.25;88.46;79.18
8794675957029013905;REL 200;Harwood,Karey Alison;24.81;50.39;20.16;1.55;3.10;88.47;79.22
14869239637890472787;REL 200;Tornquist,Leif Christian;33.33;44.44;14.81;0.00;7.41;88.96;79.63
9548687579769063520;REL 200;Bigelow,Anna Barry;32.79;49.18;14.75;0.82;2.46;90.23;80.90
17734824338377868664;REL 200;Collins,Brian Hagen;61.76;23.53;8.82;2.94;2.94;93.44;83.82
12228060501000327328;REL 200;Schmid,David Neil;27.03;29.73;32.43;8.11;2.70;86.30;77.03
16303226390084466243;REL 210;Staples,Jason A;35.14;45.95;15.32;1.80;1.80;90.43;81.08
6065781124345512556;REL 210;Onikoyi PhD,Relwan;74.42;18.60;6.98;0.00;0.00;96.49;86.74
14068962110269321397;REL 210;Foody,Kathleen;38.82;36.47;20.00;2.35;2.35;90.09;80.71
3800644940241995217;REL 210;McLaughlin,Levi;75.31;20.99;1.23;1.23;1.23;96.54;86.79
14796907198341509808;REL 210;Singh,Yasmine;86.24;13.76;0.00;0.00;0.00;98.49;88.62
17515798566557798273;REL 210;Tornquist,Leif Christian;17.89;56.10;20.33;2.44;3.25;87.47;78.29
6716510303894246278;REL 210;Sturdevant,Jason Scott;46.15;41.03;7.69;3.85;1.28;92.15;82.69
17768100359590572547;REL 220;Cunningham,Mary K.;39.18;34.02;19.59;0.00;7.22;89.19;79.79
7624764461565720594;REL 230;Lean,Nathan Chapman;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2873459713265355774;REL 230;Onikoyi PhD,Relwan;86.29;8.06;3.23;0.00;2.42;97.44;87.58
16859952812304891854;REL 230;McLaughlin,Levi;64.41;28.81;3.39;0.85;2.54;94.81;85.17
2163209417496784501;REL 230;Singh,Yasmine;85.22;14.78;0.00;0.00;0.00;98.37;88.52
10036430956562152171;REL 230;Bigelow,Anna Barry;43.24;45.95;6.31;0.90;3.60;91.86;82.43
17996273968680217716;REL 298;Jain,Pankaj;42.86;39.29;10.71;0.00;7.14;90.50;81.07
4774534384984493270;REL 300;Sturdevant,Jason Scott;48.48;40.15;8.33;0.00;3.03;92.59;83.11
17658527885721102126;REL 300;McLaughlin,Levi;60.67;34.83;2.25;0.00;2.25;94.78;85.17
355796527402975830;REL 300;Collins,Brian Hagen;63.57;31.78;1.55;1.55;1.55;95.06;85.43
7949499345975610054;REL 300;Novenson,Matthew Vincent;25.81;60.48;8.87;2.42;2.42;89.74;80.48
17930027237425085664;REL 300;Stewart,Tony K.;29.27;31.71;31.71;4.88;2.44;87.34;78.05
3434778447636564759;REL 300;Schmid,David Neil;41.38;37.93;13.79;0.00;6.90;90.10;80.69
16715160992434302398;REL 300;Orcutt,Darby C;23.89;40.71;27.43;4.42;3.54;86.94;77.70
9443776075175683581;REL 300;Liu,David Un-Hsien;17.39;57.97;13.04;4.35;7.25;86.57;77.39
9847498343303642302;REL 311;Adler,William;48.00;40.80;10.40;0.80;0.00;93.08;83.60
51602730654047457;REL 311;Sturdevant,Jason Scott;28.45;35.34;21.55;10.34;4.31;86.61;77.33
14399872816488962297;REL 311;Staples,Jason A;34.62;35.58;18.27;6.73;4.81;88.19;78.85
13643038602535646759;REL 311;Novenson,Matthew Vincent;21.31;50.00;19.67;4.92;4.10;87.16;77.95
11632288286565157508;REL 311;Liu,David Un-Hsien;11.63;59.69;19.38;3.88;5.43;85.94;76.82
7290465799329411959;REL 312;Adler,William;41.94;41.13;12.90;2.42;1.61;91.35;81.94
16383854364113611284;REL 312;Sturdevant,Jason Scott;37.04;31.48;20.37;9.26;1.85;88.63;79.26
17483168664505688598;REL 312;Staples,Jason A;28.57;56.04;13.19;1.10;1.10;90.27;80.99
3624181211870075546;REL 312;Novenson,Matthew Vincent;22.06;58.82;17.65;1.47;0.00;89.37;80.15
3156454824503983376;REL 312;Liu,David Un-Hsien;12.99;77.92;2.60;2.60;3.90;88.48;79.35
17087102714475998160;REL 314;Adler,William;32.65;55.10;10.20;0.00;2.04;90.96;81.63
10664849702952632467;REL 317;Cunningham,Mary K.;15.53;37.86;32.04;11.65;2.91;84.30;75.15
1611063422716374382;REL 320;Bivins,Jason Caulfield;35.79;58.95;4.21;0.00;1.05;92.20;82.84
11683322528594903772;REL 320;Collins,Brian Hagen;65.38;23.08;3.85;0.00;7.69;93.50;83.85
13409356386068205895;REL 320;Goodwin,Megan Prince;14.29;42.86;17.86;17.86;7.14;83.07;73.93
996978233824241224;REL 323;Bivins,Jason Caulfield;34.34;64.65;1.01;0.00;0.00;92.68;83.33
9144651878319560596;REL 327;Cunningham,Mary K.;32.84;47.76;13.43;2.99;2.99;89.78;80.45
2946699018289385648;REL 327;Harwood,Karey Alison;37.50;46.88;9.38;6.25;0.00;90.94;81.56
14292055058796926253;REL 331;Onikoyi PhD,Relwan;79.31;17.24;0.00;0.00;3.45;96.69;86.90
9511462102699848008;REL 331;Singh,Yasmine;64.71;35.29;0.00;0.00;0.00;96.12;86.47
13781497425505035734;REL 331;Collins,Brian Hagen;32.50;42.50;17.50;0.00;7.50;88.58;79.25
15258345223498611731;REL 331;Stewart,Tony K.;37.14;30.00;25.71;5.71;1.43;88.94;79.57
13176498704631386639;REL 331;Jain,Pankaj;57.14;28.57;7.14;0.00;7.14;92.43;82.86
3032576121216463716;REL 332;McLaughlin,Levi;57.26;35.04;4.27;0.00;3.42;93.85;84.27
14973946148203738530;REL 332;Singh,Yasmine;93.42;6.58;0.00;0.00;0.00;99.28;89.34
4890958872677141273;REL 332;Collins,Brian Hagen;39.02;48.78;9.76;0.00;2.44;91.59;82.20
7362183080859548472;REL 332;Liu,David Un-Hsien;15.38;53.85;23.08;2.56;5.13;86.33;77.18
2947078502068495521;REL 332;Schmid,David Neil;20.51;41.03;32.05;3.85;2.56;86.51;77.31
10804136939909567594;REL 333;Liu,David Un-Hsien;15.38;53.85;11.54;7.69;11.54;84.54;75.38
440395521640280308;REL 333;Schmid,David Neil;39.53;25.58;23.26;4.65;6.98;88.00;78.60
14076596252590016456;REL 334;McLaughlin,Levi;59.26;34.26;4.63;0.93;0.93;94.59;85.00
17305106693286093307;REL 334;Schmid,David Neil;20.99;33.33;28.40;8.64;8.64;84.15;74.94
7057993126057700006;REL 340;Lean,Nathan Chapman;94.87;5.13;0.00;0.00;0.00;99.44;89.49
9786225704727267957;REL 340;Onikoyi PhD,Relwan;81.58;7.89;0.00;2.63;7.89;95.08;85.26
18322594392738324663;REL 340;Foody,Kathleen;35.42;35.42;22.92;0.00;6.25;88.73;79.38
15639421476616623169;REL 340;Bandy,Hunter Casparian;55.56;38.89;0.00;0.00;5.56;93.44;83.89
7143515965577439272;REL 340;Bigelow,Anna Barry;61.04;32.47;1.30;1.30;3.90;94.16;84.55
4440022090420348935;REL 343;Pickett,Xavier;61.54;15.38;15.38;7.69;0.00;92.69;83.08
8914905107995000268;REL 350;Kasper-Marienberg,Verena Ines;86.21;10.34;0.00;1.72;1.72;97.62;87.76
6409952461601601681;REL 350;Novenson,Matthew Vincent;26.32;57.89;7.89;5.26;2.63;89.26;80.00
2418257302033766088;REL 380;Staples,Jason A;58.93;26.79;10.71;0.00;3.57;93.34;83.75
15242310246759037530;REL 380;Pickett,Xavier;54.17;37.50;4.17;0.00;4.17;93.29;83.75
4296341536587990133;REL 383;Staples,Jason A;71.11;22.22;4.44;0.00;2.22;95.71;86.00
8554290997827458178;REL 383;Bivins,Jason Caulfield;46.15;30.77;3.85;7.69;11.54;88.69;79.23
244181260645304897;REL 402;Adler,William;21.28;63.83;10.64;2.13;2.13;89.21;80.00
3533981575030331113;REL 407;Onikoyi PhD,Relwan;70.00;30.00;0.00;0.00;0.00;96.70;87.00
17070523126394993345;REL 407;Bandy,Hunter Casparian;54.55;36.36;9.09;0.00;0.00;94.09;84.55
117918448496451276;REL 407;Bigelow,Anna Barry;41.54;44.62;6.15;3.08;4.62;90.95;81.54
