Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
3760730990784178782;SLC 101;Watson,Parker Rae;43.75;50.00;6.25;0.00;0.00;93.19;83.75
13592243373139585091;SLC 101;Mitchell,Melanie Louise;67.65;32.35;0.00;0.00;0.00;96.44;86.76
1436786874344588431;SLC 101;Persons,Ashley Arnold;84.30;11.57;3.31;0.83;0.00;97.78;87.93
16286731114746085151;SLC 101;Patton,Anna L.;98.96;0.00;0.00;0.00;1.04;99.57;89.58
9178305485835108880;SLC 101;Washington,Christa Ellen;95.18;4.82;0.00;0.00;0.00;99.47;89.52
3441172166046049634;SLC 102;Cesar,LaToya;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10217797834151224351;SLC 102;McLean,Tiffany;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5032308177394533583;SLC 102;Ramos-Lewis,Andrea Marie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4754104946774233228;SLC 202;Karalis Noel,Tiffany;89.47;10.53;0.00;0.00;0.00;98.84;88.95
3526335261421754698;SLC 250;Sikkink,Annaka;62.16;29.73;5.41;0.00;2.70;94.49;84.86
5991803777716864580;SLC 250;Acker,Debbie Reno;75.00;22.62;1.19;0.00;1.19;96.77;87.02
3002195012786787074;SLC 250;Karalis Noel,Tiffany;73.08;15.38;7.69;0.00;3.85;95.12;85.38
10926087011753603367;SLC 250;McLean,Tiffany;73.68;18.42;5.26;0.88;1.75;95.88;86.14
15949482295801934059;SLC 250;Domeracki,Michael S.;32.43;59.46;8.11;0.00;0.00;91.76;82.43
10947230115822287991;SLC 300;Patton,Anna L.;82.61;13.04;2.17;2.17;0.00;97.43;87.61
2652348785168881267;SLC 300;Acker,Debbie Reno;60.87;23.91;6.52;0.00;8.70;92.43;82.83
1233462709675234748;SLC 300;Moses,Myra;66.67;8.33;25.00;0.00;0.00;93.83;84.17
5682299152518681332;SLC 350;Evatt,Dustin;84.21;5.26;0.00;0.00;10.53;95.11;85.26
16546423162902630585;SLC 350;Karalis Noel,Tiffany;82.05;12.82;2.56;2.56;0.00;97.26;87.44
16639897428205516569;SLC 350;Patton,Anna L.;70.00;20.00;10.00;0.00;0.00;95.70;86.00
2254835855500898694;SLC 350;Domeracki,Michael S.;52.94;41.18;0.00;0.00;5.88;93.06;83.53
14235173953566946111;SLC 450;Karalis Noel,Tiffany;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9039499986213517227;SLC 450;Acker,Debbie Reno;94.44;5.56;0.00;0.00;0.00;99.39;89.44
7532161181558446625;SLC 475;Acker,Debbie Reno;100.00;0.00;0.00;0.00;0.00;100.00;90.00
