Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11465652394955949044;SMT 200;Peszlen,Ilona Maria;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10033111564168612970;SMT 200;Peralta,Perry;60.00;40.00;0.00;0.00;0.00;95.60;86.00
2177511198204782052;SMT 200;Kelley,Stephen S;58.33;33.33;0.00;0.00;8.33;92.92;83.33
3603242962892844774;SMT 200;Lemaster,Richard L;60.71;25.00;10.71;1.79;1.79;93.71;84.11
736699720961903867;SMT 201;Kelley,Stephen S;43.45;34.52;14.88;4.76;2.38;90.63;81.19
9138138758526865481;SMT 201;Lemaster,Richard L;59.26;22.22;12.17;2.65;3.70;92.66;83.07
16788432794536470693;SMT 202;Peszlen,Ilona Maria;40.91;40.91;9.09;0.00;9.09;89.86;80.45
12137493321591536731;SMT 203;Peralta,Perry;48.15;38.89;12.96;0.00;0.00;93.00;83.52
12001951823646366354;SMT 210;Peralta,Perry;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16841913825283794253;SMT 232;Peszlen,Ilona Maria;49.59;33.88;13.22;2.48;0.83;92.39;82.89
10779101345070928167;SMT 301;Tilotta,David C;12.73;41.82;29.09;12.73;3.64;83.85;74.73
2511715700617862565;SMT 302;Saloni,Daniel Erique;91.80;8.20;0.00;0.00;0.00;99.10;89.18
11935770941475324200;SMT 302;Lemaster,Richard L;39.24;36.71;17.72;3.80;2.53;90.03;80.63
2156357411036886239;SMT 310;Saloni,Daniel Erique;93.10;5.17;1.72;0.00;0.00;99.07;89.14
4277095307600443414;SMT 320;Tilotta,David C;30.77;55.77;9.62;3.85;0.00;90.65;81.35
9533322696656358925;SMT 330;Saloni,Daniel Erique;83.87;11.29;4.84;0.00;0.00;97.74;87.90
8207968107334191951;SMT 441;Peralta,Perry;53.19;40.43;6.38;0.00;0.00;94.21;84.68
4543934313007995788;SMT 444;Laleicke,Frederik;63.64;29.09;7.27;0.00;0.00;95.27;85.64
9316621730824870087;SMT 444;Peralta,Perry;48.15;37.04;11.11;3.70;0.00;92.44;82.96
7359603920593564191;SMT 444;McConnell,Thomas Eric;51.85;42.59;5.56;0.00;0.00;94.15;84.63
10024766731704637261;SMT 444;Saloni,Daniel Erique;33.33;38.10;19.05;9.52;0.00;88.86;79.52
9525304983882842394;SMT 450;Hakovirta,Marko;80.88;16.18;1.47;0.00;1.47;97.31;87.50
5552020446065567913;SMT 483;Hakovirta,Marko;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11236113738258399065;SMT 483;Kelley,Stephen S;62.75;31.37;3.92;0.00;1.96;94.92;85.29
3240432248407526698;SMT 483;Mitchell,Philip H;37.50;48.75;11.25;2.50;0.00;91.50;82.13
