Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
13640609945692201053;SOC 202;Bluth,Stacy  ;87.25;8.82;2.94;0.00;0.98;98.01;88.14
1717734210841221233;SOC 202;Shriver,Thomas Eugene;48.91;40.34;8.74;1.51;0.50;93.05;83.56
17718231526587577062;SOC 202;Gambill,Landen Elizabeth;50.89;39.29;6.25;2.68;0.89;93.17;83.66
15512146482314431362;SOC 202;Thomas,Melvin E;34.87;40.51;16.92;5.13;2.56;89.35;80.00
1378553071167777450;SOC 202;Graham,B;57.76;31.90;6.03;1.72;2.59;93.63;84.05
14028977914434580490;SOC 202;Puglin,Jamie;68.35;21.52;6.33;2.53;1.27;95.00;85.32
10133036859672765998;SOC 202;King,Lindsey Marie;44.87;39.74;10.26;0.00;5.13;91.37;81.92
14439924829119041108;SOC 202;Grigar PhD,Ewa;43.24;43.24;10.81;2.70;0.00;92.14;82.70
6805310581363897007;SOC 202;Stiffler,Margaret Elizabeth;87.44;7.73;3.38;0.00;1.45;97.85;87.97
5157051766091866480;SOC 202;Shisler,Rebecca  ;94.94;4.49;0.00;0.56;0.00;99.33;89.38
16305342010008194832;SOC 202;Riel,Virginia;63.23;23.87;7.42;3.55;1.94;93.92;84.29
2978071031436916966;SOC 202;Yan,Xiaoqin;92.65;7.35;0.00;0.00;0.00;99.19;89.26
3228815016322738535;SOC 202;Washington,Davion Marquintus;87.10;12.90;0.00;0.00;0.00;98.58;88.71
11702777841147100016;SOC 202;Stargel,Bec;94.50;4.59;0.92;0.00;0.00;99.30;89.36
4882616679366153455;SOC 202;Farr,Amanda Belle;89.19;6.31;2.70;0.00;1.80;98.00;88.11
10603458079559800877;SOC 202;Leppard,Tom;87.85;8.41;1.87;0.00;1.87;97.92;88.04
11861794784790707492;SOC 202;Murray,Laura J.;93.25;3.68;1.23;0.61;1.23;98.64;88.71
13041433074597862618;SOC 202;Smolski,Andy;63.51;35.14;0.00;0.00;1.35;95.58;85.95
16991824862346846707;SOC 202;x,danny;28.33;35.00;13.33;5.00;18.33;84.28;75.00
11458650580558398728;SOC 202;Brinson,Megan;83.33;10.71;1.19;2.38;2.38;96.86;87.02
17453411887553743927;SOC 202;Kiley,Kevin;62.89;22.68;10.31;2.06;2.06;93.86;84.23
8870904971474225359;SOC 202;Wilson,Kalah  ;42.69;39.18;9.36;4.09;4.68;90.54;81.11
10576788323564414171;SOC 202;Goldfarb,Adam  ;74.73;20.88;4.40;0.00;0.00;96.78;87.03
4764033801764050486;SOC 202;Brinkman,Michael  ;61.29;20.43;9.68;3.23;5.38;92.52;82.90
11603040552461923937;SOC 202;Benton,Holly  ;37.14;20.00;14.29;11.43;17.14;84.23;74.86
13492384512609816080;SOC 202;Dougherty,Dakota;37.74;27.36;17.92;4.72;12.26;86.74;77.36
16652607849971955333;SOC 202;Liu,Claudia;58.77;31.58;8.77;0.00;0.88;94.32;84.74
8917759657763911800;SOC 202;Liu,Chao;63.16;30.83;3.01;3.01;0.00;95.05;85.41
8732628397351145716;SOC 202;Strange,Casey Lynn;79.29;15.71;1.43;2.14;1.43;96.72;86.93
5204122793076252535;SOC 202;Maras,Shelly  ;70.54;20.93;3.10;2.33;3.10;95.05;85.35
4665143724867817639;SOC 202;Cordero Oceguera,Emilia  ;92.17;4.35;0.87;0.00;2.61;98.27;88.35
6464259898509113397;SOC 202;Lee,Bo Hyeong Jane;55.14;30.84;8.41;1.87;3.74;92.73;83.18
