Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15973499838687825787;SSC 112;Johnson,Amy M;8.62;35.34;33.19;13.79;9.05;81.16;72.07
6226961322246104106;SSC 112;Broome,Stephen W.;31.25;37.50;18.75;2.08;10.42;87.02;77.71
15272208958763306004;SSC 112;Gehl,Katharine Anne;32.14;17.86;35.71;7.14;7.14;85.39;76.07
3416425517255367267;SSC 12;Broome,Stephen W.;16.96;25.15;41.52;13.45;2.92;83.15;73.98
7160403101030411402;SSC 12;Gehl,Katharine Anne;9.52;28.57;38.10;9.52;14.29;80.05;70.95
6401733732525222977;SSC 151;Howard,Adam;16.22;33.78;33.78;10.81;5.41;83.62;74.46
2267019847143181506;SSC 151;Broome,Stephen W.;14.81;33.33;34.07;11.11;6.67;83.00;73.85
16680253014469279579;SSC 185;Havlin,John L;46.75;23.67;18.93;5.33;5.33;89.59;80.12
10363364603741735553;SSC 200;Kranz,Christina Nicole;31.03;35.17;25.52;7.59;0.69;88.14;78.83
13627139417919900243;SSC 200;Crouse,David A;29.06;39.41;19.21;8.87;3.45;87.47;78.18
2895909305615834018;SSC 200;Kleiss,Harold J.;15.14;38.03;32.04;9.51;5.28;83.98;74.82
14617442471627721749;SSC 201;Kranz,Christina Nicole;70.00;22.86;7.14;0.00;0.00;95.99;86.29
10780125895884215155;SSC 201;Crouse,David A;84.72;12.50;0.00;2.78;0.00;97.76;87.92
3416137718436907666;SSC 201;Broome,Stephen W.;91.67;8.33;0.00;0.00;0.00;99.08;89.17
12890889747920065749;SSC 201;Lineberger,Ethan Miles;55.32;27.66;8.51;4.26;4.26;92.11;82.55
10587627974500594794;SSC 201;Brown,Virginia King;69.57;10.87;8.70;8.70;2.17;93.39;83.70
16958878942962996461;SSC 201;Lee,Gina;80.00;20.00;0.00;0.00;0.00;97.80;88.00
5246694374677592595;SSC 201;Larsen,Erika Marie;51.11;20.00;15.56;8.89;4.44;89.96;80.44
13001976668416604739;SSC 201;Brown,Matthew Isaac;69.05;11.90;16.67;0.00;2.38;94.21;84.52
12456063832154897728;SSC 201;Mothapo,Nape Victoria;82.00;12.00;4.00;0.00;2.00;97.02;87.20
12937964101286815584;SSC 201;Engoke,Canon Norris Savala;72.46;20.29;2.90;1.45;2.90;95.52;85.80
16327197846008085956;SSC 201;Akafia,Martin Mawuena;63.64;18.18;18.18;0.00;0.00;94.18;84.55
10160602302587087148;SSC 201;D'Aiuto,Christopher Justin;62.50;29.17;8.33;0.00;0.00;95.04;85.42
9047981181731071219;SSC 201;Dodd,Danny Ryan;56.52;19.57;6.52;8.70;8.70;90.22;80.65
10363352424357748680;SSC 332;Mullen,Mike;58.18;22.73;7.27;8.18;3.64;91.95;82.36
15850897442795523334;SSC 332;Gardner,Terrence G;38.00;40.00;20.00;0.00;2.00;90.58;81.20
4651374314518092090;SSC 332;Graves,Alexandria K;83.47;11.57;1.65;0.83;2.48;97.11;87.27
3841892461861621795;SSC 341;Havlin,John L;13.04;26.09;26.09;26.09;8.70;80.00;70.87
16328275233772335504;SSC 342;Havlin,John L;13.33;33.33;35.00;16.67;1.67;83.13;74.00
18432884239616092272;SSC 361;Lindbo,David L;22.73;43.18;25.00;6.82;2.27;86.95;77.73
5272781402835845860;SSC 410;Ricker,Matt Clark;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8524314703223507162;SSC 421;Amoozegar,Aziz;38.10;35.71;14.29;7.14;4.76;88.90;79.52
3812289739101415192;SSC 427;Woodley,Alex;78.18;20.00;0.00;0.00;1.82;97.05;87.27
14092860479870618262;SSC 428;Woodley,Alex;88.89;11.11;0.00;0.00;0.00;98.78;88.89
715218706608357503;SSC 440;Austin,Rob;54.29;40.00;2.86;0.00;2.86;93.83;84.29
6456743866016899408;SSC 440;White,Jeff;57.50;17.50;10.00;5.00;10.00;90.33;80.75
4588325921978488377;SSC 442;Duckworth,Owen W;52.50;27.50;17.50;0.00;2.50;92.28;82.75
15674387912949184931;SSC 452;Ricker,Matt Clark;34.29;34.29;20.00;11.43;0.00;88.49;79.14
12165215233765340956;SSC 452;Vepraskas,Michael John;23.40;48.94;21.28;6.38;0.00;88.17;78.94
14977216999369342407;SSC 452;Lindbo,David L;6.58;44.74;36.84;7.89;3.95;83.28;74.21
17424547621980559993;SSC 452;Kleiss,Harold J.;32.65;44.90;18.37;4.08;0.00;89.94;80.61
15640424072413820716;SSC 455;Mullen,Mike;88.37;6.98;2.33;2.33;0.00;98.02;88.14
14422665737977361617;SSC 461;Heitman,Josh;37.70;40.98;16.39;4.92;0.00;90.52;81.15
5676804996635555351;SSC 462;Havlin,John L;60.00;28.89;11.11;0.00;0.00;94.49;84.89
500884674118072499;SSC 462;Jordan,David L;60.00;30.00;10.00;0.00;0.00;94.60;85.00
3373298775500534857;SSC 470;Vepraskas,Michael John;35.56;44.44;8.89;8.89;2.22;89.58;80.22
12087947859255757804;SSC 470;Broome,Stephen W.;35.00;47.50;10.00;0.00;7.50;89.60;80.25
12171345330853864386;SSC 490;Broome,Stephen W.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
