Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2501433226841395006;ST 101;Lee,Hollylynne Stohl;77.50;20.00;2.50;0.00;0.00;97.28;87.50
9632159389633924597;ST 101;McGowan,Herle M;31.55;40.48;20.24;2.98;4.76;88.42;79.11
4516148386273668833;ST 101;West,Ronald Webster;25.21;39.26;23.14;7.02;5.37;86.44;77.19
2383279786017075479;ST 101;Swallow,William H.;97.03;2.97;0.00;0.00;0.00;99.67;89.70
7652837165717496993;ST 101;Reiland,Thomas W;30.00;34.44;25.56;5.56;4.44;87.30;78.00
3281137694117467757;ST 101;Woodard,Roger;66.67;11.11;13.33;4.44;4.44;92.78;83.11
16020196726253011724;ST 101H;Arroway,Pamela J;75.00;21.43;3.57;0.00;0.00;96.89;87.14
17410569317530713856;ST 114;Griffith,Emily Hohmeister;84.00;13.60;2.40;0.00;0.00;98.00;88.16
12590026505042736172;ST 114;Chi,Eric Culbert;66.04;19.81;5.66;2.83;5.66;93.43;83.77
4261246957724141221;ST 302;Muse,Spencer V;20.83;47.92;20.83;6.25;4.17;86.71;77.50
3746627558381056315;ST 305;Tzeng,Jung-Ying;40.16;38.58;12.60;3.94;4.72;89.95;80.55
14707644657374140306;ST 305;Muse,Spencer V;22.60;42.47;22.60;5.48;6.85;86.08;76.85
18079404159938415035;ST 305;Reiland,Thomas W;55.56;27.78;13.49;0.00;3.17;92.81;83.25
17739470286519819136;ST 307;Post,Justin Blaise;64.66;27.59;2.59;1.72;3.45;94.47;84.83
8560404353523217880;ST 307;Robertson,James Benjamin;63.64;21.21;12.12;0.00;3.03;93.88;84.24
8253076175977755258;ST 307;Boos,Dennis D.;60.58;31.73;6.73;0.00;0.96;94.70;85.10
15466266433555144525;ST 307;Duggins,Jonathan William;56.18;34.83;6.74;1.12;1.12;93.94;84.38
7254471716901340372;ST 307;Muse,Spencer V;73.33;17.78;6.67;0.00;2.22;95.73;86.00
15440205376749883447;ST 308;Post,Justin Blaise;49.09;36.36;2.73;8.18;3.64;91.40;81.91
13927428805260889237;ST 308;Boos,Dennis D.;89.69;6.19;2.06;0.00;2.06;98.04;88.14
12496809494477935822;ST 308;Duggins,Jonathan William;82.22;17.78;0.00;0.00;0.00;98.04;88.22
15594421357630740197;ST 311;Winters,Malorie;29.90;33.51;20.62;9.79;6.19;86.41;77.11
763627767574969414;ST 311;Chung,Chris  ;24.24;36.36;27.27;9.09;3.03;86.21;76.97
7955984420169933389;ST 311;Maceda,Elliot Augustin;26.67;36.67;23.33;13.33;0.00;86.93;77.67
17032146526327066083;ST 311;Opperman,Logan;11.61;23.23;23.87;18.71;22.58;77.37;68.26
2154461661969242806;ST 311;Jiao,Vivia;38.46;11.54;42.31;7.69;0.00;87.46;78.08
3262452798696847946;ST 311;Liu,Xuan  ;31.58;42.11;15.79;0.00;10.53;87.74;78.42
10501577856658453127;ST 311;Reiland,Thomas W;25.09;25.81;40.50;4.30;4.30;85.56;76.31
6284356386066941784;ST 311;Fitzpatrick,David Charles;31.03;34.48;24.14;10.34;0.00;87.93;78.62
1555829503168743542;ST 311;Lu,Wenbin;34.62;30.77;23.08;3.85;7.69;87.42;78.08
2604486885214820935;ST 311;Schelstraete,Elisabeth;21.05;36.84;21.05;7.89;13.16;83.68;74.47
7773795394856572651;ST 311;Zhao,Joe;33.33;33.33;16.67;8.33;8.33;86.83;77.50
10531645800519082204;ST 311;Johnson,Tyler Reed;30.74;42.80;12.84;8.56;5.06;87.87;78.56
12620071587920780518;ST 311;Post,Justin Blaise;41.95;31.61;20.11;3.45;2.87;90.05;80.63
9941503252606929378;ST 311;Boos,Dennis D.;49.00;37.00;11.00;2.00;1.00;92.59;83.10
10541259589923312927;ST 311;Alhanti,Brooke Ashley;31.67;45.00;18.33;0.00;5.00;89.15;79.83
15383869298911091091;ST 311;Woodard,Roger;34.34;46.46;14.14;5.05;0.00;90.35;81.01
14718618393632168408;ST 311;Gupta,Shuva;25.00;37.88;24.24;7.58;5.30;86.22;76.97
14995641095289025181;ST 311;McGowan,Herle M;22.10;40.07;25.09;7.87;4.87;85.89;76.67
12711337521884654412;ST 311;Wilcox,Andrew Gordon;28.97;37.38;28.04;0.93;4.67;87.79;78.50
14454239442207893227;ST 311;Turnbull,Bradley Christopher;31.03;55.17;13.79;0.00;0.00;91.03;81.72
15273323698653491751;ST 311;Lennon,Morgan Joan;25.26;46.32;18.95;3.16;6.32;87.36;78.11
6383872402267016305;ST 311;Morris,Samuel Alan;23.01;42.48;25.66;7.08;1.77;87.02;77.79
1397528166201553997;ST 311;Unfried,Alana Jane;13.11;36.07;31.15;9.84;9.84;82.41;73.28
8255563413823941322;ST 311;James,Jennifer;32.65;35.71;28.57;1.02;2.04;88.92;79.59
15103876203546486342;ST 311;Young,Daniel Thomas;15.96;51.06;22.34;7.45;3.19;86.07;76.91
1851746876350602853;ST 311;Burner,Benjamin;33.68;38.95;17.89;7.37;2.11;88.81;79.47
13725325331441333145;ST 311;Robert,Michael Andrew;34.07;43.96;17.58;2.20;2.20;89.89;80.55
13853277666558152183;ST 311;Talapatra,Kasturi  ;23.91;43.48;22.83;5.43;4.35;86.96;77.72
12548276502493787129;ST 311;Weber,Victoria Lynn;27.42;37.63;27.42;5.38;2.15;87.55;78.28
2173456027013877568;ST 311;Shin,Seung Jun;27.72;33.15;23.91;10.87;4.35;86.18;76.90
14853673939128235265;ST 311;Wang,Dong;26.90;33.92;25.73;9.36;4.09;86.29;77.02
597791496405535447;ST 311;Bernhardt,Paul W.;37.77;35.64;18.62;5.85;2.13;89.48;80.11
1870276278912897217;ST 311;Yan,Song;28.21;40.17;23.08;5.13;3.42;87.74;78.46
2315963454811450015;ST 311;Liu,Ye;30.81;37.84;23.24;3.78;4.32;88.01;78.70
5660696562096320694;ST 311;Pang,Lei;40.37;32.11;17.43;6.42;3.67;89.31;79.91
9137565609858325756;ST 311;Koehler,Megan L;27.87;32.79;32.79;6.56;0.00;87.48;78.20
672503864558511355;ST 311;Boehm,Laura Frances;24.62;35.38;30.77;7.69;1.54;86.63;77.38
15474996409369375560;ST 311;Osman,Muhtarjan;34.72;36.11;16.67;10.42;2.08;88.44;79.10
6143240555607493443;ST 311;Vock,David Michael;34.92;30.16;25.40;6.35;3.17;88.08;78.73
393629065922789070;ST 311;Geng,Yuan  ;37.10;32.26;25.81;3.23;1.61;89.37;80.00
11721590150318110953;ST 311;Winham,Stacey Jean;47.54;42.62;8.20;1.64;0.00;93.08;83.61
5150559035659701330;ST 311;Kong,Dehan  ;32.26;43.55;11.29;9.68;3.23;88.52;79.19
8274457829626930608;ST 311;Suarez,Adam;36.51;36.51;17.46;7.94;1.59;89.21;79.84
17832078215354412347;ST 311;Tidemann Miller,Beth Ann;22.81;43.86;19.30;7.02;7.02;86.07;76.84
14009363310491076415;ST 311;Liu,Bo;31.36;34.91;22.49;6.51;4.73;87.48;78.17
11937821098381697625;ST 311;Kalendra,Eric J;17.24;51.72;24.14;5.17;1.72;86.93;77.76
3427517784341558941;ST 311;Canner,Judith Elena;30.83;37.50;21.67;8.33;1.67;88.06;78.75
17633810317182478743;ST 311;Duan,Jiangtao;28.32;41.04;17.92;8.67;4.05;87.38;78.09
8859027072020540323;ST 311;Krut,Christopher C;23.33;40.00;22.50;5.83;8.33;85.65;76.42
