Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11871645180435512878;STS 210;Taylor,SJ;90.91;9.09;0.00;0.00;0.00;99.00;89.09
5600394662519518371;STS 210;Clayton,Robin;43.75;43.75;0.00;2.08;10.42;90.27;80.83
4343640981537282497;STS 210;Grays,Shaefny;44.23;30.77;11.54;9.62;3.85;89.63;80.19
10084364714720990960;STS 210;Sibley,Patsy Anne;79.31;17.24;3.45;0.00;0.00;97.38;87.59
2304776966045842074;STS 210;Simons-Rudolph,Ashley Paige;71.90;16.53;4.13;5.79;1.65;94.84;85.12
17773538827969174977;STS 210;Murphy,Deena Michelle;47.01;30.77;14.53;5.13;2.56;90.92;81.45
11241896188192318657;STS 210;Lewald,Carol Ann;54.55;31.82;9.09;4.55;0.00;93.18;83.64
17964870861728599940;STS 214;Brinkman,Joshua Todd;74.19;11.29;8.06;0.00;6.45;94.42;84.68
9711768438299942062;STS 214;Taylor,SJ;80.00;11.11;8.89;0.00;0.00;96.91;87.11
5068413127340636274;STS 214;Barnhill,Katie;45.16;33.33;13.98;0.00;7.53;90.31;80.86
17277452478074554672;STS 214;Stover,Darrell Darius;31.88;34.78;15.94;4.35;13.04;86.13;76.81
5039105022325351074;STS 214;Pflanzer,Michael Scott;78.02;12.09;2.20;1.10;6.59;95.16;85.38
5982745029662634137;STS 214;LeGrand,Luke C.;80.65;16.13;0.00;0.00;3.23;96.90;87.10
145203395699022915;STS 214;Friedman,Malaka  ;80.65;12.90;3.23;0.00;3.23;96.58;86.77
15925141973983005005;STS 214;Sibley,Patsy Anne;54.55;23.86;13.64;0.00;7.95;91.25;81.70
4547172277153592776;STS 214;George,Dalton  ;53.73;22.39;7.46;5.97;10.45;89.84;80.30
4576907171485152859;STS 214;DeAtley,Tyler  ;67.57;20.27;8.11;1.35;2.70;94.54;84.86
17292216784923669789;STS 214;Clayton,Robin;57.50;27.50;8.75;0.00;6.25;92.58;83.00
910441007001010861;STS 214;Andrews PhD,Lindsey Catherine;67.86;25.00;0.00;0.00;7.14;94.32;84.64
1614467156083517897;STS 214;Tanner,Carly Rae;60.00;37.14;0.00;0.00;2.86;94.74;85.14
17885741147172110333;STS 214;Eisler PhD,Matthew Nicholas;20.59;50.00;20.59;8.82;0.00;87.44;78.24
17377234849226241646;STS 214;Sylvia IV,J.J.;40.91;25.76;12.12;3.03;18.18;86.23;76.82
15656243532519500747;STS 214;Hite,Adele H;54.37;27.18;8.74;4.85;4.85;91.68;82.14
8724827588825832041;STS 214;Hartzog,Molly Sue;64.77;23.86;6.82;1.14;3.41;94.19;84.55
6913591629707951535;STS 214;Typhina PhD,Eli;73.20;17.53;5.15;2.06;2.06;95.51;85.77
609405530636351528;STS 214;Kelly,Ashley Rose;41.67;38.89;15.28;2.78;1.39;91.08;81.67
4100547933237444286;STS 214;Kittle Autry,Meagan;8.82;70.59;17.65;0.00;2.94;87.32;78.24
15098492799351961223;STS 214;McKinney Maddalena,Sarah Katherine;83.82;13.24;1.47;1.47;0.00;97.78;87.94
11187310316340682971;STS 214;Hamlett,Patrick W;31.52;47.83;16.30;2.17;2.17;89.75;80.43
2244255058468878231;STS 214;Temple,Nicholas M;81.82;12.73;1.82;0.00;3.64;96.73;86.91
12297559655022997430;STS 214;Gruber,David Robert;45.71;48.57;2.86;0.00;2.86;92.89;83.43
5245859541744075596;STS 257;Ralston,Victoria Neal;77.78;11.11;0.00;0.00;11.11;94.22;84.44
17323499504296821451;STS 301;Clayton,Robin;61.04;23.38;7.79;2.60;5.19;92.86;83.25
12362391836850100377;STS 301;Graham,Daniel N.;28.57;50.00;12.50;0.00;8.93;88.21;78.93
12716699337541071329;STS 301;Taylor,SJ;36.36;27.27;27.27;0.00;9.09;87.55;78.18
5833143668304135425;STS 302;Haigler,Austin;67.31;28.85;2.88;0.00;0.96;95.83;86.15
9077910480481353649;STS 302;Bassett,Ross Knox;98.00;1.00;0.00;0.00;1.00;99.48;89.50
879379394594013605;STS 302;Pflanzer,Michael Scott;94.85;2.06;0.00;2.06;1.03;98.71;88.76
13504923301876465242;STS 302;Herrington,Emily Christine;75.76;15.15;6.06;0.00;3.03;95.82;86.06
11101661191852993114;STS 302;Holloway,Robin  ;80.58;11.65;4.85;1.94;0.97;96.70;86.89
16984214272616156200;STS 302;Lachowitzer,Chance;70.27;24.32;2.70;2.70;0.00;95.92;86.22
5498799124216204350;STS 302;Hedley,Susie;87.50;4.17;0.00;0.00;8.33;96.13;86.25
16115299127083831782;STS 302;Ibrahim,Mai Wahid Abdelkader;51.43;28.57;8.57;7.14;4.29;91.09;81.57
8089068465362800697;STS 302;Sutter,Alex;78.65;13.48;6.74;0.00;1.12;96.64;86.85
4589848992534443053;STS 302;Speicher,Nolan;79.65;17.70;0.88;0.88;0.88;97.23;87.43
12934639552908740964;STS 302;Clayton,Robin;64.20;14.81;4.94;1.23;14.81;90.88;81.23
13103271973303022518;STS 302;Higginbotham,Chloe  ;97.14;1.90;0.00;0.00;0.95;99.40;89.43
16227843584570548357;STS 302;Glover-Rijkse,Ragan;64.71;17.65;5.88;5.88;5.88;92.59;82.94
10237198053866483224;STS 302;Fletcher,Megan Alyssa;65.31;24.49;3.06;1.02;6.12;93.84;84.18
9373815231515880270;STS 302;Rogers,Brandon R;54.46;29.70;8.91;1.98;4.95;92.22;82.67
2490788304325398133;STS 302;Sibley,Patsy Anne;57.58;24.24;15.15;0.00;3.03;92.91;83.33
10018230378225870776;STS 302;Schneier,Joel Ira;72.22;19.44;5.56;2.78;0.00;95.83;86.11
394152515128121228;STS 302;DeAtley,Tyler  ;56.25;31.25;3.13;6.25;3.13;92.69;83.13
6515272706581494151;STS 302;Lee,JeongHyun;65.15;25.76;7.58;0.00;1.52;94.95;85.30
5606313770771358049;STS 302;Tanner,Carly Rae;63.64;21.21;9.09;3.03;3.03;93.58;83.94
11469719635217371824;STS 302;Kriesberg,Hadea Nell;52.69;27.96;12.90;1.08;5.38;91.68;82.15
5592127286410432979;STS 302;Tavakoli,Philipp A;63.64;26.84;5.63;0.87;3.03;94.35;84.72
10991438787286540594;STS 302;Hicks,Marie;28.21;41.03;23.08;2.56;5.13;87.74;78.46
13356907350098177564;STS 302;Ziglar,Hope;37.93;62.07;0.00;0.00;0.00;93.17;83.79
8693832969924255101;STS 303;Kriesberg,Hadea Nell;50.00;22.73;9.09;13.64;4.55;89.50;80.00
10002483405947295745;STS 304;Brinkman,Joshua Todd;70.00;16.67;3.33;3.33;6.67;93.70;84.00
12777018311753297887;STS 304;Barnhill,Katie;75.86;13.79;0.00;3.45;6.90;94.59;84.83
10935390819897794170;STS 304;Tjiattas,Mary;40.26;49.35;2.60;1.30;6.49;90.96;81.56
7589957234421695142;STS 304;Herkert,Joseph Raymond;30.95;27.38;22.62;8.33;10.71;85.26;75.95
4330782522828135334;STS 310;Orcutt,Darby C;43.59;20.51;25.64;7.69;2.56;88.92;79.49
14165714730741361630;STS 320;Bassett,Ross Knox;57.14;19.64;16.07;3.57;3.57;91.89;82.32
1414258081626463636;STS 322;Earnshaw,Keith R;72.81;16.67;5.70;1.75;3.07;95.17;85.44
14724884910469228902;STS 323;Patterson,Robert P.;90.00;7.25;2.75;0.00;0.00;98.63;88.73
942184136071380577;STS 323Q;Patterson,Robert P.;85.71;9.52;0.00;0.00;4.76;97.00;87.14
12935695147439934732;STS 325;Tjiattas,Mary;36.47;60.00;1.18;0.00;2.35;92.19;82.82
2495161981607410151;STS 402;Earnshaw,Keith R;59.74;22.73;9.09;3.25;5.19;92.45;82.86
6163859149661470777;STS 403;Sibley,Patsy Anne;65.79;21.05;5.26;0.00;7.89;93.34;83.68
2558246267346330239;STS 403;Dubljevic PhD,Veljko;25.81;64.52;6.45;0.00;3.23;90.23;80.97
17287787163129920106;STS 403;Wesp,Julie K;78.57;19.05;0.00;0.00;2.38;96.93;87.14
7525837142135938355;STS 403;Barnhill,Katie;50.00;40.00;0.00;0.00;10.00;91.50;82.00
10292948372336316707;STS 403;Delborne,Jason A.;34.48;41.38;15.52;5.17;3.45;89.17;79.83
14505381569612477125;STS 403;Booker,Matthew Morse;58.33;22.22;13.89;0.00;5.56;92.36;82.78
12809002567849108935;STS 403;Eisler PhD,Matthew Nicholas;12.50;41.67;12.50;8.33;25.00;79.96;70.83
577846736020426569;STS 403;Hamlett,Patrick W;36.07;39.34;21.31;3.28;0.00;90.18;80.82
13062221730150282882;STS 405;Nolan,Jennifer;17.74;56.45;16.13;3.23;6.45;86.76;77.58
5539767180557196940;STS 490;Orcutt,Darby C;42.22;40.00;8.89;6.67;2.22;90.76;81.33
12885108011435140611;STS 490;Sylvia IV,J.J.;58.82;23.53;5.88;11.76;0.00;92.53;82.94
