Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
3591325127276671;SW 201;Kim,Sung-Ju;97.30;2.70;0.00;0.00;0.00;99.70;89.73
9959811145845625601;SW 201;Townes,Mona;60.98;24.39;2.44;2.44;9.76;92.05;82.44
5131431186720935152;SW 201;Langley,Trinette Boone;86.67;6.67;0.00;6.67;0.00;97.20;87.33
7720783906989711807;SW 201;Johnson,Aneesah Nicole;94.74;5.26;0.00;0.00;0.00;99.42;89.47
13002563019773482442;SW 201;Washington,Adama Tyndle;86.36;11.36;2.27;0.00;0.00;98.27;88.41
449116559804381331;SW 201;Barnes,Sontina Spinks;69.05;26.19;4.76;0.00;0.00;96.12;86.43
2416568592677409270;SW 201;Averett,Paige;90.32;6.45;3.23;0.00;0.00;98.61;88.71
1038569246256969833;SW 201;Rios,Isabel;72.73;12.73;5.45;3.64;5.45;94.09;84.36
5063171791141141373;SW 201;Hall,Jodi K;88.68;5.66;3.77;0.00;1.89;97.81;87.92
9130789137662119245;SW 201;Cohen,Rachel S;80.00;15.00;0.00;0.00;5.00;96.30;86.50
9318971866233940321;SW 201;Stansbury,Kim L;81.48;12.96;5.56;0.00;0.00;97.41;87.59
2282113700283047529;SW 201;Guarino,Michelle H;94.44;5.56;0.00;0.00;0.00;99.39;89.44
12007510096572396313;SW 201;Martin,Suzanne  ;86.67;13.33;0.00;0.00;0.00;98.53;88.67
3010653780743164655;SW 201;Williams,Linda R.;80.22;16.48;2.20;1.10;0.00;97.38;87.58
9967380620786531506;SW 201;Miller-Haraway,Richard F.;62.50;31.82;4.55;0.00;1.14;95.08;85.45
15834550736029600213;SW 260;Bullock PhD,Karen;72.22;27.78;0.00;0.00;0.00;96.94;87.22
9377451851002147077;SW 290;Rinehart,Kathy Kasprzak;76.00;18.00;6.00;0.00;0.00;96.76;87.00
16826231734909479934;SW 290;Barnes,Sontina Spinks;86.36;9.09;4.55;0.00;0.00;98.05;88.18
17876824257876793597;SW 290;Hargrove,Steven;75.00;15.00;3.33;3.33;3.33;95.25;85.50
9942988409043194484;SW 290;Pritchard,Elizabeth Lee;80.00;13.33;0.00;0.00;6.67;95.80;86.00
10433473301187491412;SW 290;Yoon,Intae;52.63;31.58;12.28;3.51;0.00;92.86;83.33
3275811714220243193;SW 290;Boston Esq,Glenna Elaine;76.36;16.36;5.45;0.00;1.82;96.31;86.55
9809800742839919749;SW 290;Zelter,Barbara A.;89.06;10.94;0.00;0.00;0.00;98.80;88.91
11662564398172879993;SW 290;Kim,Sung-Ju;92.59;3.70;3.70;0.00;0.00;98.81;88.89
5617282238264846197;SW 290;Guarino,Michelle H;41.67;41.67;8.33;8.33;0.00;91.08;81.67
11874795628321357479;SW 290;Karim,Nicholle Susan;50.00;22.22;16.67;5.56;5.56;90.06;80.56
2894614937604863895;SW 290;Register,Jack;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7905996195615396837;SW 290;Allison,Hannah Ross;56.86;37.25;5.88;0.00;0.00;94.67;85.10
2101824295287795519;SW 290;Osborne,Kathy M.;69.23;30.77;0.00;0.00;0.00;96.62;86.92
11287823524288645559;SW 290;Williams,Linda R.;97.30;2.70;0.00;0.00;0.00;99.70;89.73
4610969010181540928;SW 290;Barnes,Suzanne Mallard;71.43;11.11;4.76;4.76;7.94;93.05;83.33
8867066953436622588;SW 290;Walter,Lynne Marie;21.88;31.25;43.75;0.00;3.13;86.09;76.88
13433209606587656762;SW 300;Ascienzo,Sarah;50.00;37.50;7.50;0.00;5.00;92.25;82.75
2534602793019281348;SW 300;Kocher,Brady Robert;69.09;25.45;5.45;0.00;0.00;96.05;86.36
16182435228974950116;SW 300;Kim,Sung-Ju;46.34;34.15;12.20;2.44;4.88;90.93;81.46
10286848327103899522;SW 300;Averett,Paige;62.79;27.91;2.33;0.00;6.98;93.58;83.95
10335883717585013368;SW 300;Schelstraete,Elisabeth;63.64;22.73;9.09;0.00;4.55;93.73;84.09
11972516130696059074;SW 300;Martinson,Noah Arnel;41.94;38.71;12.90;3.23;3.23;90.71;81.29
10905325645124137012;SW 300;Ruth,Terrance R;33.33;44.44;11.11;3.70;7.41;88.59;79.26
1137589344256636145;SW 300;Fitzpatrick,David Charles;29.17;47.22;18.06;4.17;1.39;89.15;79.86
7672911938797065407;SW 300;Tabone,Jiyoung K;54.90;41.18;3.92;0.00;0.00;94.65;85.10
16124112161436422167;SW 300;Hayes,Crystal;61.11;33.33;0.00;0.00;5.56;94.06;84.44
9195242901489837463;SW 300;Price,Charlotte Ann;54.67;37.33;5.33;0.00;2.67;93.68;84.13
6596428837973563058;SW 300;Casstevens,Willa Jeanne;80.95;19.05;0.00;0.00;0.00;97.90;88.10
1424872337200218049;SW 300;Taliaferro,Jocelyn;15.38;61.54;23.08;0.00;0.00;88.38;79.23
10765528395707622567;SW 307;Barnes,Sontina Spinks;80.85;19.15;0.00;0.00;0.00;97.89;88.09
10878131154514266150;SW 307;Hargrove,Steven;84.48;10.34;1.72;0.00;3.45;97.09;87.24
10603413610988894126;SW 307;Yoon,Intae;62.96;33.33;3.70;0.00;0.00;95.56;85.93
2581142039828930634;SW 307;Taliaferro,Jocelyn;41.51;41.51;13.21;1.89;1.89;91.30;81.89
14751126496272682245;SW 307;Boston Esq,Glenna Elaine;64.71;17.65;5.88;11.76;0.00;93.18;83.53
13161718334356375930;SW 307;Langley,Trinette Boone;88.24;5.88;0.00;0.00;5.88;96.94;87.06
616739282704023952;SW 307;Hayes,Crystal;97.92;2.08;0.00;0.00;0.00;99.77;89.79
7042701884631978116;SW 307;Hardesty,Melissa Lynn;70.00;30.00;0.00;0.00;0.00;96.70;87.00
8492888124492375169;SW 307;Allison,Hannah Ross;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3350412340489291765;SW 307;Barnes,Suzanne Mallard;58.06;22.58;12.90;0.00;6.45;92.16;82.58
5109067954913383607;SW 307;Hall,Jodi K;85.29;5.88;5.88;0.00;2.94;96.91;87.06
13669134800708852623;SW 307;Walter,Lynne Marie;25.00;56.25;18.75;0.00;0.00;89.88;80.63
11377122656621836540;SW 307;McClure,Bonita L;87.18;7.69;0.00;0.00;5.13;97.05;87.18
9239087341224208479;SW 307;Ivy,Ramona Renee;86.60;8.25;1.03;3.09;1.03;97.49;87.63
4203983543023069651;SW 310;Lockhart,Renae Robinson;82.19;13.70;4.11;0.00;0.00;97.63;87.81
5397001184015781395;SW 310;Rios,Isabel;65.08;15.87;4.76;3.17;11.11;91.71;82.06
9195275080382649310;SW 310;Rodgers,Cassi;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11477902557374418407;SW 310;Nsonwu,Maura Busch;82.69;15.38;1.92;0.00;0.00;97.90;88.08
8799729584373572311;SW 310;Bean,Ronda;42.86;57.14;0.00;0.00;0.00;93.71;84.29
4789108954703545004;SW 310;Hall,Jodi K;66.67;16.67;8.33;0.00;8.33;93.00;83.33
13975698186228367399;SW 310;Ames,Natalie R.;80.56;11.11;5.56;2.78;0.00;96.75;86.94
16962103249522961717;SW 310;Ward,Shashanah;69.57;30.43;0.00;0.00;0.00;96.65;86.96
13957355889089114109;SW 310;Allison,Hannah Ross;76.47;23.53;0.00;0.00;0.00;97.41;87.65
10002877719959303210;SW 310;Martin,Suzanne  ;91.18;7.35;1.47;0.00;0.00;98.88;88.97
11365341780147075312;SW 310;Outlaw,Nehal Shukla;78.26;19.57;0.00;2.17;0.00;97.17;87.39
13727454189538321250;SW 310;Rabon,Suzanne R;91.80;8.20;0.00;0.00;0.00;99.10;89.18
17856020553915611361;SW 310;Clark,Gayle Kuhn;93.02;4.65;0.00;0.00;2.33;98.53;88.60
15288162275295288666;SW 310;Hall-Williams,Jacqueline Johnson hewitt;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5923625998847919697;SW 310;Casstevens,Willa Jeanne;96.30;0.00;0.00;3.70;0.00;98.85;88.89
9570802318850693058;SW 310;Lister,Kelly M.;83.33;12.50;0.00;0.00;4.17;96.92;87.08
9488884266141463124;SW 312;Rios,Isabel;77.78;15.87;4.76;0.00;1.59;96.60;86.83
592877642833369586;SW 312;Pritchard,Elizabeth Lee;90.16;4.92;0.00;1.64;3.28;97.61;87.70
1098863737977583964;SW 312;Langley,Trinette Boone;63.64;22.73;4.55;0.00;9.09;92.82;83.18
16516433606857803018;SW 312;Tyler-Walker,Richard;98.25;1.75;0.00;0.00;0.00;99.81;89.82
14710788924080305714;SW 312;Nsonwu,Maura Busch;88.00;0.00;8.00;0.00;4.00;96.68;86.80
1143545361520122591;SW 312;Boehm,Lauren Kaycie;81.67;8.33;1.67;1.67;6.67;95.48;85.67
4207703130288957536;SW 312;Ward,Shashanah;79.31;17.24;3.45;0.00;0.00;97.38;87.59
12483550006413036128;SW 312;Cryer-Coupet,Qiana;70.00;20.00;10.00;0.00;0.00;95.70;86.00
12187827558772728280;SW 312;Allison,Hannah Ross;85.11;14.89;0.00;0.00;0.00;98.36;88.51
12847823521121023353;SW 312;McClure,Bonita L;93.38;3.68;1.47;0.74;0.74;98.76;88.82
9587762459258590829;SW 312;Hayes,Crystal;88.10;11.90;0.00;0.00;0.00;98.69;88.81
7582220378103331382;SW 312;Leach,Monica Terrell;78.46;18.46;3.08;0.00;0.00;97.32;87.54
9096500572567759762;SW 320;Ames,Natalie R.;45.95;40.54;10.81;0.00;2.70;92.16;82.70
11261624038945899152;SW 320;Barnes,Sontina Spinks;95.45;2.27;2.27;0.00;0.00;99.27;89.32
17760305300923043267;SW 320;Affee,Mary L.;83.87;12.90;0.00;3.23;0.00;97.58;87.74
4161897904722302903;SW 320;Rios,Isabel;93.55;6.45;0.00;0.00;0.00;99.29;89.35
12709708642205363346;SW 320;Ascienzo,Sarah;77.50;20.00;2.50;0.00;0.00;97.28;87.50
11376285152593236194;SW 320;Wheeler,Pamela Ann;93.55;6.45;0.00;0.00;0.00;99.29;89.35
2649601855254305247;SW 320;Baron,Lisa;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1949936709478872318;SW 320;Hardesty,Melissa Lynn;81.25;18.75;0.00;0.00;0.00;97.94;88.13
17525991057515385441;SW 320;Rabon,Suzanne R;80.00;16.00;4.00;0.00;0.00;97.40;87.60
9696860008562245001;SW 320;Miller-Haraway,Richard F.;94.12;5.88;0.00;0.00;0.00;99.35;89.41
747283928652149092;SW 320;Clark,Gayle Kuhn;96.15;3.85;0.00;0.00;0.00;99.58;89.62
4379565343964338206;SW 320;Osborne,Kathy M.;71.88;25.00;3.13;0.00;0.00;96.59;86.88
16736588353617283215;SW 405;Ames,Natalie R.;71.11;22.22;6.67;0.00;0.00;96.16;86.44
7307290665797602029;SW 405;Nsonwu,Maura Busch;90.20;7.84;1.96;0.00;0.00;98.73;88.82
3111659506000591067;SW 405;Weaver,Carleigh Davis;86.67;6.67;6.67;0.00;0.00;97.87;88.00
5034005509592021597;SW 405;Barnes,Sontina Spinks;95.00;2.50;2.50;0.00;0.00;99.20;89.25
12378695517426409966;SW 405;Rios,Isabel;90.24;4.88;2.44;2.44;0.00;98.20;88.29
10188567071084393788;SW 405;Baron,Lisa;73.81;26.19;0.00;0.00;0.00;97.12;87.38
4446138267268727348;SW 405;Trolenberg,Kristen Jan;88.89;9.26;1.85;0.00;0.00;98.59;88.70
3375158913053465721;SW 405;Ward,Shashanah;48.00;48.00;4.00;0.00;0.00;93.88;84.40
2066562370803546499;SW 405;Gunn-Jones,Linda Norsena;85.71;7.14;7.14;0.00;0.00;97.71;87.86
859285601564759285;SW 405;Rabon,Suzanne R;93.48;6.52;0.00;0.00;0.00;99.28;89.35
11936006491150022130;SW 405;Osborne,Kathy M.;65.71;34.29;0.00;0.00;0.00;96.23;86.57
15069523730524936957;SW 405;Clark,Gayle Kuhn;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17841146990867111284;SW 408;Kim,Sung-Ju;93.75;3.13;3.13;0.00;0.00;99.00;89.06
1384662710560337670;SW 408;Johnson,Aneesah Nicole;80.49;17.07;2.44;0.00;0.00;97.61;87.80
12514377440721164327;SW 408;Averett,Paige;48.78;48.78;2.44;0.00;0.00;94.12;84.63
13570342972932928550;SW 408;Langley,Trinette Boone;84.31;11.76;1.96;1.96;0.00;97.69;87.84
10781965755827962626;SW 408;Rios,Isabel;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16880589255268582838;SW 408;Yoon,Intae;72.00;24.00;4.00;0.00;0.00;96.52;86.80
7499095064430041645;SW 408;Register,Jack;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2943303235385164725;SW 408;Early PhD,Martha Tierney;100.00;0.00;0.00;0.00;0.00;100.00;90.00
613628250450886961;SW 408;Allen-Eckard,Karakahl Rene;72.73;27.27;0.00;0.00;0.00;97.00;87.27
9982495226392630045;SW 408;Hardesty,Melissa Lynn;67.86;28.57;1.79;0.00;1.79;95.75;86.07
8636673370840854871;SW 408;Andreaus,Kimberly Hale;98.28;0.00;0.00;0.00;1.72;99.29;89.31
4196654931457933896;SW 408;McLean,Jeffrey Troy;92.42;4.55;3.03;0.00;0.00;98.86;88.94
2772629342550814142;SW 408;Kiser,Alison Nicole;49.12;45.61;5.26;0.00;0.00;93.88;84.39
16166487157703413662;SW 408;Ivy,Ramona Renee;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14998803222239441305;SW 412;Neiley,Kevin J;78.13;15.63;6.25;0.00;0.00;96.97;87.19
9093046285839974211;SW 412;Johnson,Darlene Weiss;70.59;11.76;11.76;2.94;2.94;94.12;84.41
11220283563686464519;SW 412;Langley,Trinette Boone;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17405238623735647007;SW 412;Williams,Linda R.;58.97;23.08;7.69;0.00;10.26;91.64;82.05
7282565559264058471;SW 412;Hunter,Natalie Nicole;88.89;11.11;0.00;0.00;0.00;98.78;88.89
10030113945202227513;SW 413;Langley,Trinette Boone;76.92;15.38;7.69;0.00;0.00;96.69;86.92
16180338045610241992;SW 413;Stansbury,Kim L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17900695900205743110;SW 413;Leach,Monica Terrell;50.00;30.00;10.00;0.00;10.00;90.50;81.00
14262324263585460669;SW 415;Campbell,Crystal  ;89.47;10.53;0.00;0.00;0.00;98.84;88.95
12120582556292110451;SW 415;Boston Esq,Glenna Elaine;77.78;22.22;0.00;0.00;0.00;97.56;87.78
17946826196517778749;SW 415;Morris,Mary Morrison;92.86;7.14;0.00;0.00;0.00;99.21;89.29
13417229507970807209;SW 415;Cauley,Lisa T.;60.98;21.95;12.20;2.44;2.44;93.27;83.66
8646699453069260581;SW 415;Graves,Kerry;86.67;13.33;0.00;0.00;0.00;98.53;88.67
9522442640279493055;SW 415;Gold,Miriam S;52.00;36.00;8.00;0.00;4.00;92.72;83.20
598465936708776718;SW 416;Fitzpatrick,David Charles;79.41;11.76;2.94;0.00;5.88;95.68;85.88
12356384740387085103;SW 416;Budnick,Chris Kent;74.19;19.35;3.23;0.00;3.23;95.87;86.13
6343226350261309979;SW 416;Phillips,Shane Garrick;54.17;29.17;8.33;0.00;8.33;91.63;82.08
6303962408848893873;SW 417;Beckham,Keturah Y;93.75;6.25;0.00;0.00;0.00;99.31;89.38
12036639866678363084;SW 418;Williams,Linda R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
779405798079003793;SW 418;Osborne,Kathy M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8492772799172025986;SW 420;Barnes,Sontina Spinks;88.46;0.00;7.69;0.00;3.85;96.81;86.92
3409152741288130167;SW 425;Fitzpatrick,David Charles;72.22;16.67;5.56;0.00;5.56;94.72;85.00
2265214887548644233;SW 440;Williams,Linda R.;86.84;10.53;0.00;0.00;2.63;97.76;87.89
6385492420325106708;SW 480;Campbell,Crystal  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4587672381179668714;SW 480;Hargrove,Steven;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4880580824350589285;SW 480;Zelter,Barbara A.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7453974456358558506;SW 480;Taliaferro,Jocelyn;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13958672898489905202;SW 480;Hall,Jodi K;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4135535090070036248;SW 480;Andreaus,Kimberly Hale;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9992684243717072625;SW 480;Osborne,Kathy M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10199546771017146234;SW 490;Jones,Alice Williamson;89.58;10.42;0.00;0.00;0.00;98.85;88.96
12565378752920253002;SW 490;Campbell,Crystal  ;96.67;3.33;0.00;0.00;0.00;99.63;89.67
12184937168182146052;SW 490;Morris,Mary Morrison;97.67;2.33;0.00;0.00;0.00;99.74;89.77
8131153518586820076;SW 490;Langley,Trinette Boone;88.89;8.33;0.00;0.00;2.78;97.94;88.06
13360799050681827659;SW 490;Averett,Paige;91.67;8.33;0.00;0.00;0.00;99.08;89.17
6184945108470973915;SW 490;Zelter,Barbara A.;92.86;7.14;0.00;0.00;0.00;99.21;89.29
14561309762101407290;SW 490;Guarino,Michelle H;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4041961502321509291;SW 490;Hall,Jodi K;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17738666594628985750;SW 490;Boston,Deric J.;90.00;10.00;0.00;0.00;0.00;98.90;89.00
5757052345589955788;SW 490;Osborne,Kathy M.;82.69;13.46;3.85;0.00;0.00;97.71;87.88
8566385625021587585;SW 490;Clark,Gayle Kuhn;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2765144487174498910;SW 490;Ames,Natalie R.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11678329979011149430;SW 491;Campbell,Crystal  ;90.48;9.52;0.00;0.00;0.00;98.95;89.05
5446214231336666960;SW 491;Francis PhD,Stephanie Lee;76.00;24.00;0.00;0.00;0.00;97.36;87.60
9357714485285268324;SW 491;Morris,Mary Morrison;97.67;0.00;2.33;0.00;0.00;99.51;89.53
7655148080173525015;SW 491;Langley,Trinette Boone;94.44;2.78;0.00;0.00;2.78;98.56;88.61
15943617720718061980;SW 491;Averett,Paige;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7697041467171065260;SW 491;Zelter,Barbara A.;60.00;37.50;2.50;0.00;0.00;95.35;85.75
4332562530618423557;SW 491;Guarino,Michelle H;93.48;6.52;0.00;0.00;0.00;99.28;89.35
1214163215169811961;SW 491;Hall,Jodi K;93.33;6.67;0.00;0.00;0.00;99.27;89.33
14322892077663357418;SW 495;Bennett,Anthony L;75.00;15.00;5.00;5.00;0.00;95.75;86.00
16198597957992443070;SW 495;Nguyen-Dinh,Kim;61.11;22.22;5.56;5.56;5.56;92.39;82.78
10490322133082400754;SW 495;Schelstraete,Elisabeth;0.00;30.77;0.00;38.46;30.77;72.08;63.08
6569625117902441252;SW 495;Gill Jr,Emmett Lee;14.29;42.86;42.86;0.00;0.00;86.29;77.14
2621292958810567679;SW 495;Fitzpatrick,David Charles;77.78;13.89;8.33;0.00;0.00;96.72;86.94
5045392074041500548;SW 495;Barnes,Suzanne Mallard;76.19;4.76;2.38;4.76;11.90;92.62;82.86
4494543123133892808;SW 498;Williams,Linda R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7608557253548817899;SW 498;Graves,Kerry;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11709348109087092331;SW 500;Jones,Alice Williamson;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2355885354133326905;SW 500;Affee,Mary L.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3769249903954052848;SW 500;Kocher,Brady Robert;86.36;13.64;0.00;0.00;0.00;98.50;88.64
12170114473082748066;SW 500;Moore,Paige  ;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1367389312387113162;SW 500;Boston,Deric J.;80.95;19.05;0.00;0.00;0.00;97.90;88.10
5806021464382210252;SW 500;Tucker,Eric DeWayne;92.86;7.14;0.00;0.00;0.00;99.21;89.29
14472906414372175636;SW 500;Fitzpatrick,David Charles;82.09;14.93;2.99;0.00;0.00;97.73;87.91
