Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15220107017952603169;T 101;Jennings,Alyssa  ;72.22;18.89;5.56;3.33;0.00;95.72;86.00
13513951472814233761;T 101;Carter,Hannah Colleen;80.60;16.42;1.49;1.49;0.00;97.42;87.61
6956209628444929927;T 101;Clayton,Jenna  ;78.57;16.33;3.06;1.02;1.02;96.83;87.04
10194183978856409715;T 101;Metcalf,Meggie;76.58;13.51;4.50;2.70;2.70;95.62;85.86
12208662051318180485;T 101;Lyerly,Heather Murphy;72.30;18.24;5.41;1.35;2.70;95.33;85.61
17377402062783683437;T 101;Spencer,Sabrina;65.00;25.00;10.00;0.00;0.00;95.15;85.50
13422984725237438541;T 101;Rose,Pam;85.71;9.52;4.76;0.00;0.00;97.95;88.10
9639269463460316045;T 101;Hart,Bri;85.87;10.87;2.17;1.09;0.00;98.01;88.15
16632668655370286716;T 101;Lee,Michael Joseph;95.24;1.90;2.86;0.00;0.00;99.19;89.24
10996601416227792881;T 101;Moran,Liz Crites;65.52;26.44;4.60;1.15;2.30;94.83;85.17
10859415273463892659;T 101;Brittian,Tremaine;47.62;37.30;10.32;2.38;2.38;92.02;82.54
16073386664908869609;T 101;Dail,Philip Ray;86.00;12.00;1.00;0.00;1.00;98.06;88.20
3363407737235150381;T 102;Powell,Erin;57.52;20.35;8.85;7.96;5.31;91.26;81.68
9726298662147068594;T 104;Sackaroff,Jeff;87.14;12.86;0.00;0.00;0.00;98.59;88.71
13692653585880739122;T 491;Hinks,David;96.88;3.13;0.00;0.00;0.00;99.66;89.69
6257968352995738682;T 491;Godfrey,A. Blanton;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14844431958202077223;T 491;Moore,Marguerite Murray;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11655965448224710686;T 491;Willoughby,Julie Ann;95.65;4.35;0.00;0.00;0.00;99.52;89.57
16462402415304394093;T 491;Powell,Nancy C.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16296503534294237775;T 492H;Pasquinelli,Melissa;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3805407224331216728;T 493;Cho,Eunjin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13748191011303304833;T 493;Istook,Cynthia L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3724944369772863819;T 493;McLendon,Debra Lee;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1149659778462529318;T 493;Cassill,Nancy L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1637479442365188400;T 493;Oxenham,William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13345684385469803592;T 497;Jur,Jesse Stephen;64.00;36.00;0.00;0.00;0.00;96.04;86.40
14010006230376032903;T 498;Jur,Jesse Stephen;64.00;36.00;0.00;0.00;0.00;96.04;86.40
16236670537151544923;T 498;Willoughby,Julie Ann;37.50;62.50;0.00;0.00;0.00;93.13;83.75
