Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1821858342781711657;TC 502;Hauser PhD,Peter J;80.00;20.00;0.00;0.00;0.00;97.80;88.00
14902922849651622994;TC 530;Salmon,Sonja;83.33;16.67;0.00;0.00;0.00;98.17;88.33
6323461836574101257;TC 530;Hauser PhD,Peter J;57.89;26.32;15.79;0.00;0.00;93.79;84.21
10681667451078718886;TC 560;Ford,Ericka N;33.33;55.56;11.11;0.00;0.00;91.56;82.22
12573785037968299582;TC 561;Budhathoki Uprety,Januka;68.42;26.32;5.26;0.00;0.00;96.00;86.32
12761932929316220764;TC 561;Kotek,Richard;72.41;24.14;3.45;0.00;0.00;96.62;86.90
18210419638017898150;TC 561;Hudson,Samuel Mack;85.71;14.29;0.00;0.00;0.00;98.43;88.57
15404586645662216486;TC 561;Tonelli,Alan E;34.78;65.22;0.00;0.00;0.00;92.83;83.48
593289304695896299;TC 565;Hauser PhD,Peter J;60.00;30.00;10.00;0.00;0.00;94.60;85.00
17618131300669606523;TC 565;Kotek,Richard;81.48;18.52;0.00;0.00;0.00;97.96;88.15
4495332994831270794;TC 589;Vinueza Benitez,Nelson Rodrigo;52.00;44.00;4.00;0.00;0.00;94.32;84.80
9098936840014402094;TC 589;Ormond,R. Bryan;87.88;12.12;0.00;0.00;0.00;98.67;88.79
12460730219397622256;TC 589;Williams,Tova;83.33;16.67;0.00;0.00;0.00;98.17;88.33
14809467183272158883;TC 589;Salmon,Sonja;65.00;30.00;0.00;0.00;5.00;94.65;85.00
17663061876015952749;TC 589;Shim,Eunkyoung;62.50;37.50;0.00;0.00;0.00;95.88;86.25
1003977657891772851;TC 589;Hudson,Samuel Mack;93.75;6.25;0.00;0.00;0.00;99.31;89.38
7454682376045906444;TC 589;Krause,Wendy E.;64.71;35.29;0.00;0.00;0.00;96.12;86.47
8102943448901089251;TC 589;Hauser PhD,Peter J;60.00;40.00;0.00;0.00;0.00;95.60;86.00
9283971201151801062;TC 601;Leonas,Karen K.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1428117494769540117;TC 601;Mathur,Kavita;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5210677526492865951;TC 601;Fang,Xiaomeng;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8576941446187587860;TC 601;Tonelli,Alan E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2281920982316124979;TC 601;Little,Trevor J.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6127528778323434649;TC 601;Jin,Byoungho Ellie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1269343070890603102;TC 601;Shim,Eunkyoung;0.00;0.00;0.00;0.00;0.00;0.00;0.00
273941347756542905;TC 601;Rothenberg,Lori Fay;0.00;0.00;0.00;0.00;0.00;0.00;0.00
44146517154385547;TC 601;Hergeth,Helmut H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12538098585584829690;TC 601;Suh,Moon Won;0.00;0.00;0.00;0.00;0.00;0.00;0.00
904844044660190071;TC 601;Zhang,Xiangwu;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9982171831999155921;TC 601;Hinks,David;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17050138268053740665;TC 630;Budhathoki Uprety,Januka;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10711920423765695897;TC 630;Pasquinelli,Melissa;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6621254099570912969;TC 630;Shamey,Renzo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16096960894293905119;TC 630;Salmon,Sonja;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18341341179439447490;TC 630;Hudson,Samuel Mack;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15225432238260863682;TC 630;El-Shafei,Ahmed Mohamed;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8538596364333693813;TC 630;Ormond,R. Bryan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1137174410328787556;TC 695;Shamey,Renzo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13122765991330908853;TC 695;Hudson,Samuel Mack;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1906976580706863688;TC 695;King,Martin William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7702897447035347262;TC 695;Freeman,Harold S.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9780226066705245267;TC 695;Hauser PhD,Peter J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14957043194127303790;TC 695;Hinks,David;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18209861054238029748;TC 695;Kotek,Richard;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4189130652141883884;TC 695;El-Shafei,Ahmed Mohamed;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4578053343466183909;TC 696;Hauser PhD,Peter J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10704605578565390878;TC 704;Ford,Ericka N;93.94;6.06;0.00;0.00;0.00;99.33;89.39
18095145011373898727;TC 704;Hudson,Samuel Mack;93.18;6.82;0.00;0.00;0.00;99.25;89.32
8741292803684438552;TC 706;Shamey,Renzo;56.00;44.00;0.00;0.00;0.00;95.16;85.60
16370623084650902813;TC 707;Shamey,Renzo;75.00;25.00;0.00;0.00;0.00;97.25;87.50
3522060603801741344;TC 720;Freeman,Harold S.;57.69;42.31;0.00;0.00;0.00;95.35;85.77
13341098797828440294;TC 771;Tonelli,Alan E;30.00;70.00;0.00;0.00;0.00;92.30;83.00
6290232106607538374;TC 791;Beck PhD,Keith R.;30.00;70.00;0.00;0.00;0.00;92.30;83.00
