Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7404528283694534297;TDE 101;Haynie III,William J;62.30;32.79;0.00;0.00;4.92;94.38;84.75
17686320444001000753;TDE 101;Ernst,Jeremy Vaughn;61.11;16.67;11.11;0.00;11.11;91.28;81.67
2584409985980303128;TDE 110;Miller,Steven Leroy;89.80;6.12;0.00;0.00;4.08;97.65;87.76
2265026539877398561;TDE 110;Egresitz,Justin Charles;86.67;6.67;0.00;4.44;2.22;96.98;87.11
14025110448329820775;TDE 110;Bates,Dani Gordon Mendiola;88.00;8.00;0.00;4.00;0.00;97.88;88.00
12548298227533154030;TDE 110;Manusos,Dominick  ;79.63;14.81;5.56;0.00;0.00;97.20;87.41
16746424285780667190;TDE 110;Franzen,Marissa Marie Sloan;69.23;23.08;7.69;0.00;0.00;95.85;86.15
2669312665938126247;TDE 110;DeLuca,V. William;73.47;20.41;4.08;0.00;2.04;96.06;86.33
11036450484760414821;TDE 110;Fardo,Brian Wayne;76.09;15.22;2.17;4.35;2.17;95.63;85.87
15213438894220237823;TDE 110;Elmore,Zachariah Justin;92.59;5.56;1.85;0.00;0.00;99.00;89.07
15477835430392666037;TDE 110;Busby,Joe R;79.17;4.17;4.17;4.17;8.33;93.96;84.17
7759864705920518311;TDE 131;Schettig,Erik James;77.27;18.18;3.03;0.00;1.52;96.74;86.97
3218732359746232757;TDE 131;Franzen,Marissa Marie Sloan;48.84;34.88;13.95;0.00;2.33;92.28;82.79
2263386648667646025;TDE 131;Baldwin,Tameshia Ballard;37.04;53.70;9.26;0.00;0.00;92.15;82.78
13160481794145738253;TDE 131;Jones,Tamecia R.;40.48;40.48;11.90;7.14;0.00;90.83;81.43
13702657660834701922;TDE 131;Denson,Cameron DeLeon;83.33;10.42;4.17;0.00;2.08;97.13;87.29
6917466061395889254;TDE 131;DeLuca,V. William;89.09;9.09;0.00;0.00;1.82;98.25;88.36
15248200695147178667;TDE 131;Buelin-Biesecker,Jennifer Katherine;77.27;22.73;0.00;0.00;0.00;97.50;87.73
17735825197741147823;TDE 161;Ernst,Jeremy Vaughn;78.38;18.92;2.70;0.00;0.00;97.35;87.57
7656025097364514297;TDE 161;Walton,Matthew D;89.09;3.64;0.00;1.82;5.45;96.80;86.91
2836824140826806172;TDE 202;Fahrer,Nolan Edward;77.42;16.13;6.45;0.00;0.00;96.87;87.10
4743269090280119716;TDE 202;Busby,Joe R;84.00;12.00;4.00;0.00;0.00;97.84;88.00
11898962394321478285;TDE 202;Varnado,Terri E;70.59;23.53;1.96;0.00;3.92;95.39;85.69
8275280731056730338;TDE 205;Kaskel,Joseph Matthew;80.60;10.45;2.99;0.00;5.97;95.78;85.97
10217431613944815197;TDE 205;Egresitz,Justin Charles;70.77;20.00;3.08;0.00;6.15;94.63;84.92
14288470466639624278;TDE 205;Elias,Mariam  ;77.08;16.67;4.17;0.00;2.08;96.44;86.67
4092546146978955375;TDE 205;Sutton,Kevin Gregory;68.97;20.69;6.90;1.72;1.72;95.03;85.34
6442486317047453485;TDE 205;Kelly,Deidre  ;69.44;26.39;1.39;0.00;2.78;95.67;85.97
12256189685980307200;TDE 205;Scales,Alice Y;54.72;33.96;7.55;0.00;3.77;93.13;83.58
15324225500462576187;TDE 205;Buelin-Biesecker,Jennifer Katherine;70.97;16.13;3.23;3.23;6.45;93.90;84.19
14552866340160620911;TDE 207;Varnado,Terri E;84.62;0.00;15.38;0.00;0.00;96.77;86.92
