Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
18298571527644564630;TE 105;Bradford,Philip David;89.16;10.84;0.00;0.00;0.00;98.81;88.92
14054606668586731275;TE 105;Gorga PhD,Russell E;75.68;18.92;4.05;0.00;1.35;96.51;86.76
9653499560151410588;TE 110;Joines,Jeff;56.79;35.80;6.17;1.23;0.00;94.38;84.81
9164382886339442913;TE 110;Pasquinelli,Melissa;69.57;18.84;7.25;1.45;2.90;94.77;85.07
14214702045993546174;TE 200;Krause,Wendy E.;47.37;33.68;15.79;2.11;1.05;91.89;82.42
9414999443375540308;TE 200;Kotek,Richard;43.24;29.73;24.32;2.70;0.00;90.78;81.35
16296498018803431615;TE 200;Zhang,Xiangwu;47.73;37.88;12.12;0.76;1.52;92.43;82.95
16593527666585495878;TE 201;Zhang,Xiangwu;66.67;28.74;2.30;1.15;1.15;95.53;85.86
11569877834039882046;TE 205;Jasper,Warren J;42.86;33.93;19.64;1.79;1.79;90.86;81.43
5872541863911033107;TE 205;Harmon,Jeffrey L;21.74;26.09;30.43;17.39;4.35;83.57;74.35
16964279732683820722;TE 205;Jur,Jesse Stephen;46.88;25.00;18.75;9.38;0.00;90.41;80.94
5042213140720767180;TE 205;Joines,Jeff;45.83;26.39;20.83;2.78;4.17;90.15;80.69
13579429514223390373;TE 301;Yin,Rong;67.50;30.00;2.50;0.00;0.00;96.18;86.50
3948783984348869788;TE 301;Rust,Jon P.;33.82;51.47;8.82;4.41;1.47;90.51;81.18
2645082130960254210;TE 302;Jasper,Warren J;41.67;36.11;18.06;2.78;1.39;90.81;81.39
8439818142267862573;TE 302;Tabor,Jordan  ;66.67;33.33;0.00;0.00;0.00;96.33;86.67
16301812337401674191;TE 303;Schroeder,Thomas Byron Hipps;25.00;52.78;19.44;2.78;0.00;89.25;80.00
2011700864593779559;TE 303;Hamouda,Hechmi;50.82;36.07;9.84;3.28;0.00;92.95;83.44
17108787212890518195;TE 303;Pasquinelli,Melissa;52.94;39.22;5.88;0.98;0.98;93.75;84.22
15469742143298432647;TE 401;Bradford,Philip David;73.91;26.09;0.00;0.00;0.00;97.13;87.39
17586669929990765611;TE 401;Gorga PhD,Russell E;42.25;50.70;5.63;1.41;0.00;92.80;83.38
11247076235673776238;TE 401;Willoughby,Julie Ann;56.86;41.18;1.96;0.00;0.00;95.06;85.49
17262791353227093083;TE 401;Hamouda,Hechmi;75.00;25.00;0.00;0.00;0.00;97.25;87.50
8798190218889620488;TE 402;Bradford,Philip David;86.36;13.64;0.00;0.00;0.00;98.50;88.64
6480035614099973537;TE 402;Gorga PhD,Russell E;80.00;17.33;2.67;0.00;0.00;97.53;87.73
575565509349993818;TE 402;Jur,Jesse Stephen;83.33;16.67;0.00;0.00;0.00;98.17;88.33
17698751499789425797;TE 402;Willoughby,Julie Ann;57.41;38.89;1.85;1.85;0.00;94.76;85.19
13620472519191531459;TE 402;Hamouda,Hechmi;85.00;15.00;0.00;0.00;0.00;98.35;88.50
14721657816612880462;TE 402;Rust,Jon P.;65.63;25.00;6.25;0.00;3.13;94.66;85.00
4756225672871351771;TE 404;Joines,Jeff;35.48;54.84;8.06;1.61;0.00;91.77;82.42
18435104034711892948;TE 404;Hunt-Lowery,Alisa;36.59;51.22;7.32;4.88;0.00;91.32;81.95
6480975778436234480;TE 404;Langford,Marissa J;42.42;42.42;15.15;0.00;0.00;92.15;82.73
14566664586422786891;TE 404;Godfrey,A. Blanton;54.84;45.16;0.00;0.00;0.00;95.03;85.48
5198661349764746318;TE 424;Joines,Jeff;46.67;45.33;6.67;1.33;0.00;93.20;83.73
8172532076405989774;TE 424;Hunt-Lowery,Alisa;36.59;51.22;7.32;4.88;0.00;91.32;81.95
16913348416953450844;TE 424;Langford,Marissa J;42.42;42.42;15.15;0.00;0.00;92.15;82.73
15869907793760225551;TE 424;Godfrey,A. Blanton;56.67;43.33;0.00;0.00;0.00;95.23;85.67
3795582304911920230;TE 435;Jasper,Warren J;12.50;33.33;25.00;20.83;8.33;81.21;72.08
7487473582579280177;TE 440;Zhu,Mengmeng;40.00;50.00;10.00;0.00;0.00;92.40;83.00
18186115146032441087;TE 440;Joines,Jeff;77.08;22.92;0.00;0.00;0.00;97.48;87.71
1919994949457625732;TE 463;Shen,Jialong;100.00;0.00;0.00;0.00;0.00;100.00;90.00
955990297228831674;TE 463;Gorga PhD,Russell E;97.83;2.17;0.00;0.00;0.00;99.76;89.78
9124284623730568696;TE 466;Krause,Wendy E.;98.61;1.39;0.00;0.00;0.00;99.85;89.86
13765760165819423709;TE 466;Ressler,Barbara Grace Hamer;52.94;23.53;17.65;5.88;0.00;91.88;82.35
14231532014478257463;TE 466;Shi,Quan;95.00;5.00;0.00;0.00;0.00;99.45;89.50
10267987565687232196;TE 466;McCord,Marian;81.33;16.00;2.67;0.00;0.00;97.68;87.87
3149731338979201129;TE 467;Hamouda,Hechmi;54.05;29.73;13.51;2.70;0.00;93.05;83.51
1749346646474046297;TE 505;Jasper,Warren J;66.67;33.33;0.00;0.00;0.00;96.33;86.67
5413269332135005010;TE 533;Jasper,Warren J;62.96;37.04;0.00;0.00;0.00;95.93;86.30
10566039387910497500;TE 533;Godfrey,A. Blanton;77.01;22.99;0.00;0.00;0.00;97.47;87.70
5916924211624910067;TE 533;Blessinger,Jeff Scott;70.83;29.17;0.00;0.00;0.00;96.79;87.08
17332564785111559847;TE 540;Zhu,Mengmeng;58.82;41.18;0.00;0.00;0.00;95.47;85.88
8254174586561063991;TE 540;Joines,Jeff;93.10;6.90;0.00;0.00;0.00;99.24;89.31
6186212764721376410;TE 547;Zhu,Mengmeng;40.00;40.00;20.00;0.00;0.00;91.40;82.00
3717728727195357095;TE 550;Barker,Roger L.;95.45;4.55;0.00;0.00;0.00;99.50;89.55
4866747516421208291;TE 551;DenHartog,Emiel A;89.29;10.71;0.00;0.00;0.00;98.82;88.93
1512945676507411071;TE 560;Ford,Ericka N;46.67;53.33;0.00;0.00;0.00;94.13;84.67
9523662866691156165;TE 560;Shim,Eunkyoung;40.00;60.00;0.00;0.00;0.00;93.40;84.00
11756194156268510154;TE 561;DenHartog,Emiel A;84.21;15.79;0.00;0.00;0.00;98.26;88.42
15287342374544590501;TE 562;Zhu,Mengmeng;60.00;40.00;0.00;0.00;0.00;95.60;86.00
18376296149899945048;TE 562;Joines,Jeff;84.21;15.79;0.00;0.00;0.00;98.26;88.42
14005797599003867962;TE 565;Bradford,Philip David;58.82;38.24;2.94;0.00;0.00;95.18;85.59
4581483102376329644;TE 565;Zhang,Xiangwu;54.55;41.82;3.64;0.00;0.00;94.64;85.09
11946494206034699062;TE 566;Krause,Wendy E.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12713285687820291562;TE 566;Gluck,Jessica;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9886287186459578350;TE 566;Ressler,Barbara Grace Hamer;66.67;33.33;0.00;0.00;0.00;96.33;86.67
2725235895395137982;TE 566;Shi,Quan;80.00;13.33;6.67;0.00;0.00;97.13;87.33
3959900635765552038;TE 566;McCord,Marian;94.12;5.88;0.00;0.00;0.00;99.35;89.41
10628923167318439068;TE 570;Zhang,Xiangwu;83.33;12.50;4.17;0.00;0.00;97.75;87.92
3491974319808007049;TE 575;Bradford,Philip David;50.00;31.25;18.75;0.00;0.00;92.63;83.13
15680016828601796832;TE 589;Fang,Xiaomeng;55.00;40.00;5.00;0.00;0.00;94.55;85.00
6174096085921771391;TE 589;Hodge,George L;85.71;14.29;0.00;0.00;0.00;98.43;88.57
12342173283208502170;TE 589;Ormond,R. Bryan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5074327986702270588;TE 589;Bradford,Philip David;81.63;16.33;2.04;0.00;0.00;97.78;87.96
14347570398119945064;TE 589;Shim,Eunkyoung;62.50;29.17;8.33;0.00;0.00;95.04;85.42
12927262334787689384;TE 589;Zhu,Mengmeng;84.62;15.38;0.00;0.00;0.00;98.31;88.46
8946911236438075147;TE 589;Jur,Jesse Stephen;85.37;14.63;0.00;0.00;0.00;98.39;88.54
4934739808676890576;TE 589;Joines,Jeff;51.72;48.28;0.00;0.00;0.00;94.69;85.17
3654583322571287726;TE 589;Pasquinelli,Melissa;76.92;23.08;0.00;0.00;0.00;97.46;87.69
16385461646676381148;TE 589;DenHartog,Emiel A;58.33;33.33;8.33;0.00;0.00;94.58;85.00
9421150901144991535;TE 589;Barker,Roger L.;77.42;22.58;0.00;0.00;0.00;97.52;87.74
8879149903342506328;TE 589;Krause,Wendy E.;82.86;14.29;0.00;2.86;0.00;97.54;87.71
2867640209109329415;TE 589;Zhang,Xiangwu;85.71;14.29;0.00;0.00;0.00;98.43;88.57
9340524898721612974;TE 589;McCord,Marian;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5304808020517680693;TE 589B;Clapp,Timothy Gladstone;87.18;12.82;0.00;0.00;0.00;98.59;88.72
12171986110298922970;TE 589W;Krause,Wendy E.;86.67;6.67;6.67;0.00;0.00;97.87;88.00
7627240423395630300;TE 601;Leonas,Karen K.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13690942385823648620;TE 601;Mathur,Kavita;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4430789016998662150;TE 601;Godfrey,A. Blanton;0.00;0.00;0.00;0.00;0.00;0.00;0.00
555521891831935341;TE 601;Yin,Rong;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11422840507602093314;TE 601;Fang,Xiaomeng;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2250893561753710340;TE 601;Tonelli,Alan E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2064841651829702673;TE 601;Little,Trevor J.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1768203326129689798;TE 601;Jin,Byoungho Ellie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2469545441060194953;TE 601;Shim,Eunkyoung;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9959812556024780324;TE 601;Rothenberg,Lori Fay;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13776383822862793604;TE 601;Gao,Wei;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15448701624420732034;TE 601;Hergeth,Helmut H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4446151794449830638;TE 601;Suh,Moon Won;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10572635075002256529;TE 601;Zhang,Xiangwu;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9773713112183176051;TE 601;Hinks,David;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9915844171088934495;TE 601;Lamar,Traci Ann May;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15775111298928758234;TE 630;DenHartog,Emiel A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17488040175119402839;TE 630;Joines,Jeff;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14701628751105634118;TE 630;Gao,Wei;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17121142024008986368;TE 630;Hodge,George L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6397077166296540161;TE 630;King,Martin William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11766090694224106162;TE 630;Yin,Rong;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11970187495369447368;TE 630;Shim,Eunkyoung;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4130352912644903136;TE 630;Bradford,Philip David;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17189162012756518037;TE 630;Jur,Jesse Stephen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11592408726716345041;TE 630;Ormond,R. Bryan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16542449529188298841;TE 630;Ghosh,Tushar K.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13076687655303429048;TE 630;Zhang,Xiangwu;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17498576609841400616;TE 695;King,Martin William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10694629075370301000;TE 695;Seyam,Abdel-Fattah Mohamed;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15476983113075322792;TE 695;Ghosh,Tushar K.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10343253321579657714;TE 695;Barker,Roger L.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
