Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
4729167047717360213;TED 101;Ernst,Jeremy Vaughn;45.45;27.27;12.12;0.00;15.15;88.24;78.79
18114258964031089084;TED 110;Thompson,Timothy Brandon;47.37;21.05;15.79;10.53;5.26;88.95;79.47
15798032556458256640;TED 110;Johnson,Daryl E;89.47;0.00;0.00;0.00;10.53;95.68;85.79
14024879443469800361;TED 161;Walton,Matthew D;78.95;21.05;0.00;0.00;0.00;97.68;87.89
530782014712378689;TED 207;Busby,Joe R;81.82;9.09;0.00;0.00;9.09;95.27;85.45
10526373986419731475;TED 221;Johnson,Daryl E;95.45;0.00;0.00;0.00;4.55;98.14;88.18
17100604182978918236;TED 261;Ernst,Jeremy Vaughn;71.43;19.05;0.00;0.00;9.52;94.00;84.29
13711722754047363297;TED 261;Walton,Matthew D;55.56;33.33;5.56;0.00;5.56;92.89;83.33
9719182034298060799;TED 384;Varnado,Terri E;84.21;5.26;5.26;0.00;5.26;96.16;86.32
13774318931751772533;TED 384;Thompson,Timothy Brandon;35.29;23.53;29.41;0.00;11.76;86.41;77.06
6286015368391867189;TED 407;Busby,Joe R;88.24;11.76;0.00;0.00;0.00;98.71;88.82
11675634002981737014;TED 452;Busby,Joe R;78.57;21.43;0.00;0.00;0.00;97.64;87.86
12402533856121042057;TED 495;Haynie III,William J;60.00;40.00;0.00;0.00;0.00;95.60;86.00
17808064135648955326;TED 530;Jones,Tamecia R.;82.14;14.29;0.00;0.00;3.57;96.96;87.14
15933901044077288391;TED 530;Clark,Aaron Catron;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6460400450130700129;TED 530;DeLuca,V. William;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13999919129336413655;TED 532;Clark,Aaron Catron;85.71;14.29;0.00;0.00;0.00;98.43;88.57
12122224493793137873;TED 534;Jones,Tamecia R.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4747696378953947605;TED 534;Branoff,Theodore J;76.92;23.08;0.00;0.00;0.00;97.46;87.69
5134960498479012246;TED 551;Denson,Cameron DeLeon;95.00;5.00;0.00;0.00;0.00;99.45;89.50
12182969568245157372;TED 551;DeLuca,V. William;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1094730338919755074;TED 552;Jones,Tamecia R.;66.67;14.29;14.29;0.00;4.76;93.48;83.81
7496438952187854128;TED 552;Sutton,Kevin Gregory;80.00;20.00;0.00;0.00;0.00;97.80;88.00
13274053199665974398;TED 552;Denson,Cameron DeLeon;75.00;25.00;0.00;0.00;0.00;97.25;87.50
8605395541938171186;TED 552;Varnado,Terri E;80.00;13.33;0.00;0.00;6.67;95.80;86.00
10140565137334903054;TED 555;Denson,Cameron DeLeon;95.24;4.76;0.00;0.00;0.00;99.48;89.52
17050449630881653690;TED 555;Lammi,Matthew Daven;70.59;23.53;0.00;0.00;5.88;95.00;85.29
9687196506886320493;TED 555;Ernst,Jeremy Vaughn;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1402426268793513096;TED 555;DeLuca,V. William;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2408378424885568350;TED 556;Sutton,Kevin Gregory;92.31;7.69;0.00;0.00;0.00;99.15;89.23
13925015436250233232;TED 556;Haynie III,William J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17449995805251309306;TED 558;Denson,Cameron DeLeon;76.92;11.54;3.85;3.85;3.85;95.15;85.38
18064204748377175702;TED 558;Varnado,Terri E;71.43;28.57;0.00;0.00;0.00;96.86;87.14
7925343396427013041;TED 558;DeLuca,V. William;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7647541620861658477;TED 610;DeLuca,V. William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8087127485759527496;TED 621;Buelin-Biesecker,Jennifer Katherine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1964529471624656173;TED 621;Ernst,Jeremy Vaughn;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9944858870868059478;TED 621;Clark,Aaron Catron;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1506484171190987790;TED 751;Denson,Cameron DeLeon;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17624586598617081672;TED 752;Jones,Tamecia R.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9125322918143994571;TED 752;Sutton,Kevin Gregory;66.67;16.67;16.67;0.00;0.00;94.67;85.00
8910706793867485830;TED 752;Varnado,Terri E;80.00;20.00;0.00;0.00;0.00;97.80;88.00
9876298378353945264;TED 755;Ernst,Jeremy Vaughn;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17028477486543113594;TED 756;Denson,Cameron DeLeon;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15391639078388852602;TED 756;Clark,Aaron Catron;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2093745129996226339;TED 757;Jones,Tamecia R.;93.75;6.25;0.00;0.00;0.00;99.31;89.38
12207681823331220500;TED 757;Clark,Aaron Catron;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9789314679041594168;TED 758;Denson,Cameron DeLeon;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14876375653207940267;TED 895;Denson,Cameron DeLeon;0.00;0.00;0.00;0.00;0.00;0.00;0.00
492511386615538105;TED 895;Clark,Aaron Catron;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14504335616528524183;TED 895;Branoff,Theodore J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8699884807142747315;TED 899;Denson,Cameron DeLeon;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15836146433336895459;TED 899;Clark,Aaron Catron;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1953139026786309227;TED 899;DeLuca,V. William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
