Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2200319992623773695;THE 103;Jackson,Danica Jenelle;84.21;12.28;3.51;0.00;0.00;97.91;88.07
17066037774564605955;THE 103;Frazier,John n;69.23;23.08;3.85;0.00;3.85;95.08;85.38
4193197353470230605;THE 103;Self,Mia L;96.25;3.75;0.00;0.00;0.00;99.59;89.63
934714098074180965;THE 103;Jones,Lormarev;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18144327800171616810;THE 103;Klem,Rachel A;83.13;10.84;4.82;0.00;1.20;97.30;87.47
16734353212911424987;THE 103;Dougan,Kyle Andrew;93.59;3.85;1.28;0.00;1.28;98.78;88.85
13436586782536743081;THE 203;Jackson,Danica Jenelle;91.30;6.52;2.17;0.00;0.00;98.83;88.91
12830961353555512581;THE 203;Self,Mia L;95.45;2.27;0.00;0.00;2.27;98.82;88.86
18030233137939757375;THE 203;Klem,Rachel A;82.22;8.89;8.89;0.00;0.00;97.16;87.33
5078947558243858441;THE 203;Bergman,Allison H;94.44;5.56;0.00;0.00;0.00;99.39;89.44
15937409852492564223;THE 223;Mellema,Jayme Scott;79.59;16.33;2.04;2.04;0.00;97.14;87.35
17868196758341973301;THE 223;Self,Mia L;50.00;38.89;5.56;0.00;5.56;92.28;82.78
15740786428449673856;THE 223;Reaves,Joshua Anthony;79.41;11.76;5.88;2.94;0.00;96.56;86.76
8915502300476949590;THE 233;Reaves,Joshua Anthony;90.00;10.00;0.00;0.00;0.00;98.90;89.00
10635221905856559364;THE 234;McIlwee I,John Clinton;89.74;10.26;0.00;0.00;0.00;98.87;88.97
4480431806643871809;THE 234;Parker,Laura Jane;80.77;15.38;3.85;0.00;0.00;97.50;87.69
3317150904324943599;THE 234;Rossi,Emily Jean;61.54;30.77;7.69;0.00;0.00;95.00;85.38
7433584759234010051;THE 303;Self,Mia L;92.68;4.88;0.00;0.00;2.44;98.46;88.54
7911674065323413972;THE 303;Bergman,Allison H;77.78;14.81;3.70;3.70;0.00;96.44;86.67
5982475656833564443;THE 323;Mellema,Jayme Scott;70.00;20.00;0.00;10.00;0.00;94.70;85.00
1745690223795276076;THE 334;Jackson,Danica Jenelle;80.00;11.43;0.00;8.57;0.00;96.09;86.29
6402011410039027384;THE 334;Klem,Rachel A;69.77;25.58;2.33;2.33;0.00;95.98;86.28
15690076433979222071;THE 334;Bergman,Allison H;92.31;7.69;0.00;0.00;0.00;99.15;89.23
6631458930962751962;THE 340;Smith,Phillip;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1944253197092464109;THE 340;Jones,Lormarev;66.67;22.22;11.11;0.00;0.00;95.22;85.56
15908157001950300856;THE 352;McIlwee I,John Clinton;96.97;3.03;0.00;0.00;0.00;99.67;89.70
18054328328365825331;THE 353;Mellema,Jayme Scott;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9015082206297757569;THE 363;Klem,Rachel A;85.00;0.00;15.00;0.00;0.00;96.85;87.00
15064111241167446096;THE 398;Jones,Lormarev;61.11;27.78;5.56;0.00;5.56;93.50;83.89
17254579871276816033;THE 398;Parker,Laura Jane;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6110721464055505039;THE 398;Reaves,Joshua Anthony;76.19;9.52;14.29;0.00;0.00;95.95;86.19
17522690557891924127;THE 398;Dougan,Kyle Andrew;95.83;0.00;0.00;0.00;4.17;98.29;88.33
16496206829051552851;THE 398;Mellema,Jayme Scott;72.73;27.27;0.00;0.00;0.00;97.00;87.27
18294954136330705377;THE 398;Ralston,Victoria Neal;83.33;16.67;0.00;0.00;0.00;98.17;88.33
196480190919669894;THE 398;Rossi,Emily Jean;88.89;11.11;0.00;0.00;0.00;98.78;88.89
7010998604371225985;THE 433;Jackson,Danica Jenelle;80.00;13.33;6.67;0.00;0.00;97.13;87.33
