Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7240730964362087152;TMS 211;Girase,Arjunsing  ;72.60;21.63;3.37;0.48;1.92;95.98;86.25
2851218311791856910;TMS 211;Smith,Madilynn McCollum;64.47;28.95;6.58;0.00;0.00;95.43;85.79
2632237321962828599;TMS 211;Hamouda,Hechmi;46.31;34.98;6.90;2.96;8.87;90.15;80.69
17285492332713061040;TMS 211;Huang,Rong;70.00;20.00;10.00;0.00;0.00;95.70;86.00
6520140948368150159;TMS 211;Dunning,Shawn;65.96;29.79;4.26;0.00;0.00;95.83;86.17
7576855582809881290;TMS 211;Ford,Ericka N;45.67;44.71;7.69;0.96;0.96;92.77;83.32
1638754022798448659;TMS 211;Hossain,Md Milon;46.15;34.62;11.54;7.69;0.00;91.38;81.92
12421602841034103022;TMS 211;Fang,Xiaomeng;41.18;50.00;8.82;0.00;0.00;92.65;83.24
243553804070636625;TMS 211;Kwon,Cassandra;14.47;35.53;32.89;11.84;5.26;83.36;74.21
7339190512872937032;TMS 211;Hummel,Alexander;46.98;39.60;8.72;2.68;2.01;92.15;82.68
3108388104527934350;TMS 211;Rust,Jon P.;47.06;35.29;11.76;2.35;3.53;91.47;82.00
7841018745911102628;TMS 211;Barker,Roger L.;38.68;33.96;21.70;3.77;1.89;89.76;80.38
10991855259321001164;TMS 212;Fang,Xiaomeng;40.00;60.00;0.00;0.00;0.00;93.40;84.00
16583550630532510142;TMS 212;Hamouda,Hechmi;40.00;42.22;13.33;4.44;0.00;91.18;81.78
4850603213236485971;TMS 214;Hamouda,Hechmi;36.67;30.00;16.67;3.33;13.33;86.70;77.33
15854644841655902622;TMS 761;Gorga PhD,Russell E;56.00;42.00;2.00;0.00;0.00;94.96;85.40
229769123095301784;TMS 761;Gupta,Bhupender S.;57.58;39.39;0.00;0.00;3.03;94.42;84.85
2458572894069437832;TMS 762;Ford,Ericka N;90.38;9.62;0.00;0.00;0.00;98.94;89.04
4145462471732391375;TMS 762;Krause,Wendy E.;92.86;7.14;0.00;0.00;0.00;99.21;89.29
2620165641171404224;TMS 762;Michielsen,Stephen;55.84;40.26;1.30;0.00;2.60;94.23;84.68
3099737799363221424;TMS 762;Gupta,Bhupender S.;64.00;36.00;0.00;0.00;0.00;96.04;86.40
8906153296835427508;TMS 763;Gao,Wei;50.00;47.22;2.78;0.00;0.00;94.22;84.72
12453347404607060512;TMS 763;Jur,Jesse Stephen;53.06;44.90;2.04;0.00;0.00;94.63;85.10
