Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
14953119227236498956;TOX 201;Thompson,Elizabeth Ellen Anderson;71.20;20.89;6.33;0.63;0.95;95.79;86.08
5194628896532074855;TOX 201;Tsuji,Yoshiaki;49.16;32.66;14.14;3.37;0.67;92.12;82.63
1270226767161628462;TOX 201;LeBlanc PhD,Gerald Andre;58.76;30.93;10.31;0.00;0.00;94.43;84.85
7180383443853081328;TOX 201;McClellan-Green,Patricia Dayle;21.86;50.18;22.58;3.58;1.79;87.89;78.67
14360727209053985625;TOX 400;Thompson,Elizabeth Ellen Anderson;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11456983723526146506;TOX 401;Ninomiya-Tsuji,Jun;72.83;24.02;2.36;0.00;0.79;96.54;86.81
13949528139963377893;TOX 401;McCulloch,Scott David;65.14;32.11;2.75;0.00;0.00;95.89;86.24
6590846788993203611;TOX 401;Hofelt,Christopher Scott;58.59;35.16;3.13;0.00;3.13;94.20;84.61
15120159290723570750;TOX 415;Buchwalter,David;34.09;59.09;6.82;0.00;0.00;92.07;82.73
15613707986267492637;TOX 415;Thompson,Elizabeth Ellen Anderson;53.66;41.46;4.88;0.00;0.00;94.41;84.88
1508328625782176817;TOX 415;McCulloch,Scott David;42.34;51.35;5.41;0.00;0.90;92.85;83.42
7215595813455918199;TOX 415;Hofelt,Christopher Scott;55.29;36.47;5.88;0.00;2.35;93.79;84.24
12177316022847623829;TOX 501;McCulloch,Scott David;93.10;6.90;0.00;0.00;0.00;99.24;89.31
2661124564331365693;TOX 501;Hofelt,Christopher Scott;90.20;9.80;0.00;0.00;0.00;98.92;89.02
9836001969233714076;TOX 601;Hoppin,Jane A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11276584556311149183;TOX 601;Belcher,Scott M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1290681544468727094;TOX 601;Buchwalter,David;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2898114326402396803;TOX 601;Bonner,James C;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15686561020735130563;TOX 601;LeBlanc PhD,Gerald Andre;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1616903652018364820;TOX 701;Kullman,Seth William;64.10;33.33;0.00;2.56;0.00;95.54;85.90
10116767904083503227;TOX 701;Tsuji,Yoshiaki;61.54;38.46;0.00;0.00;0.00;95.77;86.15
10719890479105436760;TOX 701;Cowley,Michael Anthony;44.83;44.83;6.90;0.00;3.45;92.21;82.76
15861624836431027901;TOX 701;McCulloch,Scott David;50.00;37.50;12.50;0.00;0.00;93.25;83.75
5162771724138088554;TOX 701;Bonner,James C;60.00;40.00;0.00;0.00;0.00;95.60;86.00
6201818741931020540;TOX 704;Baynes,Ronald E;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6195099668172761963;TOX 710;Tsuji,Yoshiaki;90.00;10.00;0.00;0.00;0.00;98.90;89.00
2983158871516506692;TOX 710;Wallace,Andrew Daniel;40.74;51.85;7.41;0.00;0.00;92.74;83.33
16263415202577132583;TOX 715;Buchwalter,David;48.00;52.00;0.00;0.00;0.00;94.28;84.80
12017119003825095495;TOX 715;Hyman,Michael;65.22;34.78;0.00;0.00;0.00;96.17;86.52
1635142584379103637;TOX 771;Horowitz,Jonathan M;33.33;66.67;0.00;0.00;0.00;92.67;83.33
188562788289186608;TOX 801;Hoyo,Cathrine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8529453225295011876;TOX 801;Planchart,Antonio;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12196171157232219967;TOX 801;Cowley,Michael Anthony;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8559206099759889949;TOX 801;Bonner,James C;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4576478552354174501;TOX 801;Aylor,David Lawrence;0.00;0.00;0.00;0.00;0.00;0.00;0.00
323038004221450380;TOX 801;Gaddameedhi,Shobhan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9953786832891898258;TOX 801;Hoppin,Jane A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13136437503210349633;TOX 801;Smart,Robert Charles;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5638479475997326157;TOX 801;Belcher,Scott M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16927897614827967037;TOX 801;LeBlanc PhD,Gerald Andre;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3596293255354987721;TOX 801;Ninomiya-Tsuji,Jun;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9541521334232449346;TOX 801;Buchwalter,David;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16134111621428811512;TOX 801;Tsuji,Yoshiaki;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4436745561176435006;TOX 801;Mattingly,Carolyn Jane;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2022411466224872832;TOX 801;McClellan-Green,Patricia Dayle;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17140489277256949307;TOX 801;McCulloch,Scott David;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10064576787492304946;TOX 801;Kullman,Seth William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13039280975788138724;TOX 801;Wallace,Andrew Daniel;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4495612972904883731;TOX 801;Cope,William Gregory;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4666096843309596906;TOX 820;Kullman,Seth William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13618996089173453790;TOX 820;Bonner,James C;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13121701567038448091;TOX 820;Duque-Wilckens,Natalia;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9657922662383229468;TOX 820;Hall,Jonathan Russell;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3845317184819667204;TOX 820;Cowley,Michael Anthony;0.00;0.00;0.00;0.00;0.00;0.00;0.00
912717347022917895;TOX 820;Rissman,Emilie Francesca;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16619006800911425472;TOX 820;Smart,Robert Charles;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10392542734088371836;TOX 820;LeBlanc PhD,Gerald Andre;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10885730684006815330;TOX 820;Hofelt,Christopher Scott;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11209731427995751662;TOX 893;Bonner,James C;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7982536559916649414;TOX 895;Planchart,Antonio;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4318024487973926429;TOX 895;Yoder,Jeff;0.00;0.00;0.00;0.00;0.00;0.00;0.00
