Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15063272121885134614;TT 105;Mathur,Kavita;52.46;38.38;7.39;1.06;0.70;93.61;84.08
9518014013726519883;TT 105;Kasebi,Arash  ;78.31;18.07;1.20;1.20;1.20;96.89;87.11
9671202924083128590;TT 105;King,Martin William;33.07;47.24;14.96;4.72;0.00;90.20;80.87
4326537245037459955;TT 105;Khodadadi Khorzoughi,Mahtab;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5636322150242740345;TT 105;Zha,Daxian;66.67;17.95;5.13;7.69;2.56;93.51;83.85
9476631218395792617;TT 105;Ghosh,Tushar K.;40.00;47.78;8.89;1.11;2.22;91.62;82.22
2261012401494845240;TT 105;Fang,Xiaomeng;51.85;29.63;18.52;0.00;0.00;92.85;83.33
5704172454290916621;TT 105;Michielsen,Stephen;49.18;47.54;3.28;0.00;0.00;94.08;84.59
5854709679514288808;TT 105;Watson,James (Jim) F.;61.90;31.22;5.29;1.59;0.00;94.96;85.34
6179926400441465051;TT 105;Cong,Hui  ;39.44;42.25;8.45;4.23;5.63;89.96;80.56
3474229445689512412;TT 105;Chapman,Lisa P;76.85;21.30;1.85;0.00;0.00;97.27;87.50
7545338521342963329;TT 105;Vallabh,Rahul;54.78;31.30;11.30;1.74;0.87;93.29;83.74
13922479923013609110;TT 105;Seyam,Abdel-Fattah Mohamed;62.50;35.42;2.08;0.00;0.00;95.67;86.04
12224782935890904872;TT 105;Lee,Hoon Joo;68.32;29.70;1.98;0.00;0.00;96.32;86.63
17511165516503923645;TT 105;Lamar,Traci Ann May;84.62;15.38;0.00;0.00;0.00;98.31;88.46
4884776287405611451;TT 105;Cagle,Christine M;69.23;30.77;0.00;0.00;0.00;96.62;86.92
4906749801662920669;TT 105;Smith,Gary W.;86.67;11.11;0.00;0.00;2.22;97.87;88.00
6665234275497655940;TT 221;Banks-Lee,Pamela;33.33;28.69;25.74;8.86;3.38;87.31;77.97
13097912257290677091;TT 252;Seyam,Abdel-Fattah Mohamed;42.36;32.02;19.21;3.94;2.46;90.21;80.79
1050162014710397031;TT 252;Mathur,Kavita;54.41;27.94;14.71;2.94;0.00;92.93;83.38
128444043671815155;TT 252;Claunch,Betsy Carson;28.57;35.71;28.57;0.00;7.14;87.14;77.86
5747927189462986001;TT 252;Smith,Gary W.;38.46;46.15;7.69;4.62;3.08;90.62;81.23
