Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2520242611763003276;TTM 106;Li,Ang;30.59;37.90;22.37;8.68;0.46;88.26;78.95
2549547964349395838;TTM 106;Seyam,Abdel-Fattah Mohamed;53.19;31.91;9.57;4.26;1.06;92.72;83.19
15248215637429224434;TTM 106;Vallabh,Rahul;64.86;29.73;2.70;2.70;0.00;95.32;85.68
3158621395150232879;TTM 106;Eldeeb,Hadir  ;91.67;8.33;0.00;0.00;0.00;99.08;89.17
8461214692788632247;TTM 501;Hodge,George L;77.50;22.50;0.00;0.00;0.00;97.53;87.75
9780775533711085666;TTM 508;Leonas,Karen K.;88.24;11.76;0.00;0.00;0.00;98.71;88.82
17744974007738886245;TTM 510;Suh,Minyoung;44.44;44.44;11.11;0.00;0.00;92.78;83.33
390483481865721546;TTM 510;Annett-Hitchcock,Kate Emma;93.75;6.25;0.00;0.00;0.00;99.31;89.38
7609223367665383705;TTM 510;Little,Trevor J.;95.00;5.00;0.00;0.00;0.00;99.45;89.50
14839880845905491396;TTM 515;Suh,Minyoung;42.86;39.29;14.29;3.57;0.00;91.57;82.14
14363269272437664095;TTM 515;Annett-Hitchcock,Kate Emma;76.67;20.00;3.33;0.00;0.00;97.10;87.33
17709408556887161599;TTM 515;Istook,Cynthia L;75.00;25.00;0.00;0.00;0.00;97.25;87.50
3176391484834719110;TTM 517;Suh,Minyoung;55.17;34.48;10.34;0.00;0.00;94.03;84.48
11884602041948478465;TTM 517;Istook,Cynthia L;92.00;8.00;0.00;0.00;0.00;99.12;89.20
11109963981465757155;TTM 530;Suh,Moon Won;40.00;40.00;20.00;0.00;0.00;91.40;82.00
293403141189835389;TTM 533;Godfrey,A. Blanton;60.00;40.00;0.00;0.00;0.00;95.60;86.00
17066068004033177381;TTM 535;Grasso,Maureen;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1506298093441884321;TTM 535;Suh,Moon Won;83.33;16.67;0.00;0.00;0.00;98.17;88.33
6348491508430321033;TTM 545;West,Andre J;97.56;2.44;0.00;0.00;0.00;99.73;89.76
3662311967460398941;TTM 561;Hergeth,Helmut H;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6651580277619836136;TTM 573;Leonas,Karen K.;68.75;31.25;0.00;0.00;0.00;96.56;86.88
14855367042255302780;TTM 573;Powell,Nancy C.;44.44;40.74;14.81;0.00;0.00;92.41;82.96
12938875431696961129;TTM 580;Xu,Yingjiao;90.32;9.68;0.00;0.00;0.00;98.94;89.03
4783223270311059671;TTM 581;Carter,Lonny Langston;94.44;5.56;0.00;0.00;0.00;99.39;89.44
10685199465542066935;TTM 581;Rothenberg,Lori Fay;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9743250009744423563;TTM 581;Devine,Genessa Marie;41.67;41.67;16.67;0.00;0.00;91.92;82.50
1773422620643464399;TTM 581;Harazin,William Dennis;73.68;21.05;0.00;0.00;5.26;95.53;85.79
13403499854458153500;TTM 582;Matthews,Delisia;73.53;26.47;0.00;0.00;0.00;97.09;87.35
1075896697548489018;TTM 582;Andrews,John Fletcher;40.00;60.00;0.00;0.00;0.00;93.40;84.00
511847746985405775;TTM 582;Cassill,Nancy L;75.29;24.71;0.00;0.00;0.00;97.28;87.53
17116927094563176272;TTM 583;Williams,J'den;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14842836016038237202;TTM 583;Hergeth,Helmut H;90.32;9.68;0.00;0.00;0.00;98.94;89.03
4941606565242849217;TTM 583;Jones,Michelle R;95.65;4.35;0.00;0.00;0.00;99.52;89.57
9961075604793703540;TTM 585;Xu,Yingjiao;73.91;17.39;8.70;0.00;0.00;96.26;86.52
17150313842250866434;TTM 585;Jin,Byoungho Ellie;91.18;8.82;0.00;0.00;0.00;99.03;89.12
6866850832172546347;TTM 585;Moore,Marguerite Murray;92.11;7.89;0.00;0.00;0.00;99.13;89.21
13807136390952973763;TTM 587;Istook,Cynthia L;87.50;0.00;12.50;0.00;0.00;97.38;87.50
15795602565947305546;TTM 588;Harazin,William Dennis;67.50;32.50;0.00;0.00;0.00;96.43;86.75
12035288072746438404;TTM 591;Porterfield,Anne;92.86;7.14;0.00;0.00;0.00;99.21;89.29
16985773695514111246;TTM 591;Leonas,Karen K.;50.00;47.06;0.00;2.94;0.00;93.91;84.41
10843329795095494063;TTM 591;Barletta,Kristin Anne;90.48;9.52;0.00;0.00;0.00;98.95;89.05
13268461276769505174;TTM 591;Moore,Marguerite Murray;100.00;0.00;0.00;0.00;0.00;100.00;90.00
180264572123753581;TTM 591;Xu,Yingjiao;83.87;16.13;0.00;0.00;0.00;98.23;88.39
10041590657110972977;TTM 591;Istook,Cynthia L;70.00;20.00;10.00;0.00;0.00;95.70;86.00
2260362347597406696;TTM 591;Moore,Samuel Bascom;100.00;0.00;0.00;0.00;0.00;100.00;90.00
802845251322970219;TTM 591;Lee,Hoon Joo;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1665021576983362042;TTM 601;Leonas,Karen K.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16316199349495900884;TTM 601;Mathur,Kavita;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11168202963005073247;TTM 601;Fang,Xiaomeng;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6354944502869965112;TTM 601;Tonelli,Alan E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2736386652326682795;TTM 601;Little,Trevor J.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18278330772285494107;TTM 601;Shim,Eunkyoung;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3660386835077751153;TTM 601;Rothenberg,Lori Fay;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2770200048990439144;TTM 601;Gao,Wei;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17102775840093261204;TTM 601;Hergeth,Helmut H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2589536817116919643;TTM 601;Suh,Moon Won;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1197204836483509721;TTM 601;Zhang,Xiangwu;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7330248476079376978;TTM 601;Hinks,David;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11386425062672686253;TTM 601;Lamar,Traci Ann May;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6933920182078184153;TTM 630;Chapman,Lisa P;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11870528207575757162;TTM 630;West,Andre J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18320653992900296241;TTM 630;Xu,Yingjiao;0.00;0.00;0.00;0.00;0.00;0.00;0.00
672477087393623712;TTM 630;Moore,Marguerite Murray;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11548063622286354255;TTM 630;Little,Trevor J.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4467191922479772311;TTM 630;Powell,Erin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14131025577467882907;TTM 630;Lamar,Traci Ann May;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4074986280634849963;TTM 693;Hwang,Chanmi Gloria;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17984188005189799372;TTM 693;West,Andre J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14402384437585042541;TTM 693;Leonas,Karen K.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14658651760266582940;TTM 693;Annett-Hitchcock,Kate Emma;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1138112223469161835;TTM 693;Lamar,Traci Ann May;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11135874855930546082;TTM 693;Pourdeyhimi,Behnam;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9131443263750716008;TTM 693;Barletta,Kristin Anne;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1396839506126859637;TTM 695;Chapman,Lisa P;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3927394626178608864;TTM 695;Godfrey,A. Blanton;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5140388674479910242;TTM 695;Jin,Byoungho Ellie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7334087459602296686;TTM 695;Porterfield,Anne;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6126059901483104870;TTM 695;Leonas,Karen K.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11308969978792671999;TTM 695;Suh,Minyoung;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14548789762440753593;TTM 695;Annett-Hitchcock,Kate Emma;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8298566656301146736;TTM 695;Xu,Yingjiao;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4238430423998798624;TTM 695;Istook,Cynthia L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12662826372325228016;TTM 695;Oxenham,William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6562875079579936878;TTM 695;Hergeth,Helmut H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4271611416751850566;TTM 695;Little,Trevor J.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
850917968672079188;TTM 695;Seyam,Abdel-Fattah Mohamed;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2595725548096623294;TTM 710;Hergeth,Helmut H;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15592686979978389389;TTM 710;Leonas,Karen K.;68.89;31.11;0.00;0.00;0.00;96.58;86.89
4952831527624574763;TTM 731;Jin,Byoungho Ellie;86.67;13.33;0.00;0.00;0.00;98.53;88.67
8307381325694003096;TTM 731;Rothenberg,Lori Fay;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3275341733579918363;TTM 750;Mathur,Kavita;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9245706876006155749;TTM 750;Rust,Jon P.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16124167132530369899;TTM 761;Barletta,Kristin Anne;90.32;9.68;0.00;0.00;0.00;98.94;89.03
16461568110830678078;TTM 785;Moore,Marguerite Murray;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9634656093200126867;TTM 791;Yin,Rong;92.86;7.14;0.00;0.00;0.00;99.21;89.29
18032884136947410068;TTM 791;Jin,Byoungho Ellie;66.67;33.33;0.00;0.00;0.00;96.33;86.67
9186233806656753791;TTM 791;Moore,Marguerite Murray;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11497175668248511713;TTM 791;Leonas,Karen K.;80.77;19.23;0.00;0.00;0.00;97.88;88.08
2692037740591221218;TTM 791;Oxenham,William;95.65;4.35;0.00;0.00;0.00;99.52;89.57
8851741449680726715;TTM 791;Rothenberg,Lori Fay;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15796850133705043826;TTM 791;Seyam,Abdel-Fattah Mohamed;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7496268132702692919;TTM 791;Istook,Cynthia L;87.50;12.50;0.00;0.00;0.00;98.63;88.75
8499054147082267526;TTM 791;Suh,Moon Won;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4432675659187745399;TTM 791;Hergeth,Helmut H;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3104754154859776355;TTM 791;Baker Jr,Edward A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11800914804074021857;TTM 801;Leonas,Karen K.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10571645948615662552;TTM 801;Mathur,Kavita;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1178829305261803461;TTM 801;Godfrey,A. Blanton;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8290446907292436816;TTM 801;Fang,Xiaomeng;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14733494445633717929;TTM 801;Tonelli,Alan E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
750216687823111798;TTM 801;Little,Trevor J.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11851055533991621007;TTM 801;Jin,Byoungho Ellie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8878021947454339144;TTM 801;Shim,Eunkyoung;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9821917555807143800;TTM 801;Hergeth,Helmut H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2106054428870508175;TTM 801;Suh,Moon Won;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15309277547860946156;TTM 830;Xu,Yingjiao;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3377438033332013184;TTM 830;Law,Emily Candace;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7246823488626938076;TTM 830;Istook,Cynthia L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3477720024231658779;TTM 830;Chapman,Lisa P;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17990833210762314453;TTM 830;Oxenham,William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
