Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
12500029467106377850;USC 100;Purdy,Emily Rose;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10259362306668901074;USC 100;Stockdale,Christopher Graham;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4474080738828456646;USC 100;Rhodes,Ronnie;97.22;2.78;0.00;0.00;0.00;99.69;89.72
4124307528205499752;USC 100;Culley,Adam L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8983028848457692711;USC 100;Coombes,Michael Rhys;92.06;7.94;0.00;0.00;0.00;99.13;89.21
4938906774058147219;USC 100;Vazquez,Crystal;94.74;5.26;0.00;0.00;0.00;99.42;89.47
1499209891579397706;USC 100;Madrid,Liliana Abigail;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4100381646381852692;USC 100;Rodriguez,Aileen;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12219779458252043837;USC 100;Britt,Julianne Taylor;95.65;4.35;0.00;0.00;0.00;99.52;89.57
15207215358553099199;USC 100;Torres-Cervantes,Marcela Alejandra;89.74;5.13;2.56;2.56;0.00;98.10;88.21
16333242312148882722;USC 100;Young,Leah Nicole;75.86;17.24;0.00;3.45;3.45;95.62;85.86
1965093081059948288;USC 100;Patton,Anna L.;94.44;5.56;0.00;0.00;0.00;99.39;89.44
9309898272607159098;USC 100;Hill,Cameron Lathrop;96.30;3.70;0.00;0.00;0.00;99.59;89.63
18097731125831412344;USC 100;Wilson,Gregory Austin;97.44;2.56;0.00;0.00;0.00;99.72;89.74
8510560268843095869;USC 100;Keith,Preston Blair;100.00;0.00;0.00;0.00;0.00;100.00;90.00
377936957843545642;USC 100;Lawson,Julia Vaughan;90.91;9.09;0.00;0.00;0.00;99.00;89.09
2686711528281275397;USC 100;Agunbiade,Ayo Akin;85.71;14.29;0.00;0.00;0.00;98.43;88.57
8127807146655681612;USC 100;Anderson,Jill;66.67;33.33;0.00;0.00;0.00;96.33;86.67
16662146130329618005;USC 100;DeRousie PhD,Jason Charles;85.71;10.71;0.00;3.57;0.00;97.71;87.86
10572868717032637473;USC 100;Kirby,Barbara Malpiedi;95.45;4.55;0.00;0.00;0.00;99.50;89.55
2910735372921814726;USC 100;Hooper,Owen Blake;91.11;8.89;0.00;0.00;0.00;99.02;89.11
15525869424343520110;USC 100;Artis,Frankye B.;83.25;12.57;2.88;0.79;0.52;97.55;87.72
2169630811004461460;USC 100;Albidrez,Megan Christine;86.67;10.00;2.22;1.11;0.00;98.09;88.22
10051429760403488902;USC 101;Moore,Maddie;85.71;6.35;3.17;4.76;0.00;97.16;87.30
