Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6556959385344919354;VMB 900;Varner,Kelley;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15311495590146638787;VMB 900;Shin,Tiffany  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3738214527642135848;VMB 900;Posner,Lysa Pam;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3455032556856942311;VMB 901;Sherry,Barb;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15260400058859962729;VMB 909;Petrovitch,Nicholas Paul;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15683010743533083764;VMB 909;Robertson,Ian Douglas;28.13;50.63;17.50;3.75;0.00;89.59;80.31
15071209214563293470;VMB 911;Shin,Tiffany  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3625733560949059538;VMB 911;Gerard,Mathew P.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
290835824019868959;VMB 911;Walker,Christopher Scott;70.71;24.24;5.05;0.00;0.00;96.27;86.57
7740038237095307394;VMB 911;Duff,Lisa Corcoran;54.23;31.34;14.43;0.00;0.00;93.52;83.98
18386877988968827278;VMB 911;Hudson,Lola Carol;28.62;42.42;23.91;5.05;0.00;88.75;79.46
16213727517242113473;VMB 912;Shin,Tiffany  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12701559243792225525;VMB 912;Schoenfeld,Regina M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12749233056222006233;VMB 912;Tefft,Karen Michele;92.00;8.00;0.00;0.00;0.00;99.12;89.20
9456721885534565448;VMB 913;Stewart,Amy Stieler;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16330134678969223879;VMB 913;Posner,Lysa Pam;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4947760971984778231;VMB 913;Gadsby,John Evan;62.00;30.50;6.00;1.50;0.00;94.92;85.30
8199052550984327866;VMB 914;Sannes,Philip L.;68.34;26.63;5.03;0.00;0.00;96.02;86.33
12576867012858966596;VMB 920;Schoenfeld,Regina M;96.97;3.03;0.00;0.00;0.00;99.67;89.70
17932399338902437635;VMB 921;Gerard,Mathew P.;69.70;26.26;4.04;0.00;0.00;96.26;86.57
16192597934137709203;VMB 921;Barnes PhD,Jill A;45.42;44.75;9.15;0.68;0.00;92.95;83.49
8733301087460799539;VMB 921;Smallwood,James E.;31.17;48.05;20.78;0.00;0.00;90.35;81.04
16802088793360033726;VMB 922;Nascone-Yoder,Nanette M;66.54;29.04;4.41;0.00;0.00;95.88;86.21
6024637620375958848;VMB 923;Stewart,Amy Stieler;0.00;0.00;0.00;0.00;0.00;0.00;0.00
836680142987121424;VMB 923;Posner,Lysa Pam;29.00;60.00;11.00;0.00;0.00;91.09;81.80
13066047758791094;VMB 923;Gookin PhD,Jody L;48.05;29.87;22.08;0.00;0.00;92.08;82.60
14544044320168772884;VMB 930;Messenger,Kristen M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11620789134300379235;VMB 930;Briley,Jessica;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5892489982317875795;VMB 930;Bailey,Kate Medl;53.50;41.50;5.00;0.00;0.00;94.39;84.85
5137387298294919547;VMB 930;Posner,Lysa Pam;58.42;39.60;1.98;0.00;0.00;95.23;85.64
3850334202675780144;VMB 930;Swanson,Clifford Richard;46.38;47.83;5.43;0.36;0.00;93.49;84.02
8360437594664164754;VMB 931;Dorman,David C;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6120129570147647317;VMB 932;Lehman,Amy;0.00;0.00;0.00;0.00;0.00;0.00;0.00
384007699055403331;VMB 932;Schoenfeld,Regina M;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15365907168927161141;VMB 933;Messenger,Kristen M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16063091305056584451;VMB 933;Papich,Mark G;34.31;40.20;19.61;5.88;0.00;89.64;80.29
3713622406250527370;VMB 933;Baeumer,Wolfgang;55.56;34.34;10.10;0.00;0.00;94.10;84.55
16274775589274112636;VMB 933;Fleisher,Lloyd Norman;42.03;45.76;11.86;0.34;0.00;92.37;82.95
14736440704151247792;VMB 936;Nelson DVM,Nathan Carleton;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3353210763517080970;VMB 936;Seiler,Gabriela Silvia;33.33;54.46;11.88;0.33;0.00;91.41;82.08
15146429439672442364;VMB 943;Papich,Mark G;37.76;47.96;12.24;1.02;1.02;91.42;82.04
17608914315679917098;VMB 943;Messenger,Kristen M;48.04;39.22;11.76;0.98;0.00;92.91;83.43
17948049764371787361;VMB 943;Davidson,Gigi Anne;28.95;44.74;25.00;1.32;0.00;89.42;80.13
3430671043761197662;VMB 944;Dorman,David C;58.16;41.84;0.00;0.00;0.00;95.40;85.82
13651335961094576153;VMB 952;Mzyk,Danielle Alethea;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13125535533324818198;VMB 952;Schoenfeld,Regina M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7550048517257007410;VMB 954;Dorman,David C;57.25;41.30;1.45;0.00;0.00;95.15;85.58
12000070924257459081;VMB 960;Seiler,Gabriela Silvia;33.70;54.35;10.87;1.09;0.00;91.40;82.07
9943452631655675238;VMB 960;Thrall,Donald E.;28.76;55.75;15.49;0.00;0.00;90.62;81.33
12033104445052830160;VMB 961;Kedrowicz,April Ann;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1014968034770140430;VMB 964;Dorman,David C;58.67;37.24;4.08;0.00;0.00;95.05;85.46
17888451524955181805;VMB 965;Saker,Korinn Edna;88.17;9.68;1.08;1.08;0.00;98.38;88.49
12550037177494064933;VMB 976;Robertson,Ian Douglas;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11220917535407786033;VMB 976A;Brown Jr,James;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7372350128809774954;VMB 977;Campbell,Nigel B;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17259902244345182636;VMB 991;Gallenstein,Stacie Rae;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17637946000608687837;VMB 991;Smallwood,James E.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14474953724781738264;VMB 991;Dorman,David C;0.00;0.00;0.00;0.00;0.00;0.00;0.00
386195442865083296;VMB 991;Posner,Lysa Pam;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6631148107902886952;VMB 991;Sherry,Barb;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2117086577119873326;VMB 991;Balko,Julie A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15068045511613266772;VMB 991;Dekaney,Christopher Matthew;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17266252493798203276;VMB 991;Sannes,Philip L.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3248562865583835949;VMB 991;Bailey,Kate Medl;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10373206695086590567;VMB 991;Breen,Matthew;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3682623953107984957;VMB 991;Piedrahita,Jorge A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4674907756332870443;VMB 991;Khosla,Jyotsna;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15201706528562951427;VMB 991;Walker,Christopher Scott;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15787879382151096747;VMB 991;Saker,Korinn Edna;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17153523338140575739;VMB 991;Gerard,Mathew P.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
