Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
3971701994191197958;VMC 900;Dembek,Katarzyna;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16440386717358192736;VMC 900;Hepworth,Kate;78.57;21.43;0.00;0.00;0.00;97.64;87.86
16399108755180663891;VMC 900;Breuhaus,Babetta Ann;97.87;2.13;0.00;0.00;0.00;99.77;89.79
16629153813517714357;VMC 901;McCool,Katie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16359663245996852589;VMC 901;Vaden,Shelly L.;57.35;38.24;4.41;0.00;0.00;94.87;85.29
16720279814512715633;VMC 902;Birkenheuer,Adam Joseph;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9579546085345704546;VMC 903;Prange,Timo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9595664857146396821;VMC 904;Fogle,Callie Anne;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3956488902684706997;VMC 904;Lyle,Sara K;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17345523216054255537;VMC 905;Bizikova,Petra;74.42;23.26;2.33;0.00;0.00;96.95;87.21
15942799737661727883;VMC 906;Fogle,Callie Anne;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16512204722398453891;VMC 907;Olby,Natasha J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14471412182528744032;VMC 908;Mariani,Christopher L.;25.00;55.00;17.50;2.50;0.00;89.50;80.25
4302521878737631194;VMC 908;Davidson,Michael G.;54.55;39.39;6.06;0.00;0.00;94.39;84.85
11364000387561481604;VMC 908;Roe,Simon C;30.91;60.00;7.27;1.82;0.00;91.31;82.00
3073450969807796476;VMC 909;Wood,Rachael  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00
793805032005411548;VMC 909;Tefft,Karen Michele;97.83;2.17;0.00;0.00;0.00;99.76;89.78
12285994785866820352;VMC 909;Lunn,Katharine;98.18;1.82;0.00;0.00;0.00;99.80;89.82
284728701006370112;VMC 910;Snyder,Amy;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4535050444030602879;VMC 910;Fish,Richard E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
