Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6201075803452506098;VMP 401;Gimeno,Isabel M;81.33;13.33;4.00;1.33;0.00;97.28;87.47
14511732534931215183;VMP 401;Guy,James S.;72.22;27.78;0.00;0.00;0.00;96.94;87.22
7906884784687782379;VMP 401;Barnes,Harold J.;35.29;35.29;26.47;0.00;2.94;89.35;80.00
18164244918076821809;VMP 420;Almond,Glen William;61.72;34.14;4.14;0.00;0.00;95.38;85.76
13140596238178071527;VMP 420;Alley,Mark L;22.22;36.51;34.92;4.76;1.59;86.52;77.30
11596841824349162491;VMP 62;Carver,Donna K.;15.15;31.82;40.91;4.55;7.58;83.39;74.24
18388544435167089947;VMP 900;Stringer,Andrew Peter;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14663677581465382686;VMP 901;Halleran,Jennifer Lauren;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13681709196099704623;VMP 901;Foster,Derek M;65.52;34.48;0.00;0.00;0.00;96.21;86.55
5448645130931365336;VMP 901;Smith,Geof W;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10453753703978654832;VMP 904;Bonin Ferreira,Juliana;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7779131460737463708;VMP 906;Foster,Derek M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17168129840320953293;VMP 906;Vilar Silva,Thiago;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3219744399019313675;VMP 906;Dudley DVM,Harrison Blake;88.00;12.00;0.00;0.00;0.00;98.68;88.80
16670200346630342227;VMP 907;Hunt,Heather Rose Shive;74.77;25.23;0.00;0.00;0.00;97.22;87.48
10444721087266919090;VMP 908;Foster,Derek M;80.00;20.00;0.00;0.00;0.00;97.80;88.00
15270559642443092353;VMP 910;Sherry,Barb;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7340663733395490281;VMP 910;Kaeser,Tobias Ernst;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14355173286432152411;VMP 910;Fuller,Frederick Joseph;46.15;40.13;13.04;0.67;0.00;92.64;83.18
3369255452599383807;VMP 910;Orndorff,Paul E.;42.03;43.39;13.56;1.02;0.00;92.06;82.64
12015239732236894897;VMP 912;Levine,Jay F;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4484416267226446598;VMP 914;Orndorff,Paul E.;54.20;35.29;9.66;0.84;0.00;93.83;84.29
4632023142842563963;VMP 916;Van Dyke,Thomas R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1900168789229412980;VMP 916;Wages,Dennis P.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11296902063585162177;VMP 916;Anderson,Kevin L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6935923824715122178;VMP 920;Jacob,Megan E;77.78;22.22;0.00;0.00;0.00;97.56;87.78
5695432457555654669;VMP 920;Fuller,Frederick Joseph;32.77;50.34;16.22;0.68;0.00;90.85;81.52
13036137242471026720;VMP 921;Tonkonogy,Susan;89.90;10.10;0.00;0.00;0.00;98.89;88.99
474164983707223671;VMP 921;Fuller,Frederick Joseph;82.00;17.00;1.00;0.00;0.00;97.92;88.10
15388058216164483457;VMP 921;Tompkins,Mary B;80.61;19.39;0.00;0.00;0.00;97.87;88.06
13804137774252976778;VMP 922;Schoenfeld,Regina M;99.50;0.50;0.00;0.00;0.00;99.95;89.95
1764880755273208898;VMP 922;Levine,Jay F;92.93;7.07;0.00;0.00;0.00;99.22;89.29
1727249677363059317;VMP 924;Fuller,Frederick Joseph;41.20;44.64;14.16;0.00;0.00;92.12;82.70
5584214328769572559;VMP 925;Tompkins,Mary B;40.69;40.69;17.75;0.87;0.00;91.53;82.12
1349351225345057735;VMP 930;Flowers,James R;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17311880956628000372;VMP 930;Hammerberg,Bruce;56.66;39.93;3.41;0.00;0.00;94.89;85.32
5111639644707290132;VMP 931;Meritet,Danielle;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2373268118851154598;VMP 931;Law,Jerry M;36.91;47.65;14.09;1.34;0.00;91.38;82.01
8525595289300839697;VMP 931;Luff,Jennifer Ann;47.00;37.50;14.00;1.50;0.00;92.47;83.00
14882718164130973993;VMP 931;Cullen,John Michael;41.74;46.96;10.87;0.43;0.00;92.42;83.00
14715312046262136976;VMP 932;Hammerberg,Bruce;77.68;21.46;0.86;0.00;0.00;97.46;87.68
4773378676443974040;VMP 934;Meritet,Danielle;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16116406707095750814;VMP 934;Jacob,Megan E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3187296001767893589;VMP 934;Berglund,Alix Kay;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14865369495736301002;VMP 934;Borst,Luke B;97.47;2.53;0.00;0.00;0.00;99.72;89.75
18190479875489668881;VMP 936;King,Ailbhe Elizabeth;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6623880170312326199;VMP 936;Van Dyke,Thomas R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12307296537481206280;VMP 936;Wages,Dennis P.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18409508752196419565;VMP 941;Luff,Jennifer Ann;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5774760441244152264;VMP 941;Linder,Keith E;46.88;41.67;10.42;1.04;0.00;92.91;83.44
5144334596645591244;VMP 941;Cullen,John Michael;39.39;53.54;7.07;0.00;0.00;92.63;83.23
8293271434587681725;VMP 941;Meuten,Donald J.;36.02;38.98;21.19;3.81;0.00;90.08;80.72
15283180795519232836;VMP 942;Stowe,Devorah Ann Marks;30.00;46.00;22.00;2.00;0.00;89.70;80.40
17516698119555665028;VMP 942;Neel,Jennifer A;54.64;22.68;19.59;3.09;0.00;92.43;82.89
17278988482937473397;VMP 942;Grindem,Carol B.;29.35;42.66;26.62;1.37;0.00;89.29;80.00
12977252900341408394;VMP 945;Rhea,Sarah;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15498916961555174431;VMP 945;Stringer,Andrew Peter;97.96;2.04;0.00;0.00;0.00;99.78;89.80
13321500340708255462;VMP 945;Cray,Paula J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3874970647947958693;VMP 945;Correa-Gutierrez,Maria Teresa;88.66;11.34;0.00;0.00;0.00;98.75;88.87
2707108270497686540;VMP 945;Cowen,Peter;67.11;31.88;1.01;0.00;0.00;96.28;86.61
5146209678828767326;VMP 951;Whitacre,Michael David;26.35;56.08;16.89;0.68;0.00;90.07;80.81
8857153976898811910;VMP 951;Farin,Peter W;22.78;50.63;25.32;1.27;0.00;88.72;79.49
16595402829151907348;VMP 956;King,Ailbhe Elizabeth;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14760628565159754627;VMP 956;Van Dyke,Thomas R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5017365042965064423;VMP 956;Wages,Dennis P.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12241853411470235267;VMP 958;Cowen,Peter;96.90;3.10;0.00;0.00;0.00;99.66;89.69
11625324804124619122;VMP 962;Foster,Derek M;32.26;54.84;12.90;0.00;0.00;91.26;81.94
371745678224663447;VMP 962;Smith,Geof W;39.00;40.00;19.00;2.00;0.00;90.99;81.60
15321414193500310091;VMP 962;Anderson,Kevin L;25.81;48.39;24.52;1.29;0.00;89.13;79.87
13944099401950867964;VMP 964;Almond,Glen William;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3928001942973833449;VMP 964;Crespo,Rocio;97.83;2.17;0.00;0.00;0.00;99.76;89.78
11780350319569068923;VMP 964;Guy,James S.;69.50;30.00;0.50;0.00;0.00;96.60;86.90
1683126021635122264;VMP 964;Martin,Michael;91.67;8.33;0.00;0.00;0.00;99.08;89.17
3598826066224448431;VMP 964;Ley,David H.;92.42;7.58;0.00;0.00;0.00;99.17;89.24
10068389946818305628;VMP 964;Moeser,Adam James;96.20;3.80;0.00;0.00;0.00;99.58;89.62
