Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1598057910941145748;WGS 200;Graham,Frances D;90.91;5.19;3.90;0.00;0.00;98.61;88.70
8912961950418214365;WGS 200;Gelfand,Rachel;86.79;10.38;1.89;0.00;0.94;98.08;88.21
13958542943376912540;WGS 200;Bullock Brown,Natalie;95.05;2.97;0.00;0.99;0.99;98.96;89.01
13820723608956136028;WGS 200;Nelson,Elizabeth Atwood;79.37;12.70;1.59;0.00;6.35;95.67;85.87
4441824019196669602;WGS 200;Sibley,Patsy Anne;64.38;24.66;8.22;1.37;1.37;94.58;84.93
8892550211933243297;WGS 200;Simons-Rudolph,Ashley Paige;68.04;17.53;7.22;2.06;5.15;93.80;84.12
17387056181704951477;WGS 200;Guinness,Katherine Hunt;73.47;22.45;0.00;2.04;2.04;96.06;86.33
7556778649050114285;WGS 200;Lewald,Carol Ann;56.86;39.22;3.92;0.00;0.00;94.86;85.29
5865858110899036548;WGS 200;Martin-Hondros,Emily Caroline;62.11;25.26;8.42;1.05;3.16;93.83;84.21
8643435115038137941;WGS 200;Hooker PhD,Deborah Anne;56.00;20.00;4.00;20.00;0.00;90.76;81.20
17885142965780617331;WGS 200;Zambreno,Katie Marie;70.00;23.33;0.00;6.67;0.00;95.37;85.67
18071449726174378996;WGS 200;Harwood,Karey Alison;41.27;50.79;7.94;0.00;0.00;92.75;83.33
2411931666074118146;WGS 210;Sibley,Patsy Anne;93.18;2.27;0.00;0.00;4.55;97.89;87.95
12970181606801391662;WGS 210;Taylor,SJ;97.73;1.14;0.00;1.14;0.00;99.52;89.55
12883538951769049071;WGS 210;Clayton,Robin;71.43;22.45;4.08;2.04;0.00;96.04;86.33
9469011781683199474;WGS 210;Grays,Shaefny;35.79;32.63;12.63;11.58;7.37;87.15;77.79
8639871450954706590;WGS 210;Simons-Rudolph,Ashley Paige;74.38;16.53;5.37;1.65;2.07;95.69;85.95
14298324255553135361;WGS 210;Murphy,Deena Michelle;56.86;26.96;10.29;1.96;3.92;92.66;83.09
14556408491638914238;WGS 210;Lewald,Carol Ann;45.45;43.94;10.61;0.00;0.00;92.94;83.48
8323018922891192961;WGS 210;Schneider,Jennifer Shields;68.00;30.00;2.00;0.00;0.00;96.28;86.60
14527912488635947128;WGS 215;Taylor,SJ;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6029984709334365427;WGS 220;Johnson,Corey;52.38;47.62;0.00;0.00;0.00;94.76;85.24
4565339163295632263;WGS 220;Nelson,Elizabeth Atwood;94.59;2.70;2.70;0.00;0.00;99.14;89.19
3647068637515959485;WGS 220;Simons-Rudolph,Ashley Paige;63.64;22.73;4.55;0.00;9.09;92.82;83.18
5989527296045791409;WGS 220;McGresham,Otis Kinard;60.78;23.53;9.80;3.92;1.96;93.33;83.73
2205610199256113311;WGS 224;Bennett,Barbara A;70.45;25.00;2.27;0.00;2.27;95.84;86.14
2939971172974443064;WGS 224;Provolt,Nancy Linda;78.08;13.70;4.11;1.37;2.74;96.08;86.30
17146962282348394905;WGS 293;Nelson,Elizabeth Atwood;87.50;7.50;0.00;0.00;5.00;97.13;87.25
2752697158936769260;WGS 293;Sibley,Patsy Anne;50.00;25.00;20.00;0.00;5.00;91.00;81.50
