Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5861854450952694286;WL 211;Call,Laura K;80.95;19.05;0.00;0.00;0.00;97.90;88.10
8851705572607866451;WL 216;Randriamiadana,Irina Arimanana;83.33;11.11;5.56;0.00;0.00;97.61;87.78
13712942412639412542;WL 216;Messiha,Inas Tawfik;57.14;23.81;19.05;0.00;0.00;93.38;83.81
10577964729726993158;WL 219;Isaacson,Nathaniel Kenneth;75.00;16.67;2.78;0.00;5.56;95.31;85.56
3533589625115050974;WL 219;Mody,Sujata S.;87.50;8.33;0.00;0.00;4.17;97.38;87.50
7240772680851108317;WL 219;Phukan,Nilakshi;63.33;33.33;3.33;0.00;0.00;95.63;86.00
4513856449529150194;WL 275;Lalo,Alexei;66.67;16.67;12.50;4.17;0.00;94.25;84.58
5808641436434553064;WL 295;Kim,Daniel Taesuk;62.07;27.59;10.34;0.00;0.00;94.79;85.17
5133877959039723727;WL 392;Jaimes,Hector A;95.00;5.00;0.00;0.00;0.00;99.45;89.50
8911374820449700931;WL 393;Mody,Sujata S.;84.21;15.79;0.00;0.00;0.00;98.26;88.42
196392851738903466;WL 395;Davisonova,Lenka;57.14;40.00;0.00;2.86;0.00;94.71;85.14
2191210723725768011;WL 495;Isaacson,Nathaniel Kenneth;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1734635217747115715;WL 495;Kim,Daniel Taesuk;45.45;45.45;9.09;0.00;0.00;93.09;83.64
186708332101590651;WL 507;Darhower,Mark Anthony;92.86;0.00;7.14;0.00;0.00;98.50;88.57
7016555115874488899;WL 527;Durham,Carmen;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3730026712622537810;WL 536;Turner,Alison M.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
