Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
12339729179413154271;WLFR 101;Morel,Katherine;71.88;25.00;3.13;0.00;0.00;96.59;86.88
8466521481189921263;WLFR 101;Call,Laura K;35.29;41.18;17.65;5.88;0.00;89.94;80.59
10534888428397637522;WLFR 102;Paul,Mary  ;54.55;40.91;0.00;0.00;4.55;93.64;84.09
3483832981596687869;WLFR 201;Lambert,Valerie Ann;55.00;35.00;10.00;0.00;0.00;94.05;84.50
15206264943641613399;WLFR 201;Morel,Katherine;83.33;16.67;0.00;0.00;0.00;98.17;88.33
14563040089689070357;WLFR 201;Fatnassi Nisetich,Miriam;55.17;44.83;0.00;0.00;0.00;95.07;85.52
1521229212497271705;WLFR 202;Morel,Katherine;96.43;3.57;0.00;0.00;0.00;99.61;89.64
13655385451723968884;WLFR 301;Kozhanova,Tatiana O;77.78;22.22;0.00;0.00;0.00;97.56;87.78
4973543750866710049;WLFR 308;Henneton,Diane;94.12;0.00;5.88;0.00;0.00;98.76;88.82
11294361439395537771;WLFR 309;Henneton,Diane;85.00;15.00;0.00;0.00;0.00;98.35;88.50
5318069126487291716;WLFR 315;Kozhanova,Tatiana O;80.00;5.00;5.00;0.00;10.00;94.30;84.50
2043197466654705905;WLFR 321;Kozhanova,Tatiana O;85.71;7.14;0.00;0.00;7.14;96.29;86.43
12337300126276993265;WLFR 492;Call,Laura K;72.73;27.27;0.00;0.00;0.00;97.00;87.27
16941730465562381896;WLFR 520;Randriamiadana,Irina Arimanana;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12211006600287035278;WLFR 595;Garval,Michael D;100.00;0.00;0.00;0.00;0.00;100.00;90.00
