Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
540847733085120738;WLJA 101;Sera,Wakako;70.00;0.00;0.00;10.00;20.00;88.70;79.00
12415758386721533773;WLJA 101;Ishikawa,Momoko;56.52;17.39;17.39;4.35;4.35;91.30;81.74
1943196809649999741;WLJA 102;Fujioka,Junko;20.00;40.00;40.00;0.00;0.00;87.20;78.00
13417660396629687365;WLJA 103;Kaneko,Mina;50.00;28.57;14.29;0.00;7.14;90.93;81.43
13773530396039408683;WLJA 103;Ishikawa,Momoko;56.25;6.25;18.75;6.25;12.50;88.31;78.75
798740315174060993;WLJA 104;Kaneko,Mina;20.00;40.00;40.00;0.00;0.00;87.20;78.00
6647090833899624204;WLJA 201;Fujioka,Junko;38.64;36.36;13.64;6.82;4.55;89.16;79.77
1518594938439961933;WLJA 203;Ha,Kyung Hee;42.86;37.14;11.43;8.57;0.00;90.86;81.43
9082637522935179179;WLJA 301;Ishikawa,Momoko;63.83;27.66;8.51;0.00;0.00;95.17;85.53
4129564577970185259;WLJA 351;Ha,Kyung Hee;75.00;21.43;3.57;0.00;0.00;96.89;87.14
5612904602998120994;WLJA 401;Sera,Wakako;50.00;21.43;28.57;0.00;0.00;91.64;82.14
