Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5130863347634464570;WLSP 101;Rowe,Sarah Chetty;80.43;15.22;2.17;0.00;2.17;96.98;87.17
6985990446113014088;WLSP 101;Dominguez Diaz,Carlos;69.70;21.21;9.09;0.00;0.00;95.76;86.06
9060400497242680654;WLSP 101;Peterson,Hannah Bollinger;57.14;28.57;2.86;5.71;5.71;92.14;82.57
13542500319617727206;WLSP 101;Dumaine,Bailey J Tarleton;78.79;15.15;3.03;3.03;0.00;96.76;86.97
10321067804871216758;WLSP 101;Horwitz,Alexandra  ;60.00;20.00;20.00;0.00;0.00;93.60;84.00
7938546589918472434;WLSP 101;Gee,Ally;54.55;18.18;9.09;0.00;18.18;88.64;79.09
9311012668165801715;WLSP 101;Despain,Jennifer Anne;11.76;11.76;17.65;23.53;35.29;73.24;64.12
11222410324792705591;WLSP 102;Bulla,Sara  ;79.07;16.28;4.65;0.00;0.00;97.23;87.44
5899812553014216016;WLSP 102;Akuffo,Jemmima Abena;41.67;44.44;5.56;5.56;2.78;91.08;81.67
13418921640365674064;WLSP 102;Conroy,Michael;84.78;15.22;0.00;0.00;0.00;98.33;88.48
17216178762669822613;WLSP 102;Brandt,Sarah  ;50.00;39.47;2.63;7.89;0.00;92.66;83.16
3524107001406303231;WLSP 105;Wright,A. Carolyn;12.50;75.00;0.00;12.50;0.00;87.88;78.75
11546506434342307149;WLSP 201;Delgadillo Flores,Stephany;40.00;33.33;20.00;0.00;6.67;89.40;80.00
11869953743151205046;WLSP 201;Widener-Reynolds,Jamey Lynn;39.53;51.16;9.30;0.00;0.00;92.42;83.02
17577590619290360317;WLSP 201;Kane,Deborah Truesdell;33.33;58.33;0.00;8.33;0.00;91.00;81.67
12564956187024704155;WLSP 201;Woodbridge,Marie Casado;72.73;18.18;9.09;0.00;0.00;96.09;86.36
13062740838431720144;WLSP 201;Rowe,Sarah Chetty;35.00;55.00;10.00;0.00;0.00;91.85;82.50
9620031088403482034;WLSP 201;Gray,Ana E;33.33;33.33;13.33;13.33;6.67;86.67;77.33
10375286710220072617;WLSP 201;Coachman,Karen;37.50;25.00;12.50;25.00;0.00;86.88;77.50
12004262517138716244;WLSP 201;Sotillo,Samuel;66.67;11.11;8.89;8.89;4.44;92.33;82.67
12497677138494203746;WLSP 202;Peterson,Hannah Bollinger;23.08;61.54;7.69;3.85;3.85;88.85;79.62
3322438655146487690;WLSP 202;Kane,Deborah Truesdell;63.64;27.27;9.09;0.00;0.00;95.09;85.45
110271058357845322;WLSP 202;Carson,Debbera Anne;37.50;54.17;8.33;0.00;0.00;92.29;82.92
10571672228081785226;WLSP 212;McConnell II,James David;30.77;46.15;7.69;15.38;0.00;88.54;79.23
3035274614009145931;WLSP 331;Dominguez Diaz,Carlos;83.33;11.11;0.00;5.56;0.00;97.06;87.22
1121726709456569578;WLSP 331;Carson,Debbera Anne;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16744479614641131331;WLSP 332;McConnell II,James David;78.13;15.63;3.13;0.00;3.13;96.34;86.56
1591413985658825986;WLSP 332;Lugo Velez,Monica Elena;94.44;0.00;5.56;0.00;0.00;98.83;88.89
1496502375992357588;WLSP 333;Ronquest,Rebecca Ellen;57.89;42.11;0.00;0.00;0.00;95.37;85.79
6201525867834385137;WLSP 333;Navarro,Inma;64.71;35.29;0.00;0.00;0.00;96.12;86.47
12118532295778913051;WLSP 335;Navarro,Inma;64.71;35.29;0.00;0.00;0.00;96.12;86.47
17674429624511389358;WLSP 340;Lugo Velez,Monica Elena;50.00;43.75;6.25;0.00;0.00;93.88;84.38
1259010015302065019;WLSP 340;Sotillo,Samuel;92.31;0.00;0.00;0.00;7.69;96.85;86.92
8461653498345661129;WLSP 360;Garrigan,Shelley E.;80.00;10.00;0.00;0.00;10.00;94.80;85.00
8652806151874438122;WLSP 502;Zahler,Sara Louise;90.00;10.00;0.00;0.00;0.00;98.90;89.00
2427710636324665243;WLSP 504;Michnowicz,Jim;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13799256568703816844;WLSP 520;Jaimes,Hector A;55.56;44.44;0.00;0.00;0.00;95.11;85.56
