Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15816869492947349744;WPS 201;Lemaster,Richard L;56.03;25.86;11.21;6.03;0.86;92.58;83.02
77879076890649269;WPS 201;Kelley,Stephen S;50.00;39.02;9.76;1.22;0.00;93.28;83.78
14796099946102334871;WPS 201;Byrd Jr,Medwick V;22.58;64.52;6.45;3.23;3.23;89.23;80.00
146246511913109777;WPS 202;Peszlen,Ilona Maria;46.83;29.37;14.29;5.56;3.97;90.42;80.95
10509228213518841038;WPS 203;Peralta,Perry;40.00;31.43;17.14;2.86;8.57;88.54;79.14
12222159172339270497;WPS 231;Lemaster,Richard L;62.86;28.57;2.86;5.71;0.00;94.49;84.86
17222741622648380310;WPS 232;Mitchell,Philip H;48.24;47.06;4.71;0.00;0.00;93.84;84.35
9285919279523687471;WPS 301;Tilotta,David C;40.00;40.00;12.00;8.00;0.00;90.60;81.20
14319820113548322620;WPS 301;Peralta,Perry;38.46;38.46;15.38;0.00;7.69;89.38;80.00
8250832993538857246;WPS 301;Kelley,Stephen S;20.00;50.00;30.00;0.00;0.00;88.20;79.00
3932683485558664799;WPS 302;Lemaster,Richard L;29.73;51.35;16.22;2.70;0.00;90.11;80.81
17638623980870532346;WPS 308;Saloni,Daniel Erique;45.71;31.43;14.29;2.86;5.71;90.31;80.86
15050477452415446265;WPS 332;Argyropoulos,Dimitris S;65.00;35.00;0.00;0.00;0.00;96.15;86.50
9206123067138213830;WPS 346;Dasmohapatra,Sudipta;29.17;70.83;0.00;0.00;0.00;92.21;82.92
8014341652641218112;WPS 360;Jameel,Hasan;47.62;47.62;4.76;0.00;0.00;93.76;84.29
3357293065807032547;WPS 371;Jameel,Hasan;55.17;41.38;3.45;0.00;0.00;94.72;85.17
3252062753172440299;WPS 416;Rojas,Orlando Jose;19.05;71.43;9.52;0.00;0.00;90.14;80.95
11026933625058389285;WPS 441;Peralta,Perry;24.14;41.38;17.24;10.34;6.90;85.79;76.55
1194514811730731768;WPS 444;Saloni,Daniel Erique;48.39;32.26;12.90;6.45;0.00;91.74;82.26
8308410578941591760;WPS 450;Denig,Joseph;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5622737979696084796;WPS 465;Pawlak,Joel Justin;65.22;26.09;4.35;0.00;4.35;94.43;84.78
17397066943977720513;WPS 472;Heitmann Jr,John A;69.57;30.43;0.00;0.00;0.00;96.65;86.96
6824031810632181537;WPS 483;Peszlen,Ilona Maria;87.50;12.50;0.00;0.00;0.00;98.63;88.75
12019014875946691211;WPS 491;Mitchell,Philip H;31.25;56.25;12.50;0.00;0.00;91.19;81.88
2744143410504425141;WPS 491;Saloni,Daniel Erique;92.41;6.33;0.00;0.00;1.27;98.78;88.86
14264432364096418105;WPS 491;Pal,Lokendra;39.39;53.03;7.58;0.00;0.00;92.58;83.18
3234182097364924875;WPS 491;Tilotta,David C;13.33;26.67;43.33;10.00;6.67;82.13;73.00
12574697220039112816;WPS 491;Byrd Jr,Medwick V;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14252430616922931966;WPS 491;Dasmohapatra,Sudipta;54.55;45.45;0.00;0.00;0.00;95.00;85.45
11288671408784620482;WPS 491;Phillips,Richard Busbee;13.64;43.18;27.27;11.36;4.55;84.14;75.00
12842095586172942736;WPS 504;Peralta,Perry;58.33;41.67;0.00;0.00;0.00;95.42;85.83
2019525834630740434;WPS 516;Hubbe,Martin A;93.33;6.67;0.00;0.00;0.00;99.27;89.33
5397368939799175706;WPS 565;Pawlak,Joel Justin;57.89;26.32;15.79;0.00;0.00;93.79;84.21
10597203863460666069;WPS 576;Venditti,Richard Arthur;80.00;20.00;0.00;0.00;0.00;97.80;88.00
5738844811572727602;WPS 591;Kocurek,Michael J;94.44;5.56;0.00;0.00;0.00;99.39;89.44
4606674406276609122;WPS 595;Park,Sunkyu;40.00;60.00;0.00;0.00;0.00;93.40;84.00
7416271614455714280;WPS 595;Hubbe,Martin A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2518473330510843698;WPS 595;Heitmann Jr,John A;96.30;3.70;0.00;0.00;0.00;99.59;89.63
11485094586565946119;WPS 595;Mitchell,Philip H;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12245752338793122893;WPS 595;Kocurek,Michael J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2643611902258971472;WPS 595;Saloni,Daniel Erique;66.67;33.33;0.00;0.00;0.00;96.33;86.67
4295667270930501602;WPS 595;Sills,Erin O'Donnell;71.43;28.57;0.00;0.00;0.00;96.86;87.14
7424875303484552493;WPS 595;Lemaster,Richard L;80.00;20.00;0.00;0.00;0.00;97.80;88.00
4735085336005144091;WPS 595D;Lucia,Lucian;95.83;4.17;0.00;0.00;0.00;99.54;89.58
5310626257886283447;WPS 595W;Peralta,Perry;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15503076017428242191;WPS 625;Hubbe,Martin A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2229423387534252440;WPS 701;Heitmann Jr,John A;92.86;7.14;0.00;0.00;0.00;99.21;89.29
16026479017000397864;WPS 702;Peszlen,Ilona Maria;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17385708456402930299;WPS 721;Argyropoulos,Dimitris S;33.33;50.00;16.67;0.00;0.00;91.00;81.67
13081840465761594958;WPS 723;Lucia,Lucian;71.43;28.57;0.00;0.00;0.00;96.86;87.14
2675684740105397459;WPS 746;Saloni,Daniel Erique;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14274109371624738534;WPS 760;Park,Sunkyu;44.44;48.15;7.41;0.00;0.00;93.15;83.70
5265114771878410985;WPS 791;Lucia,Lucian;95.45;0.00;4.55;0.00;0.00;99.05;89.09
8014807741458725733;WPS 791;Kocurek,Michael J;85.71;14.29;0.00;0.00;0.00;98.43;88.57
14532575624681512308;WPS 893;Dasmohapatra,Sudipta;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8662291780687805456;WPS 893;Argyropoulos,Dimitris S;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18065404140670718612;WPS 893;Park,Sunkyu;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4285659548692361778;WPS 893;Saloni,Daniel Erique;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14290984170439801880;WPS 893;Pawlak,Joel Justin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3490353816335338943;WPS 893;Venditti,Richard Arthur;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6385443690962477005;WPS 893;Jameel,Hasan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2449257588540885396;WPS 893;Rojas,Orlando Jose;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6661042619705391143;WPS 895;Dasmohapatra,Sudipta;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6673129520657253976;WPS 895;Jameel,Hasan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3067716532479474014;WPS 895;Venditti,Richard Arthur;0.00;0.00;0.00;0.00;0.00;0.00;0.00
