Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1035337207881972717;WRT 111;Geidel,Savannah Rain;28.07;35.09;15.79;3.51;17.54;84.54;75.26
9699823204317761243;WRT 111;Burns,Ashley Wise;18.64;44.07;20.34;8.47;8.47;84.78;75.59
1853274848673918903;WRT 111;Lewis,Erin Meachum;17.95;38.46;20.51;2.56;20.51;82.26;73.08
8026797548638071836;WRT 111;Kucharczyk,Carlene Anne;14.00;28.00;26.00;20.00;12.00;80.34;71.20
1754179452390039257;WRT 111;Jennette,Martha N.;12.73;16.36;30.91;12.73;27.27;76.58;67.45
14463716333171844865;WRT 111;Gillen,Shana R;5.77;55.77;7.69;15.38;15.38;81.17;72.12
14837810357283692121;WRT 114;Burns,Ashley Wise;22.64;47.17;15.09;5.66;9.43;86.02;76.79
18144572623842613175;WRT 114;Geidel,Savannah Rain;55.00;45.00;0.00;0.00;0.00;95.05;85.50
13783842650573815524;WRT 114;Lewis,Erin Meachum;12.12;63.64;15.15;6.06;3.03;86.70;77.58
16684832606338630364;WRT 114;Hebert,Arielle Elizabeth;26.67;46.67;16.67;3.33;6.67;87.60;78.33
11617929426102817950;WRT 114;Jennette,Martha N.;24.42;46.51;17.44;8.14;3.49;87.27;78.02
4111489773000803372;WRT 114;Gillen,Shana R;51.79;28.57;16.07;1.79;1.79;92.20;82.68
