Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7598621965289966002;YFCS 500;Hardison-Moody,Annie Margaret;87.50;12.50;0.00;0.00;0.00;98.63;88.75
14121570055761494559;YFCS 500;Alexander,Jamie;87.50;12.50;0.00;0.00;0.00;98.63;88.75
9315311025410804692;YFCS 500;Bird,Carolyn L.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6821804147010879696;YFCS 500;Edwards,Harriett C;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9962587050923911727;YFCS 500;Kirby,Sarah D;90.91;0.00;0.00;0.00;9.09;96.27;86.36
6157841430454275893;YFCS 502;Alexander,Jamie;60.00;37.14;0.00;0.00;2.86;94.74;85.14
17934388435008421391;YFCS 502;Allen,Kimberly;71.79;23.08;5.13;0.00;0.00;96.38;86.67
15767136434430355283;YFCS 502;Gonzalez,Maru;80.00;13.33;6.67;0.00;0.00;97.13;87.33
16018996125532044312;YFCS 502;Huff,Nichole Langley;80.00;16.67;0.00;0.00;3.33;96.80;87.00
18004666207098337831;YFCS 523;Hardison-Moody,Annie Margaret;88.37;11.63;0.00;0.00;0.00;98.72;88.84
7256282522891972086;YFCS 523;Allen,Kimberly;92.86;7.14;0.00;0.00;0.00;99.21;89.29
17298779961982664650;YFCS 531;Bird,Carolyn L.;86.11;11.11;2.78;0.00;0.00;98.19;88.33
5718996638510196202;YFCS 533;Gonzalez,Maru;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12906313161542679389;YFCS 533;Behnke,Andrew O;86.11;13.89;0.00;0.00;0.00;98.47;88.61
14341375463430045180;YFCS 537;Hardison-Moody,Annie Margaret;80.85;14.89;2.13;0.00;2.13;97.04;87.23
7772777093878862506;YFCS 540;Kirby,Sarah D;80.00;20.00;0.00;0.00;0.00;97.80;88.00
12516203987472418373;YFCS 543;Alexander,Jamie;68.42;21.05;0.00;0.00;10.53;93.37;83.68
14205498027214645318;YFCS 543;Allen,Kimberly;91.67;6.25;2.08;0.00;0.00;98.88;88.96
12215145268324751565;YFCS 543;Huff,Nichole Langley;86.36;0.00;0.00;0.00;13.64;94.41;84.55
15377478192144846409;YFCS 545;Cano-Guin PhD,Autumn Hope;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18137100725591532090;YFCS 545;Allen,Kimberly;96.61;1.69;0.00;1.69;0.00;99.29;89.32
9002890302883578589;YFCS 547;Cano-Guin PhD,Autumn Hope;93.75;0.00;6.25;0.00;0.00;98.69;88.75
3801050879405112288;YFCS 547;Allen,Kimberly;91.67;6.25;0.00;0.00;2.08;98.46;88.54
6500395125035756870;YFCS 550;Downing,Mitzi Stumpf;75.00;18.18;0.00;2.27;4.55;95.43;85.68
3513283974320445833;YFCS 551;Lambert,Misty;13.33;60.00;26.67;0.00;0.00;87.80;78.67
14496188444163334951;YFCS 551;Haynes-Maslow,Lindsey Haynes;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17704394322182324454;YFCS 551;Bloom,Dara;33.33;40.00;13.33;13.33;0.00;88.67;79.33
8045170483903540023;YFCS 551;Behnke,Andrew O;88.89;11.11;0.00;0.00;0.00;98.78;88.89
8353726580712511918;YFCS 551;Allen,Kimberly;90.91;9.09;0.00;0.00;0.00;99.00;89.09
10010870092473296845;YFCS 552;Cano-Guin PhD,Autumn Hope;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17297752403368323774;YFCS 552;Gonzalez,Maru;92.68;7.32;0.00;0.00;0.00;99.20;89.27
2713332083700832718;YFCS 552;Behnke,Andrew O;85.71;11.90;2.38;0.00;0.00;98.19;88.33
13281816633639102639;YFCS 553;Gonzalez,Maru;84.78;15.22;0.00;0.00;0.00;98.33;88.48
7359886882303622365;YFCS 553;Behnke,Andrew O;94.44;5.56;0.00;0.00;0.00;99.39;89.44
2705140029639174147;YFCS 553;Allen,Kimberly;94.74;0.00;0.00;5.26;0.00;98.37;88.42
6803952917184815056;YFCS 554;Behnke,Andrew O;95.24;4.76;0.00;0.00;0.00;99.48;89.52
13835572643544171811;YFCS 556;Downing,Mitzi Stumpf;89.66;6.90;3.45;0.00;0.00;98.52;88.62
14914453941932396865;YFCS 557;Edwards,Harriett C;92.86;7.14;0.00;0.00;0.00;99.21;89.29
12176149802123755330;YFCS 558;Edwards,Harriett C;96.67;3.33;0.00;0.00;0.00;99.63;89.67
6580074002810093567;YFCS 585;Alexander,Jamie;78.95;15.79;5.26;0.00;0.00;97.16;87.37
7085441566258219534;YFCS 585;Kirby,Sarah D;92.31;7.69;0.00;0.00;0.00;99.15;89.23
14331108937355363490;YFCS 585;Huff,Nichole Langley;58.33;33.33;8.33;0.00;0.00;94.58;85.00
16185607692876759813;YFCS 590;Gonzalez,Maru;93.75;6.25;0.00;0.00;0.00;99.31;89.38
14706924593360219264;YFCS 590;Hardison-Moody,Annie Margaret;65.12;30.23;2.33;0.00;2.33;95.23;85.58
5645593359117842535;YFCS 590;Allen,Kimberly;80.00;16.67;0.00;3.33;0.00;97.13;87.33
15571631351599235409;YFCS 590;Huff,Nichole Langley;78.95;10.53;10.53;0.00;0.00;96.63;86.84
16653912322614961984;YFCS 630;Sankar,Sudha;0.00;0.00;0.00;0.00;0.00;0.00;0.00
