Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11085652635190947273;ZO 212;Klesath,Marta Jean;36.96;34.78;20.65;3.26;4.35;89.04;79.67
9986923905419334247;ZO 233;Campbell,Jennifer L;82.02;11.24;2.25;1.12;3.37;96.56;86.74
15795810965795046611;ZO 250;Campbell,Jennifer L;28.25;45.50;21.50;4.00;0.75;88.93;79.65
15328731910370038461;ZO 260;Haddad,Nicholas M;24.43;34.39;28.96;9.50;2.71;86.08;76.83
16551780035074574604;ZO 260H;Haddad,Nicholas M;72.73;9.09;18.18;0.00;0.00;95.18;85.45
2982498013340715164;ZO 317;Paciulli,Lisa M;57.41;29.63;9.26;0.00;3.70;93.28;83.70
10760135124779014821;ZO 333;Campbell,Jennifer L;48.68;39.47;9.21;1.32;1.32;92.78;83.29
15540540109584863359;ZO 334;Campbell,Jennifer L;88.33;6.67;5.00;0.00;0.00;98.22;88.33
12132797434450137340;ZO 350;Landin,Jennifer Marie;33.22;35.25;18.64;8.47;4.41;87.77;78.44
12048945351516484770;ZO 361;Grubb,Brenda Judge;80.00;20.00;0.00;0.00;0.00;97.80;88.00
15992809552205763486;ZO 370;Black,Betty L.;18.52;25.93;37.04;18.52;0.00;83.63;74.44
12553028497021679680;ZO 375;Black,Betty L.;11.11;61.11;22.22;5.56;0.00;86.89;77.78
11420533111481007415;ZO 402;Niedzlek-Feaver,Marianne;85.92;9.86;1.41;0.00;2.82;97.46;87.61
18000937500086026143;ZO 410;Engell,Miles Dean;42.80;41.15;13.17;1.65;1.23;91.69;82.26
15152791375423799578;ZO 414;Grubb,Brenda Judge;45.45;50.51;2.02;2.02;0.00;93.39;83.94
2244334167377513764;ZO 420;Aday,David Derek;9.09;33.33;39.39;15.15;3.03;82.12;73.03
16997996584129628785;ZO 421;Parks,Lisa D;18.75;39.29;33.04;5.36;3.57;85.62;76.43
9010248230328129667;ZO 422;Underwood,Herbert A.;36.00;24.00;28.00;4.00;8.00;86.96;77.60
15931744743304070280;ZO 441;Miller,John M.;21.74;21.74;47.83;8.70;0.00;84.87;75.65
4114257115404433176;ZO 450;Niedzlek-Feaver,Marianne;38.24;47.06;11.76;2.94;0.00;91.44;82.06
12505316701476965829;ZO 486;Campbell,Jennifer L;96.77;0.00;0.00;0.00;3.23;98.68;88.71
18486111170504888;ZO 492;Campbell,Jennifer L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5187236981024987593;ZO 492;Gilliam PhD,James;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14414141593099700324;ZO 495;Patisaul,Heather;30.43;26.09;30.43;8.70;4.35;86.26;76.96
17053280193241497587;ZO 495;Glass Campbell,Lindsay Ann;83.33;8.33;0.00;0.00;8.33;95.67;85.83
10969489575618405141;ZO 501;Simons,Theodore R;35.00;38.33;21.67;5.00;0.00;89.68;80.33
14366162810094335033;ZO 503;Hawkins,Beth;40.00;33.33;26.67;0.00;0.00;90.73;81.33
10789557621193729685;ZO 503;Godwin,John R;52.94;29.41;17.65;0.00;0.00;93.06;83.53
10232391431532711780;ZO 503;Grossfeld,Robert M.;50.00;25.00;18.75;6.25;0.00;91.38;81.88
1483512598120778168;ZO 504;Godwin,John R;38.89;55.56;5.56;0.00;0.00;92.72;83.33
13132791571974918200;ZO 504;Grossfeld,Robert M.;52.94;35.29;11.76;0.00;0.00;93.65;84.12
13520106326370154;ZO 509;Silverman,Jules;60.00;20.00;20.00;0.00;0.00;93.60;84.00
7907572323346311213;ZO 512;Lytle,Charles F.;87.10;12.90;0.00;0.00;0.00;98.58;88.71
6743786409456380282;ZO 515;Sullivan,Craig V;85.00;15.00;0.00;0.00;0.00;98.35;88.50
14046911494506681394;ZO 518;Lubischer,Jane L.;53.85;46.15;0.00;0.00;0.00;94.92;85.38
7492613982681080409;ZO 522;Underwood,Herbert A.;68.42;10.53;15.79;0.00;5.26;93.37;83.68
7272839468270932500;ZO 524;Siopes,Thomas David;60.00;40.00;0.00;0.00;0.00;95.60;86.00
