academic_plan_id;academic_subplan;academic_plan_requirement_group;academic_plan_requirement_desc;min_units_per_req;course_id;course_abr;course_descrip
11AGBAAS;NOSUBPLAN;022205;Orientation (1 Hr);0;000397;AGI;Intro AG Institute
11AGBAAS;NOSUBPLAN;022206;English (6 Hrs);0;031522;WRT;Exp Writing
11AGBAAS;NOSUBPLAN;022206;English (6 Hrs);0;031523;WRT;Prof Wrtg, Research and Report
11AGBAAS;NOSUBPLAN;022207;Mathematics (6 Hrs);0;031521;MAA;Math in Ag and Related Sci
11AGBAAS;NOSUBPLAN;022207;Mathematics (6 Hrs);0;013632;MA;Topics - Contem MA
11AGBAAS;NOSUBPLAN;026122;General Requirements (12 Hrs);0;001131;ARE;Intro AG Res Econ
11AGBAAS;NOSUBPLAN;026122;General Requirements (12 Hrs);0;005423;ARE;Agribusiness Acct
11AGBAAS;NOSUBPLAN;026122;General Requirements (12 Hrs);0;;;Sociology
11AGBAAS;NOSUBPLAN;026122;General Requirements (12 Hrs);0;;;Humanities/VPA Elective
11AGBAAS;NOSUBPLAN;026124;HESF Requirement;0;;;HESF Elective
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;005426;ARE;Agric Business Mgt
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;005425;ARE;Agri Business Law
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;032942;ARE;Agricultural Finance
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;005429;ARE;Managemt Personnel
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;032441;AGI;Professional Development
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;000404;AGI;AGI Ext Learn Exp
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;;;ANS 101 or PO 201A & 202A
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;;;CS or HS Elective
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;;;ENT Elective
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;020081;SSC;Principle Soil Sci
11AGBAAS;NOSUBPLAN;029187;Major Requirements;0;;;ARE Elective
11AGBAAS;NOSUBPLAN;029188;Free Electives;0;;;Free Electives
11FCTAAS;NOSUBPLAN;030763;Orientation;0;000397;AGI;Intro AG Institute
11FCTAAS;NOSUBPLAN;022222;English (6 Hrs);0;031522;WRT;Exp Writing
11FCTAAS;NOSUBPLAN;022222;English (6 Hrs);0;031523;WRT;Prof Wrtg, Research and Report
11FCTAAS;NOSUBPLAN;022223;Mathematics (6 Hrs);0;031521;MAA;Math in Ag and Related Sci
11FCTAAS;NOSUBPLAN;022223;Mathematics (6 Hrs);0;013632;MA;Topics - Contem MA
11FCTAAS;NOSUBPLAN;030764;General Requirements;0;032441;AGI;Professional Development
11FCTAAS;NOSUBPLAN;030764;General Requirements;0;;;AGI 192
11FCTAAS;NOSUBPLAN;030764;General Requirements;0;005423;ARE;Agribusiness Acct
11FCTAAS;NOSUBPLAN;030764;General Requirements;0;;;Sociology
11FCTAAS;NOSUBPLAN;030764;General Requirements;0;;;Humanities/VPA Elective
11FCTAAS;NOSUBPLAN;030764;General Requirements;0;001131;ARE;Intro AG Res Econ
11FCTAAS;NOSUBPLAN;022225;Physical Education (1 Hr);0;;;HESF Elective
11FCTAAS;NOSUBPLAN;030769;Major Requirements;0;004083;CS;Field Crop Product
11FCTAAS;NOSUBPLAN;030769;Major Requirements;0;004089;CS;Weed Cont Field Cr
11FCTAAS;NOSUBPLAN;030769;Major Requirements;0;032939;CS;Agronomic Crops (I)
11FCTAAS;NOSUBPLAN;030769;Major Requirements;0;032940;CS;Agronomic Crops (II)
11FCTAAS;NOSUBPLAN;030769;Major Requirements;0;004105;CS;Field Crop Seminar
11FCTAAS;NOSUBPLAN;030769;Major Requirements;0;020081;SSC;Principle Soil Sci
11FCTAAS;NOSUBPLAN;030769;Major Requirements;0;020082;SSC;Fert and Soil Fert
11FCTAAS;NOSUBPLAN;030771;Major Electives;0;;;ARE Elective
11FCTAAS;NOSUBPLAN;030771;Major Electives;0;;;BAE Elective
11FCTAAS;NOSUBPLAN;030771;Major Electives;0;;;Entomology
11FCTAAS;NOSUBPLAN;030772;Free Electives;2;;;Free Electives
11GNAAAS;NOSUBPLAN;022198;Orientation (1 Hr);0;000397;AGI;Intro AG Institute
11GNAAAS;NOSUBPLAN;022199;English (6 Hrs);0;031522;WRT;Exp Writing
11GNAAAS;NOSUBPLAN;022199;English (6 Hrs);0;031523;WRT;Prof Wrtg, Research and Report
11GNAAAS;NOSUBPLAN;022200;Mathematics (6 Hrs);0;031521;MAA;Math in Ag and Related Sci
11GNAAAS;NOSUBPLAN;022200;Mathematics (6 Hrs);0;013632;MA;Topics - Contem MA
11GNAAAS;NOSUBPLAN;030773;General Requirements;0;001131;ARE;Intro AG Res Econ
11GNAAAS;NOSUBPLAN;030773;General Requirements;0;005423;ARE;Agribusiness Acct
11GNAAAS;NOSUBPLAN;030773;General Requirements;0;032441;AGI;Professional Development
11GNAAAS;NOSUBPLAN;030773;General Requirements;0;;;AGI 192
11GNAAAS;NOSUBPLAN;030773;General Requirements;0;;;Sociology
11GNAAAS;NOSUBPLAN;030773;General Requirements;0;;;Humanities/VPA Elective
11GNAAAS;NOSUBPLAN;022202;Physical Education (1 Hr);0;;;HESF Elective
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;004083;CS;Field Crop Product
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;000491;ANS;Intro Livest Poul
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;005426;ARE;Agric Business Mgt
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;020081;SSC;Principle Soil Sci
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;;;ANS/PO Electives
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;;;CS Electives
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;;;ENT Restricted Electives
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;;;ARE Electives
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;;;BAE Electives
11GNAAAS;NOSUBPLAN;030774;Major Requirements;0;;;Plant Science Electives
11GNAAAS;NOSUBPLAN;030778;Free Electives;0;;;Free Electives
11HSMAAS;11HSMOLT;025958;Orientation;0;031460;HS;Intro to OLT
11HSMAAS;11HSMOLT;025959;English;0;031522;WRT;Exp Writing
11HSMAAS;11HSMOLT;025959;English;0;031523;WRT;Prof Wrtg, Research and Report
11HSMAAS;11HSMOLT;025960;Mathematics;0;031521;MAA;Math in Ag and Related Sci
11HSMAAS;11HSMOLT;025960;Mathematics;0;013632;MA;Topics - Contem MA
11HSMAAS;11HSMOLT;025961;HSM Degree Requirements;0;001131;ARE;Intro AG Res Econ
11HSMAAS;11HSMOLT;025961;HSM Degree Requirements;0;005423;ARE;Agribusiness Acct
11HSMAAS;11HSMOLT;025961;HSM Degree Requirements;0;;;SOC 203A or SOC 241A
11HSMAAS;11HSMOLT;025961;HSM Degree Requirements;0;;;Humanities/VPA Elective
11HSMAAS;11HSMOLT;025961;HSM Degree Requirements;0;;;AGI 191 and AGI 192
11HSMAAS;11HSMOLT;025962;Physical Education (1 Hr);0;;;HESF Elective
11HSMAAS;11HSMOLT;025968;Major Field of Study;0;012166;HS;Plant Identificati
11HSMAAS;11HSMOLT;025968;Major Field of Study;0;012167;HS;Plant Growth Development
11HSMAAS;11HSMOLT;025968;Major Field of Study;0;012168;HS;Plant Propagation
11HSMAAS;11HSMOLT;025968;Major Field of Study;0;032062;HS;Weeds & Diseases Ornamentals
11HSMAAS;11HSMOLT;025968;Major Field of Study;0;012174;HS;Landscape Maint
11HSMAAS;11HSMOLT;025968;Major Field of Study;0;020081;SSC;Principle Soil Sci
11HSMAAS;11HSMOLT;025968;Major Field of Study;0;001296;BAE;Light Equip Techno
11HSMAAS;11HSMOLT;025968;Major Field of Study;0;009046;ENT;Ornam Turf Insects
11HSMAAS;11HSMOLT;025967;HS Advised Courses;0;;;HS Advised Courses-Option 1
11HSMAAS;11HSMOLT;025967;HS Advised Courses;0;;;HS Advised Courses-Option 2
11HSMAAS;11HSMOLT;025969;Free Electives (6 Hrs);0;;;Free Electives
11HSMAAS;11HSMSSF;025958;Orientation;0;031460;HS;Intro to OLT
11HSMAAS;11HSMSSF;025959;English;0;031522;WRT;Exp Writing
11HSMAAS;11HSMSSF;025959;English;0;031523;WRT;Prof Wrtg, Research and Report
11HSMAAS;11HSMSSF;025960;Mathematics;0;031521;MAA;Math in Ag and Related Sci
11HSMAAS;11HSMSSF;025960;Mathematics;0;013632;MA;Topics - Contem MA
11HSMAAS;11HSMSSF;025961;HSM Degree Requirements;0;001131;ARE;Intro AG Res Econ
11HSMAAS;11HSMSSF;025961;HSM Degree Requirements;0;005423;ARE;Agribusiness Acct
11HSMAAS;11HSMSSF;025961;HSM Degree Requirements;0;;;SOC 203A or SOC 241A
11HSMAAS;11HSMSSF;025961;HSM Degree Requirements;0;;;Humanities/VPA Elective
