academic_plan_id;academic_subplan;academic_plan_requirement_group;academic_plan_requirement_desc;min_units_per_req;course_id;course_abr;course_descrip
11AECM;NOSUBPLAN;024922;Required Courses;7;002040;AEC;Ecology
11AECM;NOSUBPLAN;024922;Required Courses;7;031960;AEC;Applied Ecology
11AECM;NOSUBPLAN;024931;Minor Electives;6;;;Minor Electives
11AECM;NOSUBPLAN;024932;Research Experience;3;;;Research Experience
11AGECM;NOSUBPLAN;022109;Required Courses;0;;;Ecology
11AGECM;NOSUBPLAN;022109;Required Courses;0;004115;CS;Intro Agroecology
11AGECM;NOSUBPLAN;022109;Required Courses;0;004137;CS;Advan Agroecology
11AGECM;NOSUBPLAN;026307;Elective Courses;0;;;Elective Courses
11AGENTM;NOSUBPLAN;028248;Required Courses;0;032754;ARE;Prin Agribus Entreprenership
11AGENTM;NOSUBPLAN;028248;Required Courses;0;032755;ARE;Agbus. New Venture Dev.
11AGENTM;NOSUBPLAN;028248;Required Courses;0;032756;ARE;Agbus. Entrepreneurship Skills
11AGENTM;NOSUBPLAN;028249;Elective Courses;0;;;Advised Electives
11AGLDM;NOSUBPLAN;022020;Required Courses;0;000267;AEE;Ldrship in AG & Life Sci
11AGLDM;NOSUBPLAN;022020;Required Courses;0;;;Restricted Electives
11AMM;NOSUBPLAN;023977;Required Courses;0;;;ARE 201 or EC 201
11AMM;NOSUBPLAN;023977;Required Courses;0;;;ARE Breadth Requirement
11AMM;NOSUBPLAN;026111;Elective Courses;0;;;ARE Elective
11AMM;NOSUBPLAN;026111;Elective Courses;0;;;Elective Course
11ANM;NOSUBPLAN;021876;Required Courses;0;000512;ANS;Introduction to Animal Science
11ANM;NOSUBPLAN;021876;Required Courses;0;;;Required Courses
11ANM;NOSUBPLAN;025151;Elective Courses;0;;;Elective Courses
11BAETM;NOSUBPLAN;029718;Required Course;3;;;Required Course
11BAETM;NOSUBPLAN;029719;Elective Courses;12;;;Elective Courses
11BIM;NOSUBPLAN;021891;Preparatory Classes;0;000449;BIO;Intro Bio Cell/Mol
11BIM;NOSUBPLAN;021891;Preparatory Classes;0;003297;CH;Org Chem II
11BIM;NOSUBPLAN;030875;BIM Related Labs;0;;;Group B
11BIM;NOSUBPLAN;030875;BIM Related Labs;0;;;Group C Biotech Module Pairs
11BIM;NOSUBPLAN;021893;BIM Research Experience;0;;;Group D
11BIM;NOSUBPLAN;021894;BIM Ethics Requirement;0;;;Group E
11BSTM;NOSUBPLAN;029109;Required Courses;0;032674;BBS;Brewing Science and Technology
11BSTM;NOSUBPLAN;029109;Required Courses;0;032892;BBS;Brewing Practices and Analyses
11BSTM;NOSUBPLAN;029109;Required Courses;0;032979;BBS;Brewing Operations
11BSTM;NOSUBPLAN;029110;Elective Courses;6;;;Elective Courses
11CSM;NOSUBPLAN;026305;Required Course;0;004112;CS;Crop Science
11CSM;NOSUBPLAN;026305;Required Course;0;004114;CS;Crop Science Lab
11CSM;NOSUBPLAN;030341;Elective Courses;0;;;Elective Courses
11ENM;NOSUBPLAN;022054;Required Course;0;;;ENT 425 or ENT 402
11ENM;NOSUBPLAN;025547;Elective Courses;0;;;Restricted Electives
11ENM;NOSUBPLAN;025554;ENT Courses;0;;;ENT courses
11EXTEDM;NOSUBPLAN;028800;Required Courses;0;000261;AEE;Intro Coop Exten
11EXTEDM;NOSUBPLAN;028800;Required Courses;0;000268;AEE;Deliver Nonfor EDU
11EXTEDM;NOSUBPLAN;028801;Elective Courses;0;;;Elective Courses
11FDM;NOSUBPLAN;022074;Required Courses;0;010630;FS;Intro to Food Science
11FDM;NOSUBPLAN;022074;Required Courses;0;;;Restricted Electives
11FDM;NOSUBPLAN;022075;Elective Courses;0;;;Electives
11FEM;NOSUBPLAN;031191;Required Courses;0;;;Required Courses
11FEM;NOSUBPLAN;031192;Elective Courses;0;;;Elective Courses
11FSQM;NOSUBPLAN;030578;Required Courses;0;;;FS 250 or FS 416
11FSQM;NOSUBPLAN;030578;Required Courses;0;;;FS 405 or FS 453
11FSQM;NOSUBPLAN;030579;Elective Courses;0;;;Electives
11HSM;NOSUBPLAN;031702;Required Courses;0;012181;HS;The World of Horticulture
11HSM;NOSUBPLAN;031702;Required Courses;0;;;HS 301 or HS 203
11HSM;NOSUBPLAN;028889;Elective Courses;0;;;Elective Courses
11NTM;NOSUBPLAN;026376;Required Courses;0;;;NTR 301, ANS 225 or ANS 230
11NTM;NOSUBPLAN;026377;Elective Courses;0;;;400-Level Electives
11NTM;NOSUBPLAN;026377;Elective Courses;0;;;Elective Courses
11PBM;NOSUBPLAN;031195;Required Course;0;;;PB 200 or 250
11PBM;NOSUBPLAN;031196;Elective Courses;0;;;Elective Courses
11POM;NOSUBPLAN;031682;Required Courses;0;017523;PO;Poultry Sci & Prod
11POM;NOSUBPLAN;031682;Required Courses;0;031662;PO;Poultry Sci and Prod Lab
11POM;NOSUBPLAN;031682;Required Courses;0;017527;PO;Poultry Seminar
11POM;NOSUBPLAN;031683;Elective Courses;0;;;Elective Courses
